|       | Dokapon 3-2-1: Arashi o Yobu Yuujou                                       | Asmik Ace Entertainment, Inc | Super Nintendo | 1994 | Japan
|       | Dokapon Gaiden: Honoo no Audition                                         | Asmik Ace Entertainment, Inc | Super Nintendo | 1995 | Japan
|       | Dokuritsu Sensou: Liberty or Death                                        | Koei                         | Super Nintendo | 1994 | Japan
|       | Dolucky no Kusayakiu                                                      | Imagineer                    | Super Nintendo | 1993 | Japan
|       | Dolucky no Puzzle Tour '94                                                | Imagineer                    | Super Nintendo | 1994 | Japan
|       | Dolucky's A-League Soccer                                                 | Imagineer                    | Super Nintendo | 1994 | Japan
|       | Donald Duck no Mahou no Boushi                                            | Epoch                        | Super Nintendo | 1995 | Japan
|       | Doom                                                                      | Imagineer                    | Super Nintendo | 1996 | Japan
|       | Doraemon 2: Nobita no Toys Land Daibouken                                 | Epoch                        | Super Nintendo | 1993 | Japan
|       | Doraemon 3: Nobita to Toki no Hougyoku                                    | Epoch                        | Super Nintendo | 1994 | Japan
|       | Doraemon 4: Nobita to Toki no Okoku                                       | Epoch                        | Super Nintendo | 1995 | Japan
|       | Doraemon: Nobita to Yousei no Kuni                                        | Epoch                        | Super Nintendo | 1993 | Japan
|       | DoReMi Fantasy: Milon no DokiDoki Daibouken                               | Hudson                       | Super Nintendo | 1996 | Japan
|       | Dossun! Ganseki Battle                                                    | I'Max                        | Super Nintendo | 1994 | Japan
|       | Down the World: Mervil's Ambition                                         | ASCII Entertainment          | Super Nintendo | 1994 | Japan
|       | Downtown Nekketsu Baseball Monogatari: Baseball de Shoubu da! Kunio-kun   | Technos                      | Super Nintendo | 1993 | Japan
|       | Dragon Ball Z Super Gokuden: Kakusei-Hen                                  | Bandai                       | Super Nintendo | 1995 | Japan
|       | Dragon Ball Z Super Gokuden: Totsugeki-Hen                                | Bandai                       | Super Nintendo | 1995 | Japan
|       | Dragon Ball Z: Hyper Dimension                                            | Bandai                       | Super Nintendo | 1996 | Japan
|       | Dragon Ball Z: Super Butouden                                             | Bandai                       | Super Nintendo | 1993 | Japan
|       | Dragon Ball Z: Super Butouden 2                                           | Bandai                       | Super Nintendo | 1993 | Japan
|       | Dragon Ball Z: Super Butouden 3                                           | Bandai                       | Super Nintendo | 1994 | Japan
|       | Dragon Ball Z: Super Saiya Densetsu                                       | Bandai                       | Super Nintendo | 1992 | Japan
|       | Dragon Knight 4                                                           | Banpresto                    | Super Nintendo | 1996 | Japan
|       | Dragon Quest I & II                                                       | Enix Corporation             | Super Nintendo | 1993 | Japan
|       | Dragon Quest III: Soshite Densetsu e...                                   | Enix Corporation             | Super Nintendo | 1996 | Japan
|       | Dragon Quest V: Tenkuu no Hanayome                                        | Enix Corporation             | Super Nintendo | 1992 | Japan
|       | Dragon Quest VI: Maboroshi no Daichi                                      | Enix Corporation             | Super Nintendo | 1995 | Japan
|       | Dragon Slayer: Eiyuu Densetsu                                             | Epoch                        | Super Nintendo | 1992 | Japan
|       | Dragon Slayer: Eiyuu Densetsu II                                          | Epoch                        | Super Nintendo | 1993 | Japan
|       | Dragon's Earth                                                            | Human Entertainment          | Super Nintendo | 1993 | Japan
|       | Dragon's Magic                                                            | Konami                       | Super Nintendo | 1993 | Japan
|       | Drakkhen                                                                  | Kemco                        | Super Nintendo | 1991 | Japan
|       | Dream Basketball: Dunk & Hoop                                             | Human Entertainment          | Super Nintendo | 1994 | Japan
|       | Drift King Shutokou Battle '94                                            | Bullet Proof Software        | Super Nintendo | 1994 | Japan
|       | Drift King Shutokou Battle 2                                              | Bullet Proof Software        | Super Nintendo | 1995 | Japan
|       | Dual Orb                                                                  | I'Max                        | Super Nintendo | 1993 | Japan
|       | Dual Orb II                                                               | I'Max                        | Super Nintendo | 1994 | Japan
|       | Dungeon Master                                                            | Victor Interactive Software  | Super Nintendo | 1991 | Japan
|       | DunQuest: Majin Fuuin no Densetsu                                         | Technos                      | Super Nintendo | 1995 | Japan
|       | Dynamaite: The Las Vegas                                                  | Virgin Interactive           | Super Nintendo | 1994 | Japan
|       | Dynamic Stadium                                                           | Sammy Studios                | Super Nintendo | 1993 | Japan
|       | DynamiTracer                                                              | SquareSoft                   | Super Nintendo | 1996 | Japan
|       | Earth Light                                                               | Hudson                       | Super Nintendo | 1992 | Japan
|       | Earth Light: Luna Strike                                                  | Hudson                       | Super Nintendo | 1996 | Japan
|       | Earthworm Jim                                                             | Takara                       | Super Nintendo | 1995 | Japan
|       | Edo no Kiba                                                               | Micro World                  | Super Nintendo | 1993 | Japan
|       | Eien no Filena                                                            | Tokuma Shoten                | Super Nintendo | 1995 | Japan
|       | Elfaria                                                                   | Hudson                       | Super Nintendo | 1993 | Japan
|       | Elfaria II                                                                | Hudson                       | Super Nintendo | 1995 | Japan
|       | Elnard                                                                    | Gameplan21                   | Super Nintendo | 1993 | Japan
|       | Emerald Dragon                                                            | Media Works                  | Super Nintendo | 1995 | Japan
|       | EMIT Value Set                                                            | Koei                         | Super Nintendo | 1995 | Japan
|       | EMIT Vol. 1: Toki no Maigo                                                | Koei                         | Super Nintendo | 1995 | Japan
|       | EMIT Vol. 2: Meigake no Tabi                                              | Koei                         | Super Nintendo | 1995 | Japan
|       | EMIT Vol. 3: Watashi ni Sayonara o                                        | Koei                         | Super Nintendo | 1995 | Japan
|       | Energy Breaker                                                            | Taito Corporation            | Super Nintendo | 1996 | Japan
|       | Esparks: Ijikuu Kara no Raihousha                                         | Tomy Corporation             | Super Nintendo | 1995 | Japan
|       | Estpolis Denki                                                            | Taito Corporation            | Super Nintendo | 1993 | Japan
|       | Estpolis Denki II                                                         | Taito Corporation            | Super Nintendo | 1995 | Japan
|       | Europa Sensen                                                             | Koei                         | Super Nintendo | 1993 | Japan
|       | Excitebike Bunbun Mario Battle Stadium 1                                  | Nintendo                     | Super Nintendo | 1997 | Japan
|       | Excitebike Bunbun Mario Battle Stadium 2                                  | Nintendo                     | Super Nintendo | 1997 | Japan
|       | Excitebike Bunbun Mario Battle Stadium 3                                  | Nintendo                     | Super Nintendo | 1997 | Japan
|       | Excitebike Bunbun Mario Battle Stadium 4                                  | Nintendo                     | Super Nintendo | 1997 | Japan
|       | Exhaust Heat                                                              | Seta Corporation             | Super Nintendo | 1992 | Japan
|       | Exhaust Heat II: F-1 Driver no Kiseki                                     | Seta Corporation             | Super Nintendo | 1993 | Japan
|       | F-1 Grand Prix                                                            | Video System                 | Super Nintendo | 1992 | Japan
|       | F-1 Grand Prix Part II                                                    | Video System                 | Super Nintendo | 1993 | Japan
|       | F-1 Grand Prix Part III                                                   | Video System                 | Super Nintendo | 1994 | Japan
|       | F-15 Super Strike Eagle                                                   | Asmik Ace Entertainment, Inc | Super Nintendo | 1993 | Japan
|       | F-Zero                                                                    | Nintendo                     | Super Nintendo | 1990 | Japan
|       | Farland Story                                                             | Banpresto                    | Super Nintendo | 1995 | Japan
|       | Farland Story 2                                                           | Banpresto                    | Super Nintendo | 1995 | Japan
