|       | Roc'N Rope                                           | Coleco                       | Atari 2600 | 1984 | North America
|       | Roc'N Rope                                           | Coleco                       | Atari 2600 | 1984 | North America
|       | Rock 'N Roll Escape                                  | Imagic                       | Atari 2600 | 1983 | North America
|       | Room of Doom                                         | CommaVid, Inc.               | Atari 2600 | 1982 | North America
|       | Rubik's Cube                                         | Atari                        | Atari 2600 | 1983 | North America
|       | Save Our Ship                                        | Technovision                 | Atari 2600 | 1983 | North America
|       | Scuba Diver                                          | Sancho                       | Atari 2600 | 1983 | North America
|       | Scuba Diver                                          | Panda Entertainment          | Atari 2600 | 1983 | North America
|       | Sea Battle                                           | INTV                         | Atari 2600 | 2013 | North America
|       | Sea Hawk                                             | Froggo                       | Atari 2600 | 1982 | North America
|       | Sea Hunt                                             | Froggo                       | Atari 2600 | 1978 | North America
|       | Sea Monster                                          | Bit Corp.                    | Atari 2600 | 1983 | North America
|       | Seahawk                                              | Sancho                       | Atari 2600 | 1987 | North America
|       | Seahawk                                              | Panda Entertainment          | Atari 2600 | 1983 | North America
|       | Seaquest                                             | Activision                   | Atari 2600 | 1983 | North America
|       | Secret Quest                                         | Atari                        | Atari 2600 | 1989 | North America
|       | Sentinel                                             | Atari                        | Atari 2600 | 1990 | North America
|       | Shark Attack                                         | Apollo                       | Atari 2600 | 1982 | North America
|       | Shootin' Gallery                                     | Imagic                       | Atari 2600 | 1982 | North America
|       | Shuttle Orbiter                                      | Avalon Hill                  | Atari 2600 | 1983 | North America
|       | Sir Lancelot                                         | Xonox                        | Atari 2600 | 1983 | North America
|       | Skate Boardin': A Radical Adventure                  | Absolute Entertainment       | Atari 2600 | 1987 | North America
|       | Skeet Shoot                                          | Apollo                       | Atari 2600 | 1981 | North America
|       | Ski Hunt                                             | Homevision                   | Atari 2600 | 1983 | North America
|       | Skiing                                               | Activision                   | Atari 2600 | 1980 | North America
|       | Skin Diver                                           | Sancho                       | Atari 2600 | 1983 | North America
|       | Sky Diver                                            | Atari                        | Atari 2600 | 1978 | North America
|       | Sky Jinks                                            | Activision                   | Atari 2600 | 1982 | North America
|       | Sky Skipper                                          | Parker Bros.                 | Atari 2600 | 1983 | North America
|       | Slot Machine                                         | Atari                        | Atari 2600 | 1979 | North America
|       | Slot Racers                                          | Atari                        | Atari 2600 | 1978 | North America
|       | Smurf: Rescue In Gargamel's Castle                   | Coleco                       | Atari 2600 | 1982 | North America
