|       | Luigi's Mansion                                                            | Nintendo                   | Nintendo GameCube | 2002 | Europe
|       | Madagascar                                                                 | Activision                 | Nintendo GameCube | 2005 | Europe
|       | Madden NFL 06                                                              | EA Sports                  | Nintendo GameCube | 2005 | Europe
|       | Madden NFL 2003                                                            | Electronic Arts            | Nintendo GameCube | 2002 | Europe
|       | Madden NFL 2004                                                            | EA Sports                  | Nintendo GameCube | 2003 | Europe
|       | Madden NFL 2005                                                            | EA Sports                  | Nintendo GameCube | 2004 | Europe
|       | Mario Golf: Toadstool Tour                                                 | Nintendo                   | Nintendo GameCube | 2004 | Europe
|       | Mario Kart: Double Dash!!                                                  | Nintendo                   | Nintendo GameCube | 2003 | Europe
|       | Mario Party 4                                                              | Nintendo                   | Nintendo GameCube | 2002 | Europe
|       | Mario Party 5                                                              | Nintendo                   | Nintendo GameCube | 2003 | Europe
|       | Mario Party 6                                                              | Nintendo                   | Nintendo GameCube | 2005 | Europe
|       | Mario Party 7                                                              | Nintendo                   | Nintendo GameCube | 2006 | Europe
|       | Mario Power Tennis                                                         | Nintendo                   | Nintendo GameCube | 2005 | Europe
|       | Mario Smash Football                                                       | Nintendo                   | Nintendo GameCube | 2005 | Europe
|       | Mario Superstar Baseball                                                   | Nintendo                   | Nintendo GameCube | 2005 | Europe
|       | Marvel Nemesis: Rise of the Imperfects                                     | EA Games                   | Nintendo GameCube | 2005 | Europe
|       | Mat Hoffman's Pro BMX 2                                                    | Activision                 | Nintendo GameCube | 2002 | Europe
|       | MaxPlay Classic Games Volume 1                                             | Datel                      | Nintendo GameCube | 2003 | Europe
|       | MC Groovz Dance Craze                                                      | Mad Catz                   | Nintendo GameCube | 2005 | Europe
|       | Medabots: Infinity                                                         | Ubisoft                    | Nintendo GameCube | 2004 | Europe
|       | Medal of Honor Frontline                                                   | EA Games                   | Nintendo GameCube | 2002 | Europe
|       | Medal of Honor: European Assault                                           | Electronic Arts            | Nintendo GameCube | 2005 | Europe
|       | Medal of Honor: Rising Sun                                                 | Electronic Arts            | Nintendo GameCube | 2003 | Europe
|       | Mega Man X: Command Mission                                                | Capcom                     | Nintendo GameCube | 2004 | Europe
|       | Megaman Network Transmission                                               | Capcom                     | Nintendo GameCube | 2003 | Europe
|       | Men in Black II: Alien Escape                                              | Atari                      | Nintendo GameCube | 2003 | Europe
|       | Metal Arms: Glitch in the System                                           | VU Games                   | Nintendo GameCube | 2003 | Europe
|       | Metal Gear Solid: The Twin Snakes                                          | Konami                     | Nintendo GameCube | 2004 | Europe
|       | Metroid Prime                                                              | Nintendo                   | Nintendo GameCube | 2003 | Europe
|       | Metroid Prime 2: Echoes                                                    | Nintendo                   | Nintendo GameCube | 2004 | Europe
|       | Micro Machines                                                             | Infogrames                 | Nintendo GameCube | 2001 | Europe
|       | Minority Report                                                            | Activision                 | Nintendo GameCube | 2002 | Europe
|       | Mission: Impossible: Operation Surma                                       | Atari                      | Nintendo GameCube | 2004 | Europe
|       | Monopoly Party                                                             | Infogrames                 | Nintendo GameCube | 2003 | Europe
|       | Monster House                                                              | THQ                        | Nintendo GameCube | 2006 | Europe
|       | Monster Jam: Maximum Destruction                                           | Ubisoft                    | Nintendo GameCube | 2002 | Europe
|       | Monsters, Inc. Scream Arena                                                | THQ                        | Nintendo GameCube | 2003 | Europe
|       | Mortal Kombat: Deadly Alliance                                             | Midway                     | Nintendo GameCube | 2003 | Europe
|       | MX Superfly                                                                | THQ                        | Nintendo GameCube | 2002 | Europe
|       | Mystic Heroes                                                              | Koei                       | Nintendo GameCube | 2002 | Europe
|       | Namco Museum 50th Anniversary                                              | Electronic Arts            | Nintendo GameCube | 2006 | Europe
|       | Naruto: Clash of Ninja - European Version                                  | Nintendo                   | Nintendo GameCube | 2006 | Europe
|       | NBA 2K3                                                                    | Sega                       | Nintendo GameCube | 2003 | Europe
|       | NBA Courtside 2002                                                         | Nintendo                   | Nintendo GameCube | 2002 | Europe
|       | NBA Live 06                                                                | EA Sports                  | Nintendo GameCube | 2005 | Europe
|       | NBA Live 2003                                                              | Electronic Arts            | Nintendo GameCube | 2002 | Europe
|       | NBA Live 2004                                                              | EA Sports                  | Nintendo GameCube | 2003 | Europe
|       | NBA Live 2005                                                              | EA Sports                  | Nintendo GameCube | 2004 | Europe
|       | NBA Street V3                                                              | EA Sports Big              | Nintendo GameCube | 2005 | Europe
|       | NBA Street Vol. 2                                                          | Electronic Arts            | Nintendo GameCube | 2003 | Europe
|       | Need for Speed Carbon                                                      | EA Games                   | Nintendo GameCube | 2006 | Europe
|       | Need for Speed Most Wanted                                                 | Electronic Arts            | Nintendo GameCube | 2005 | Europe
|       | Need for Speed Underground                                                 | Electronic Arts            | Nintendo GameCube | 2003 | Europe
|       | Need for Speed Underground 2                                               | Electronic Arts            | Nintendo GameCube | 2004 | Europe
|       | Need for Speed: Hot Pursuit 2                                              | Electronic Arts            | Nintendo GameCube | 2002 | Europe
|       | Neighbours from Hell                                                       | JoWooD Entertainment AG    | Nintendo GameCube | 2003 | Europe
|       | NFL 2K3                                                                    | Sega                       | Nintendo GameCube | 2003 | Europe
|       | NFL Street                                                                 | EA Sports                  | Nintendo GameCube | 2004 | Europe
|       | NFL Street 2                                                               | EA Sports Big              | Nintendo GameCube | 2005 | Europe
|       | NHL 06                                                                     | EA Sports                  | Nintendo GameCube | 2005 | Europe
|       | NHL 2003                                                                   | Electronic Arts            | Nintendo GameCube | 2002 | Europe
|       | NHL 2004                                                                   | EA Sports                  | Nintendo GameCube | 2003 | Europe
|       | NHL 2005                                                                   | EA Sports                  | Nintendo GameCube | 2004 | Europe
|       | NHL 2K3                                                                    | Atari                      | Nintendo GameCube | 2003 | Europe
|       | NHL Hitz 20-02                                                             | Midway                     | Nintendo GameCube | 2002 | Europe
|       | NHL Hitz 20-03                                                             | Midway                     | Nintendo GameCube | 2002 | Europe
|       | Nickelodeon Party Blast                                                    | Atari                      | Nintendo GameCube | 2002 | Europe
|       | Open Season                                                                | Ubisoft                    | Nintendo GameCube | 2006 | Europe
|       | Outlaw Golf                                                                | TDK Mediactive             | Nintendo GameCube | 2003 | Europe
|       | Over the Hedge                                                             | Activision                 | Nintendo GameCube | 2006 | Europe
|       | P.N. 03                                                                    | Capcom                     | Nintendo GameCube | 2003 | Europe
|       | Pac-Man Vs.                                                                | Electronic Arts            | Nintendo GameCube | 2004 | Europe
|       | Pac-Man World 2                                                            | Electronic Arts            | Nintendo GameCube | 2003 | Europe
|       | Pac-Man World 3                                                            | Electronic Arts            | Nintendo GameCube | 2006 | Europe
|       | Paper Mario: The Thousand-Year Door                                        | Nintendo                   | Nintendo GameCube | 2004 | Europe
|       | Peter Jackson's King Kong: The Official Game of the Movie                  | Ubisoft                    | Nintendo GameCube | 2005 | Europe
|       | Phantasy Star Online Episode I & II                                        | Sega                       | Nintendo GameCube | 2003 | Europe
|       | Phantasy Star Online Episode III: C.A.R.D. Revolution                      | Sega                       | Nintendo GameCube | 2004 | Europe
|       | Piglet's Big Game                                                          | Gotham Games               | Nintendo GameCube | 2003 | Europe
|       | Pikmin                                                                     | Nintendo                   | Nintendo GameCube | 2002 | Europe
|       | Pikmin 2                                                                   | Nintendo                   | Nintendo GameCube | 2004 | Europe
|       | Pitfall: The Lost Expedition                                               | Activision                 | Nintendo GameCube | 2004 | Europe
|       | Pokemon Box: Ruby and Sapphire                                             | Nintendo                   | Nintendo GameCube | 2004 | Europe
|       | Pokemon Channel                                                            | Nintendo                   | Nintendo GameCube | 2004 | Europe
|       | Pokemon Colosseum                                                          | Nintendo                   | Nintendo GameCube | 2004 | Europe
|       | Pokemon XD: Gale of Darkness                                               | Nintendo                   | Nintendo GameCube | 2005 | Europe
|       | Polar Express, The                                                         | THQ                        | Nintendo GameCube | 2004 | Europe
|       | Pool Paradise                                                              | Ignition Entertainment     | Nintendo GameCube | 2004 | Europe
|       | Power Rangers: Dino Thunder                                                | THQ                        | Nintendo GameCube | 2004 | Europe
|       | Powerpuff Girls: Relish Rampage, The                                       | Bam Entertainment          | Nintendo GameCube | 2002 | Europe
|       | Prince of Persia: The Sands of Time                                        | Ubisoft                    | Nintendo GameCube | 2004 | Europe
|       | Prince of Persia: The Two Thrones                                          | Ubisoft                    | Nintendo GameCube | 2005 | Europe
|       | Prince of Persia: Warrior Within                                           | Ubisoft                    | Nintendo GameCube | 2004 | Europe
|       | Pro Rally                                                                  | Ubisoft                    | Nintendo GameCube | 2002 | Europe
|       | Pro Tennis WTA Tour                                                        | Konami                     | Nintendo GameCube | 2002 | Europe
|       | Puyo Pop Fever                                                             | Sega                       | Nintendo GameCube | 2004 | Europe
|       | R: Racing                                                                  | Electronic Arts            | Nintendo GameCube | 2004 | Europe
|       | R: Racing with Pac-Man Vs.                                                 | Electronic Arts            | Nintendo GameCube | 2004 | Europe
|       | Rally Championship                                                         | SCi                        | Nintendo GameCube | 2003 | Europe
|       | Rampage: Total Destruction                                                 | Midway                     | Nintendo GameCube | 2006 | Europe
|       | Ratatouille                                                                | THQ                        | Nintendo GameCube | 2007 | Europe
|       | Rayman 3: Hoodlum Havoc                                                    | Ubisoft                    | Nintendo GameCube | 2003 | Europe
|       | Red Faction II                                                             | THQ                        | Nintendo GameCube | 2003 | Europe
|       | RedCard 20-03                                                              | Midway                     | Nintendo GameCube | 2002 | Europe
|       | Reign of Fire                                                              | Bam Entertainment          | Nintendo GameCube | 2002 | Europe
|       | Resident Evil                                                              | Capcom                     | Nintendo GameCube | 2002 | Europe
|       | Resident Evil 2                                                            | Capcom                     | Nintendo GameCube | 2003 | Europe
