|       | Gaist Crusher                                                                                                                | Capcom                                 | Nintendo 3DS | 2013 | Japan
|       | Gaist Crusher God                                                                                                            | Capcom                                 | Nintendo 3DS | 2014 | Japan
|       | Game Center CX: 3-Choume no Arino                                                                                            | Bandai Namco Games                     | Nintendo 3DS | 2014 | Japan
|       | Gardening Mama: Mama to Mori no Nakama Tachi                                                                                 | Office Create                          | Nintendo 3DS | 2014 | Japan
|       | Girls Fashion 3D: Mezase! Top Stylist                                                                                        | Ubisoft                                | Nintendo 3DS | 2011 | Japan
|       | Girls Mode 3: Kirakira * Code                                                                                                | Nintendo                               | Nintendo 3DS | 2016 | Japan
|       | Girls RPG: Cinderellife                                                                                                      | Level 5                                | Nintendo 3DS | 2012 | Japan
|       | Go! Princess PreCure Sugar Oukoku to 6-nin no Princess!                                                                      | Bandai Namco Games                     | Nintendo 3DS | 2015 | Japan
|       | Gon: BakuBakuBakuBaku Adventure                                                                                              | Bandai Namco Games                     | Nintendo 3DS | 2012 | Japan
|       | Gotouchi Tetsudou: Gotouchi Chara to Nihon Zenkoku no Tabi                                                                   | Bandai Namco Games                     | Nintendo 3DS | 2014 | Japan
|       | Gudetama: Hanjuku de Tanomuwa                                                                                                | Rocket Company                         | Nintendo 3DS | 2015 | Japan
|       | Gudetama: Okawari Ikagassuka                                                                                                 | Imagineer Co.,Ltd.                     | Nintendo 3DS | 2016 | Japan
|       | Guild01                                                                                                                      | Level 5                                | Nintendo 3DS | 2012 | Japan
|       | Gundam the 3D Battle                                                                                                         | Namco Bandai Games                     | Nintendo 3DS | 2011 | Japan
|       | Gundam Try Age SP                                                                                                            | Bandai Namco Games                     | Nintendo 3DS | 2014 | Japan
|       | Guruguru Tamagotchi!                                                                                                         | Bandai Namco Games                     | Nintendo 3DS | 2014 | Japan
|       | Gyakuten Saiban 123: Naruhodo Selection                                                                                      | Capcom                                 | Nintendo 3DS | 2014 | Japan
|       | Gyakuten Saiban 4                                                                                                            | Capcom                                 | Nintendo 3DS | 2017 | Japan
|       | Gyakuten Saiban 5                                                                                                            | Capcom                                 | Nintendo 3DS | 2013 | Japan
|       | Gyakuten Saiban 6                                                                                                            | Capcom                                 | Nintendo 3DS | 2016 | Japan
|       | Haikyu!! Cross Team Match!                                                                                                   | Bandai Namco Games                     | Nintendo 3DS | 2016 | Japan
|       | Haikyu!! Tsunage! Itadaki no Keshiki!!                                                                                       | Bandai Namco Games                     | Nintendo 3DS | 2014 | Japan
|       | Hako Boy! Hakobume Box                                                                                                       | Nintendo                               | Nintendo 3DS | 2017 | Japan
|       | HakoBoy! Hakozume Box                                                                                                        | Nintendo                               | Nintendo 3DS | 2017 | Japan
|       | Hakuouki 3D                                                                                                                  | Idea Factory                           | Nintendo 3DS | 2013 | Japan
|       | Hamatora: Look at Smoking World                                                                                              | FuRyu                                  | Nintendo 3DS | 2014 | Japan
|       | Hana to Ikimono Rittai Zukan                                                                                                 | Nintendo                               | Nintendo 3DS | 2011 | Japan
|       | Happiness Charge PreCure! Kawa-Run * Collection                                                                              | Bandai Namco Games                     | Nintendo 3DS | 2014 | Japan
|       | Happy * Animal Bokujou                                                                                                       | Ubisoft                                | Nintendo 3DS | 2012 | Japan
