|       | Razor Freestyle Scooter                          | Crave                   | Nintendo 64 | 2001 | North America
|       | Re-Volt                                          | Acclaim                 | Nintendo 64 | 1999 | North America
|       | Ready 2 Rumble Boxing                            | Midway                  | Nintendo 64 | 1999 | North America
|       | Ready 2 Rumble Boxing: Round 2                   | Midway                  | Nintendo 64 | 2000 | North America
|       | Resident Evil 2                                  | Capcom                  | Nintendo 64 | 1999 | North America
|       | Ridge Racer 64                                   | Nintendo                | Nintendo 64 | 2000 | North America
|       | Road Rash 64                                     | THQ                     | Nintendo 64 | 1999 | North America
|       | Roadsters                                        | Titus Software          | Nintendo 64 | 1999 | North America
|       | Robotron 64                                      | Crave                   | Nintendo 64 | 1998 | North America
|       | Rocket: Robot on Wheels                          | Ubisoft                 | Nintendo 64 | 1999 | North America
|       | Rugrats in Paris: The Movie                      | THQ                     | Nintendo 64 | 2000 | North America
|       | Rugrats: Scavenger Hunt                          | THQ                     | Nintendo 64 | 1999 | North America
|       | Rush 2: Extreme Racing USA                       | Midway                  | Nintendo 64 | 1998 | North America
|       | S.C.A.R.S                                        | Ubisoft                 | Nintendo 64 | 1998 | North America
|       | San Francisco Rush 2049                          | Midway                  | Nintendo 64 | 2000 | North America
|       | San Francisco Rush: Extreme Racing               | Midway                  | Nintendo 64 | 1997 | North America
|       | Scooby-Doo! Classic Creep Capers                 | THQ                     | Nintendo 64 | 2001 | North America
|       | Sesame Street: Elmo's Letter Adventure           | NewKidCo                | Nintendo 64 | 1999 | North America
|       | Sesame Street: Elmo's Number Journey             | NewKidCo                | Nintendo 64 | 1999 | North America
|       | Shadow Man                                       | Acclaim                 | Nintendo 64 | 1999 | North America
|       | Shadowgate 64: Trials of the Four Towers         | Kemco                   | Nintendo 64 | 1999 | North America
|       | Snowboard Kids                                   | ATLUS                   | Nintendo 64 | 1998 | North America
|       | Snowboard Kids 2                                 | ATLUS                   | Nintendo 64 | 1999 | North America
|       | South Park                                       | Acclaim                 | Nintendo 64 | 1998 | North America
