|       | Final Fight Guy                                                                         | Capcom                       | Super Nintendo | 1994 | North America
|       | Firepower 2000                                                                          | SunSoft                      | Super Nintendo | 1992 | North America
|       | Firestriker                                                                             | DTMC                         | Super Nintendo | 1994 | North America
|       | First Samurai                                                                           | Kemco                        | Super Nintendo | 1993 | North America
|       | Flashback: The Quest for Identity                                                       | U.S. Gold                    | Super Nintendo | 1994 | North America
|       | Flintstones, The                                                                        | Ocean                        | Super Nintendo | 1995 | North America
|       | Flintstones: The Treasure of Sierra Madrock, The                                        | Taito Corporation            | Super Nintendo | 1994 | North America
|       | Football Fury                                                                           | American Sammy               | Super Nintendo | 1993 | North America
|       | Foreman For Real                                                                        | Acclaim                      | Super Nintendo | 1995 | North America
|       | Frank Thomas Big Hurt Baseball                                                          | Acclaim                      | Super Nintendo | 1995 | North America
|       | Frantic Flea                                                                            | GameTek                      | Super Nintendo | 1996 | North America
|       | Frogger                                                                                 | Majesco Games                | Super Nintendo | 1998 | North America
|       | Full Throttle All-America Racing                                                        | Cybersoft                    | Super Nintendo | 1995 | North America
|       | Fun 'N' Games                                                                           | Tradewest                    | Super Nintendo | 1994 | North America
|       | Garry Kitchen's Super Battletank: War in the Gulf                                       | Absolute Entertainment       | Super Nintendo | 1992 | North America
|       | Gemfire                                                                                 | Koei                         | Super Nintendo | 1992 | North America
|       | Genghis Khan II: Clan of the Gray Wolf                                                  | Koei                         | Super Nintendo | 1993 | North America
|       | George Foreman's KO Boxing                                                              | Acclaim                      | Super Nintendo | 1992 | North America
|       | Ghoul Patrol                                                                            | JVC Musical Industries, Inc. | Super Nintendo | 1994 | North America
|       | Goal!                                                                                   | Jaleco Entertainment         | Super Nintendo | 1992 | North America
|       | Gods                                                                                    | Mindscape Inc.               | Super Nintendo | 1992 | North America
|       | GP-1                                                                                    | ATLUS                        | Super Nintendo | 1993 | North America
|       | GP-1 Part II                                                                            | ATLUS                        | Super Nintendo | 1994 | North America
|       | Gradius III                                                                             | Konami                       | Super Nintendo | 1991 | North America
|       | Great Circus Mystery, The                                                               | Capcom                       | Super Nintendo | 1994 | North America
|       | Great Waldo Search, The                                                                 | THQ                          | Super Nintendo | 1993 | North America
|       | GunForce                                                                                | Irem                         | Super Nintendo | 1992 | North America
|       | Hagane                                                                                  | Hudson                       | Super Nintendo | 1995 | North America
|       | HAL's Hole in One Golf                                                                  | Hal                          | Super Nintendo | 1991 | North America
|       | HammerLock Wrestling                                                                    | Jaleco Entertainment         | Super Nintendo | 1994 | North America
|       | Hardball III                                                                            | Accolade                     | Super Nintendo | 1994 | North America
|       | Harley's Humongous Adventure                                                            | Hi Tech Expressions          | Super Nintendo | 1993 | North America
|       | Harvest Moon                                                                            | Natsume                      | Super Nintendo | 1997 | North America
|       | Head-On Soccer                                                                          | U.S. Gold                    | Super Nintendo | 1995 | North America
|       | Hit the Ice                                                                             | Taito Corporation            | Super Nintendo | 1993 | North America
|       | Home Alone                                                                              | THQ                          | Super Nintendo | 1991 | North America
|       | Home Alone 2: Lost in New York                                                          | THQ                          | Super Nintendo | 1992 | North America
|       | Home Improvement                                                                        | Absolute Entertainment       | Super Nintendo | 1994 | North America
|       | Hook                                                                                    | Sony Imagesoft               | Super Nintendo | 1992 | North America
|       | Hunt for Red October, The                                                               | Hi Tech Expressions          | Super Nintendo | 1993 | North America
|       | Hurricanes                                                                              | U.S. Gold                    | Super Nintendo | 1994 | North America
|       | Hyper V-Ball                                                                            | Mc O'River                   | Super Nintendo | 1994 | North America
|       | HyperZone                                                                               | Hal                          | Super Nintendo | 1991 | North America
|       | Ignition Factor, The                                                                    | Jaleco Entertainment         | Super Nintendo | 1995 | North America
|       | Illusion of Gaia                                                                        | Nintendo                     | Super Nintendo | 1994 | North America
|       | Imperium                                                                                | Vic Tokai                    | Super Nintendo | 1992 | North America
|       | Incantation                                                                             | Titus Software               | Super Nintendo | 1996 | North America
|       | Incredible Crash Dummies, The                                                           | LJN Ltd.                     | Super Nintendo | 1993 | North America
|       | Incredible Hulk, The                                                                    | U.S. Gold                    | Super Nintendo | 1994 | North America
|       | Indiana Jones' Greatest Adventures                                                      | JVC Digital Studios          | Super Nintendo | 1994 | North America
|       | Inindo: Way of the Ninja                                                                | Koei                         | Super Nintendo | 1993 | North America
|       | Inspector Gadget                                                                        | Hudson Soft                  | Super Nintendo | 1993 | North America
|       | International Superstar Soccer                                                          | Konami                       | Super Nintendo | 1995 | North America
|       | International Superstar Soccer Deluxe                                                   | Konami                       | Super Nintendo | 1995 | North America
|       | International Tennis Tour                                                               | Taito Corporation            | Super Nintendo | 1993 | North America
|       | Irem Skins Game, The                                                                    | Irem                         | Super Nintendo | 1992 | North America
|       | Itchy & Scratchy Game, The                                                              | Acclaim                      | Super Nintendo | 1995 | North America
|       | Izzy's Quest for the Olympic Rings                                                      | U.S. Gold                    | Super Nintendo | 1995 | North America
|       | J.R.R. Tolkien's The Lord of the Rings: Volume 1                                        | Interplay                    | Super Nintendo | 1994 | North America
|       | Jack Nicklaus Golf                                                                      | Tradewest                    | Super Nintendo | 1992 | North America
|       | James Bond Jr.                                                                          | THQ                          | Super Nintendo | 1992 | North America
|       | Jammit                                                                                  | GTE Entertainment            | Super Nintendo | 1994 | North America
|       | Jeopardy!                                                                               | GameTek                      | Super Nintendo | 1992 | North America
|       | Jeopardy! Deluxe Edition                                                                | GameTek                      | Super Nintendo | 1994 | North America
|       | Jeopardy! Sports Edition                                                                | GameTek                      | Super Nintendo | 1994 | North America
|       | Jetsons: Invasion of the Planet Pirates, The                                            | Taito Corporation            | Super Nintendo | 1994 | North America
|       | Jim Lee's Wild C.A.T.S: Covert Action Teams                                             | Playmates                    | Super Nintendo | 1995 | North America
|       | Jim Power: Lost Dimension in 3D                                                         | Electro Brain                | Super Nintendo | 1993 | North America
|       | Jimmy Connors Pro Tennis Tour                                                           | Ubisoft                      | Super Nintendo | 1992 | North America
|       | Jimmy Houston's Bass Tournament U.S.A.                                                  | American Sammy               | Super Nintendo | 1995 | North America
|       | Joe & Mac                                                                               | Data East                    | Super Nintendo | 1992 | North America
|       | Joe & Mac 2: Lost in the Tropics                                                        | Data East                    | Super Nintendo | 1994 | North America
|       | John Madden Football                                                                    | Electronic Arts              | Super Nintendo | 1991 | North America
|       | John Madden Football '93                                                                | Electronic Arts              | Super Nintendo | 1992 | North America
|       | Judge Dredd                                                                             | Acclaim                      | Super Nintendo | 1995 | North America
|       | Jungle Strike                                                                           | Electronic Arts              | Super Nintendo | 1995 | North America
