|       | X-Men: Gamesmaster's Legacy                                | Sega                        | Game Gear | 1995 | North America
|       | X-Men: Mojo World                                          | Sega                        | Game Gear | 1996 | North America
|       | Zool: Ninja of the "Nth" Dimension                         | GameTek                     | Game Gear | 1993 | North America
|       | Zoop                                                       | Viacom New Media            | Game Gear | 1995 | North America
|       | Addams Family, The                                     | Flying Edge             | Game Gear | 1994 | Europe
|       | Adventures of Batman & Robin, The                      | Sega                    | Game Gear | 1995 | Europe
|       | Aerial Assault                                         | Sega                    | Game Gear | 1992 | Europe
|       | Alien 3                                                | Arena                   | Game Gear | 1994 | Europe
|       | Alien Syndrome                                         | Sega                    | Game Gear | 1992 | Europe
|       | Arena                                                  | Sega                    | Game Gear | 1996 | Europe
|       | Asterix and the Great Rescue                           | Sega                    | Game Gear | 1993 | Europe
|       | Asterix and the Secret Mission                         | Sega                    | Game Gear | 1993 | Europe
|       | Ax Battler: A Legend of Golden Axe                     | Sega                    | Game Gear | 1991 | Europe
|       | Ayrton Senna's Super Monaco GP II                      | Sega                    | Game Gear | 1992 | Europe
|       | Baku Baku                                              | Sega                    | Game Gear | 1996 | Europe
|       | Batman Forever                                         | Acclaim                 | Game Gear | 1995 | Europe
|       | Batman Returns                                         | Sega                    | Game Gear | 1993 | Europe
|       | Battletoads                                            | Sega                    | Game Gear | 1993 | Europe
|       | Beavis and Butt-head                                   | Viacom New Media        | Game Gear | 1995 | Europe
|       | Bram Stoker's Dracula                                  | Sony Imagesoft          | Game Gear | 1993 | Europe
|       | Bugs Bunny in Double Trouble                           | Sega                    | Game Gear | 1996 | Europe
|       | Castle of Illusion starring Mickey Mouse               | Sega                    | Game Gear | 1991 | Europe
|       | Chakan                                                 | Sega                    | Game Gear | 1992 | Europe
|       | Championship Hockey                                    | U.S. Gold               | Game Gear | 1994 | Europe
|       | Cheese Cat-Astrophe Starring Speedy Gonzales           | Sega                    | Game Gear | 1995 | Europe
|       | Chessmaster, The                                       | Sega                    | Game Gear | 1991 | Europe
|       | Chuck Rock                                             | Sega                    | Game Gear | 1992 | Europe
|       | Chuck Rock II: Son of Chuck                            | Virgin Interactive      | Game Gear | 1993 | Europe
|       | CJ Elephant Fugitive                                   | Codemasters             | Game Gear | 1994 | Europe
|       | Columns                                                | Sega                    | Game Gear | 1990 | Europe
|       | Cool Spot                                              | Virgin Interactive      | Game Gear | 1993 | Europe
|       | Cosmic Spacehead                                       | Codemasters             | Game Gear | 1993 | Europe
|       | Crystal Warriors                                       | Sega                    | Game Gear | 1992 | Europe
|       | Daffy Duck in Hollywood                                | Sega                    | Game Gear | 1994 | Europe
|       | Deep Duck Trouble starring Donald Duck                 | Sega                    | Game Gear | 1994 | Europe
|       | Defenders of Oasis                                     | Sega                    | Game Gear | 1992 | Europe
|       | Desert Speedtrap Starring Road Runner & Wile E. Coyote | Sega                    | Game Gear | 1994 | Europe
|       | Desert Strike                                          | Domark                  | Game Gear | 1994 | Europe
|       | Devilish                                               | Sega                    | Game Gear | 1992 | Europe
|       | Disney's Aladdin                                       | Sega                    | Game Gear | 1994 | Europe
|       | Disney's Ariel: The Little Mermaid                     | Sega                    | Game Gear | 1993 | Europe
|       | Disney's Bonkers: Wax Up!                              | Sega                    | Game Gear | 1995 | Europe
|       | Disney's TaleSpin                                      | Sega                    | Game Gear | 1993 | Europe
|       | Double Dragon: The Revenge of Billy Lee                | Virgin Interactive      | Game Gear | 1993 | Europe
|       | Dr. Robotnik's Mean Bean Machine                       | Sega                    | Game Gear | 1993 | Europe
|       | Dragon Crystal                                         | Sega                    | Game Gear | 1991 | Europe
|       | Dragon: The Bruce Lee Story                            | Virgin Interactive      | Game Gear | 1994 | Europe
|       | Dropzone                                               | Codemasters             | Game Gear | 1994 | Europe
|       | Dynamite Headdy                                        | Sega                    | Game Gear | 1994 | Europe
|       | Earthworm Jim                                          | Virgin Interactive      | Game Gear | 1995 | Europe
|       | Ecco the Dolphin                                       | Sega                    | Game Gear | 1994 | Europe
|       | Ecco: The Tides of Time                                | Sega                    | Game Gear | 1995 | Europe
|       | Ernie Els Golf                                         | Codemasters             | Game Gear | 1994 | Europe
|       | Evander 'Real Deal' Holyfield's Boxing                 | Sega                    | Game Gear | 1992 | Europe
|       | Excellent Dizzy Collection                             | Codemasters             | Game Gear | 1993 | Europe
|       | F-15 Strike Eagle                                      | MicroProse              | Game Gear | 1993 | Europe
|       | F1 Racing                                              | Domark                  | Game Gear | 1993 | Europe
|       | F1 World Championship Edition                          | Domark                  | Game Gear | 1995 | Europe
|       | Factory Panic                                          | Sega                    | Game Gear | 1991 | Europe
|       | Fantastic Dizzy                                        | Codemasters             | Game Gear | 1993 | Europe
|       | Fantasy Zone                                           | Sega                    | Game Gear | 1992 | Europe
|       | Fatal Fury Special                                     | Takara                  | Game Gear | 1994 | Europe
|       | FIFA International Soccer                              | Electronic Arts         | Game Gear | 1994 | Europe
|       | FIFA Soccer 96                                         | Black Pearl             | Game Gear | 1995 | Europe
|       | G-LOC Air Battle                                       | Sega                    | Game Gear | 1991 | Europe
|       | Galaga 2                                               | Namco                   | Game Gear | 1991 | Europe
|       | Garfield: Caught in the Act                            | Sega                    | Game Gear | 1995 | Europe
|       | George Foreman's KO Boxing                             | Flying Edge             | Game Gear | 1992 | Europe
|       | Global Gladiators                                      | Virgin Interactive      | Game Gear | 1992 | Europe
|       | GP Rider                                               | Sega                    | Game Gear | 1994 | Europe
|       | Halley Wars                                            | Sega                    | Game Gear | 1991 | Europe
|       | Home Alone                                             | Sega                    | Game Gear | 1993 | Europe
|       | Hook                                                   | Sony Imagesoft          | Game Gear | 1992 | Europe
|       | Hurricanes                                             | U.S. Gold               | Game Gear | 1994 | Europe
|       | Incredible Crash Dummies, The                          | Flying Edge             | Game Gear | 1992 | Europe
|       | Incredible Hulk, The                                   | U.S. Gold               | Game Gear | 1995 | Europe
|       | Indiana Jones and the Last Crusade                     | U.S. Gold               | Game Gear | 1992 | Europe
|       | Itchy & Scratchy Game, The                             | Acclaim                 | Game Gear | 1995 | Europe
|       | James Bond 007: The Duel                               | Domark                  | Game Gear | 1993 | Europe
|       | James Pond 2: Codename RoboCod                         | U.S. Gold               | Game Gear | 1993 | Europe
|       | James Pond 3: Operation Starfish                       | U.S. Gold               | Game Gear | 1994 | Europe
|       | Joe Montana Football                                   | Sega                    | Game Gear | 1991 | Europe
|       | Judge Dredd                                            | Acclaim                 | Game Gear | 1995 | Europe
|       | Jurassic Park                                          | Sega                    | Game Gear | 1993 | Europe
|       | Kawasaki Superbikes                                    | Domark                  | Game Gear | 1995 | Europe
|       | Klax                                                   | Tengen                  | Game Gear | 1992 | Europe
|       | Krusty's Fun House                                     | Flying Edge             | Game Gear | 1992 | Europe
|       | Land of Illusion starring Mickey Mouse                 | Sega                    | Game Gear | 1993 | Europe
|       | Legend of Illusion starring Mickey Mouse               | Sega                    | Game Gear | 1995 | Europe
|       | Lemmings                                               | Sega                    | Game Gear | 1992 | Europe
|       | Lion King, The                                         | Virgin Interactive      | Game Gear | 1995 | Europe
|       | Lucky Dime Caper Starring Donald Duck, The             | Sega                    | Game Gear | 1991 | Europe
|       | Madden 96                                              | Electronic Arts         | Game Gear | 1996 | Europe
|       | Madden NFL 95                                          | THQ                     | Game Gear | 1995 | Europe
|       | Man Overboard!                                         | Codemasters             | Game Gear | 1993 | Europe
|       | Marble Madness                                         | Tengen                  | Game Gear | 1992 | Europe
|       | Marko's Magic Football                                 | Domark                  | Game Gear | 1993 | Europe
|       | Master of Darkness                                     | Sega                    | Game Gear | 1993 | Europe
|       | Micro Machines                                         | Codemasters             | Game Gear | 1993 | Europe
|       | Micro Machines 2: Turbo Tournament                     | Codemasters             | Game Gear | 1995 | Europe
|       | Mighty Morphin Power Rangers                           | Sega                    | Game Gear | 1994 | Europe
|       | Mighty Morphin Power Rangers: The Movie                | Sega                    | Game Gear | 1995 | Europe
|       | Monster Truck Wars                                     | Acclaim                 | Game Gear | 1995 | Europe
|       | Mortal Kombat                                          | Arena                   | Game Gear | 1993 | Europe
|       | Mortal Kombat 3                                        | Acclaim                 | Game Gear | 1996 | Europe
|       | Mortal Kombat II                                       | Acclaim                 | Game Gear | 1994 | Europe
|       | NBA Jam                                                | Arena                   | Game Gear | 1994 | Europe
|       | NBA Jam Tournament Edition                             | Acclaim                 | Game Gear | 1995 | Europe
|       | NFL Quarterback Club                                   | Acclaim                 | Game Gear | 1994 | Europe
|       | NHL Hockey                                             | EA Sports               | Game Gear | 1994 | Europe
|       | Ninja Gaiden                                           | Sega                    | Game Gear | 1991 | Europe
|       | Olympic Gold: Barcelona '92                            | U.S. Gold               | Game Gear | 1992 | Europe
|       | Ottifants, The                                         | Sega                    | Game Gear | 1993 | Europe
|       | OutRun                                                 | Sega                    | Game Gear | 1991 | Europe
|       | OutRun Europa                                          | U.S. Gold               | Game Gear | 1991 | Europe
|       | Paperboy                                               | Tengen                  | Game Gear | 1992 | Europe
|       | Pengo                                                  | Sega                    | Game Gear | 1991 | Europe
|       | Pete Sampras Tennis                                    | Codemasters             | Game Gear | 1994 | Europe
|       | PGA Tour 96                                            | Black Pearl             | Game Gear | 1996 | Europe
|       | PGA Tour Golf                                          | Tengen                  | Game Gear | 1994 | Europe
|       | PGA Tour Golf II                                       | Time Warner Interactive | Game Gear | 1995 | Europe
|       | Phantom 2040                                           | Viacom New Media        | Game Gear | 1995 | Europe
|       | Popils: The Blockbusting Challenge                     | Tengen                  | Game Gear | 1992 | Europe
|       | Power Drive                                            | U.S. Gold               | Game Gear | 1994 | Europe
|       | Power Strike II                                        | Sega                    | Game Gear | 1994 | Europe
|       | Predator 2                                             | Arena                   | Game Gear | 1992 | Europe
|       | Primal Rage                                            | Time Warner Interactive | Game Gear | 1995 | Europe
|       | Prince of Persia                                       | Domark                  | Game Gear | 1992 | Europe
|       | Psychic World                                          | Sega                    | Game Gear | 1991 | Europe
|       | Putt & Putter                                          | Sega                    | Game Gear | 1991 | Europe
|       | Quest for the Shaven Yak starring Ren & Stimpy         | Sega                    | Game Gear | 1994 | Europe
|       | Rise of the Robots                                     | Time Warner Interactive | Game Gear | 1995 | Europe
