|       | Druaga no Tou                                                            | Namco                        | Nintendo Entertainment System | 1985 | Japan
|       | Duck Hunt                                                                | Nintendo                     | Nintendo Entertainment System | 1984 | Japan
|       | Dungeon & Magic: Swords of Element                                       | Natsume                      | Nintendo Entertainment System | 1989 | Japan
|       | Dungeon Kid                                                              | Quest                        | Nintendo Entertainment System | 1990 | Japan
|       | Dynamite Batman                                                          | SunSoft                      | Nintendo Entertainment System | 1991 | Japan
|       | Dynamite Bowl                                                            | Toshiba EMI                  | Nintendo Entertainment System | 1987 | Japan
|       | Eggerland: Meikyuu no Fukkatsu                                           | HAL Labs                     | Nintendo Entertainment System | 1988 | Japan
|       | Egypt                                                                    | Human Entertainment          | Nintendo Entertainment System | 1991 | Japan
|       | Elevator Action                                                          | Taito Corporation            | Nintendo Entertainment System | 1985 | Japan
|       | Elnark no Zaihou                                                         | Towa Chiki                   | Nintendo Entertainment System | 1987 | Japan
|       | Elysion                                                                  | Tokyo Shoseki                | Nintendo Entertainment System | 1988 | Japan
|       | Emoyan no 10-bai Pro Yakyuu                                              | Hect                         | Nintendo Entertainment System | 1989 | Japan
|       | Erika to Satoru no Yume Bouken                                           | Namco                        | Nintendo Entertainment System | 1988 | Japan
|       | Esper Boukentai                                                          | Jaleco Entertainment         | Nintendo Entertainment System | 1987 | Japan
|       | Esper Dream 2: Aratanaru Tatakai                                         | Konami                       | Nintendo Entertainment System | 1992 | Japan
|       | Excitebike                                                               | Nintendo                     | Nintendo Entertainment System | 1984 | Japan
|       | Exciting Boxing                                                          | Konami                       | Nintendo Entertainment System | 1987 | Japan
|       | Exciting Rally: World Rally Championship                                 | Kaken                        | Nintendo Entertainment System | 1992 | Japan
|       | Exed Exes                                                                | Tokuma Shoten                | Nintendo Entertainment System | 1985 | Japan
|       | Exerion                                                                  | Jaleco Entertainment         | Nintendo Entertainment System | 1985 | Japan
|       | F-1 Sensation                                                            | Konami                       | Nintendo Entertainment System | 1993 | Japan
|       | F1 Circus                                                                | Nichibutsu                   | Nintendo Entertainment System | 1992 | Japan
|       | F1 Race                                                                  | Nintendo                     | Nintendo Entertainment System | 1984 | Japan
|       | Famicom Doubutsu Seitai Zukan! Katte ni Shirokuma: Mori o Sukue no Maki! | CBS Sony Group               | Nintendo Entertainment System | 1989 | Japan
|       | Famicom Igo Nyuumon                                                      | I'Max                        | Nintendo Entertainment System | 1991 | Japan
|       | Famicom Jump II: Saikyou no 7-nin                                        | Bandai                       | Nintendo Entertainment System | 1991 | Japan
|       | Famicom Jump: Eiyuu Retsuden                                             | Bandai                       | Nintendo Entertainment System | 1989 | Japan
|       | Famicom Meijinsen                                                        | SNK                          | Nintendo Entertainment System | 1988 | Japan
|       | Famicom Shogi: Ryuu-Ou-Sen                                               | I'Max                        | Nintendo Entertainment System | 1991 | Japan
|       | Famicom Top Management                                                   | Koei                         | Nintendo Entertainment System | 1990 | Japan
|       | Famicom Wars                                                             | Nintendo                     | Nintendo Entertainment System | 1988 | Japan
|       | Famicom Yakyuuban                                                        | Epoch                        | Nintendo Entertainment System | 1989 | Japan
|       | Family Basic                                                             | Nintendo                     | Nintendo Entertainment System | 1984 | Japan
|       | Family Basic V3                                                          | Nintendo                     | Nintendo Entertainment System | 1985 | Japan
|       | Family Block                                                             | Athena                       | Nintendo Entertainment System | 1991 | Japan
|       | Family Boxing                                                            | Namco                        | Nintendo Entertainment System | 1987 | Japan
|       | Family Circuit                                                           | Namco                        | Nintendo Entertainment System | 1988 | Japan
|       | Family Circuit '91                                                       | Namco                        | Nintendo Entertainment System | 1991 | Japan
|       | Family Jockey                                                            | Namco                        | Nintendo Entertainment System | 1987 | Japan
|       | Family Mahjong                                                           | Namco                        | Nintendo Entertainment System | 1987 | Japan
|       | Family Mahjong II: Shanghai he no Michi                                  | Namco                        | Nintendo Entertainment System | 1988 | Japan
|       | Family Pinball                                                           | Namco                        | Nintendo Entertainment System | 1989 | Japan
|       | Family Quiz: 4-nin wa Rival                                              | Athena                       | Nintendo Entertainment System | 1988 | Japan
|       | Family Tennis                                                            | Namco                        | Nintendo Entertainment System | 1987 | Japan
|       | Family Trainer: Aerobics Studio                                          | Bandai                       | Nintendo Entertainment System | 1987 | Japan
|       | Family Trainer: Athletic World                                           | Bandai                       | Nintendo Entertainment System | 1986 | Japan
|       | Family Trainer: Famitre Daiundoukai                                      | Bandai                       | Nintendo Entertainment System | 1987 | Japan
|       | Family Trainer: Fuuun! Takeshi Jou 2                                     | Bandai                       | Nintendo Entertainment System | 1988 | Japan
