|       | Mickey's Speedway USA                                                    | Nintendo                            | Game Boy Color | 2001 | Europe
|       | Micro Machines 1 and 2: Twin Turbo                                       | THQ                                 | Game Boy Color | 2000 | Europe
|       | Micro Machines V3                                                        | THQ                                 | Game Boy Color | 2000 | Europe
|       | Micro Maniacs                                                            | THQ                                 | Game Boy Color | 2001 | Europe
|       | Microsoft Pinball Arcade                                                 | Cryo Interactive                    | Game Boy Color | 2001 | Europe
|       | Microsoft: The 6in1 Puzzle Collection Entertainment Pack                 | Conspiracy Entertainment            | Game Boy Color | 2000 | Europe
|       | Microsoft: The Best of Entertainment Pack                                | Cryo Interactive                    | Game Boy Color | 2001 | Europe
|       | Midway Presents Arcade Hits: Joust / Defender                            | Midway                              | Game Boy Color | 1999 | Europe
|       | Midway presents Arcade Hits: Spy Hunter / Moon Patrol                    | Midway                              | Game Boy Color | 1999 | Europe
|       | Missile Command                                                          | Hasbro Interactive                  | Game Boy Color | 1999 | Europe
|       | Mission: Impossible                                                      | Infogrames                          | Game Boy Color | 2000 | Europe
|       | Monkey Puncher                                                           | Event Horizon Software              | Game Boy Color | 2000 | Europe
|       | Montezuma's Return                                                       | Take-Two Interactive                | Game Boy Color | 1998 | Europe
|       | Moomin's Tale                                                            | SunSoft                             | Game Boy Color | 2000 | Europe
|       | Moorhuhn 2: Die Jagd Geht Weiter                                         | Phenomedia                          | Game Boy Color | 2001 | Europe
|       | Moorhuhn 3: ...Es Gibt Huhn!                                             | Ubisoft                             | Game Boy Color | 2002 | Europe
|       | Mortal Kombat 4                                                          | Midway                              | Game Boy Color | 1999 | Europe
|       | Mr. Driller                                                              | Virgin Interactive                  | Game Boy Color | 2000 | Europe
|       | Mr. Nutz                                                                 | Infogrames                          | Game Boy Color | 1999 | Europe
|       | Ms. Pac-Man: Special Colour Edition                                      | Acclaim                             | Game Boy Color | 1999 | Europe
|       | MTV Sports: Pure Ride                                                    | THQ                                 | Game Boy Color | 2000 | Europe
|       | MTV Sports: Skateboarding Featuring Andy Macdonald                       | THQ                                 | Game Boy Color | 2000 | Europe
|       | MTV Sports: T.J. Lavin's Ultimate BMX                                    | THQ                                 | Game Boy Color | 2000 | Europe
|       | Mummy Returns, The                                                       | Havas Interactive                   | Game Boy Color | 2001 | Europe
|       | Mummy, The                                                               | Konami                              | Game Boy Color | 2000 | Europe
|       | NASCAR 2000                                                              | Electronic Arts                     | Game Boy Color | 2000 | Europe
|       | Nations: Land of Legends, The                                            | JoWooD Entertainment AG             | Game Boy Color | 2002 | Europe
|       | NBA In the Zone 2000                                                     | Konami                              | Game Boy Color | 2000 | Europe
|       | NBA Jam 2001                                                             | Acclaim                             | Game Boy Color | 2000 | Europe
|       | NBA Jam 99                                                               | Acclaim                             | Game Boy Color | 1998 | Europe
|       | NBA Pro '99                                                              | Konami                              | Game Boy Color | 1999 | Europe
|       | New Addams Family Series, The                                            | Microids                            | Game Boy Color | 2002 | Europe
|       | New Adventures of Mary-Kate & Ashley, The                                | Acclaim                             | Game Boy Color | 2001 | Europe
|       | NFL Blitz                                                                | Midway                              | Game Boy Color | 1998 | Europe
|       | NHL 2000                                                                 | Electronic Arts                     | Game Boy Color | 1999 | Europe
|       | No Fear: Downhill Mountain Biking                                        | THQ                                 | Game Boy Color | 2001 | Europe
|       | Noddy and the Birthday Party                                             | BBC Multimedia                      | Game Boy Color | 2000 | Europe
|       | NYR: New York Race                                                       | Wanadoo                             | Game Boy Color | 2001 | Europe
|       | Oddworld Adventures 2                                                    | Infogrames                          | Game Boy Color | 2000 | Europe
|       | Ottifanten: Kommando Stortebeker                                         | JoWooD Entertainment AG             | Game Boy Color | 2001 | Europe
|       | Pac-Man: Special Colour Edition                                          | Acclaim                             | Game Boy Color | 1999 | Europe
|       | Paperboy                                                                 | Midway                              | Game Boy Color | 1999 | Europe
|       | Papyrus                                                                  | Ubisoft                             | Game Boy Color | 2000 | Europe
|       | Perfect Dark                                                             | Rare Ltd.                           | Game Boy Color | 2000 | Europe
|       | Pitfall: Beyond the Jungle                                               | Interplay                           | Game Boy Color | 1999 | Europe
|       | Planet of the Apes                                                       | Ubisoft                             | Game Boy Color | 2001 | Europe
|       | Player Manager 2001                                                      | THQ                                 | Game Boy Color | 2001 | Europe
|       | Playmobil Interactive: Laura                                             | Ubisoft                             | Game Boy Color | 2000 | Europe
|       | Pocket Bomberman                                                         | Nintendo                            | Game Boy Color | 1999 | Europe
|       | Pocket Music                                                             | Rage Software                       | Game Boy Color | 2002 | Europe
|       | Pocket Racing                                                            | Virgin Interactive                  | Game Boy Color | 2000 | Europe
|       | Pocket Soccer                                                            | Nintendo                            | Game Boy Color | 2001 | Europe
|       | Pokemon Gold Version                                                     | Nintendo                            | Game Boy Color | 2001 | Europe
|       | Pokemon Pinball                                                          | Nintendo                            | Game Boy Color | 2000 | Europe
