|       | Police Connection                                         | Nippon Telenet                        | TurboGrafx-16 CD | 1993 | Japan
|       | Pomping World                                             | Hudson                                | TurboGrafx-16 CD | 1991 | Japan
|       | Pop'n Magic                                               | Nippon Telenet                        | TurboGrafx-16 CD | 1992 | Japan
|       | Popful Mail: Magical Fantasy Adventure                    | NEC Interchannel                      | TurboGrafx-16 CD | 1994 | Japan
|       | Populous: The Promised Lands                              | Hudson                                | TurboGrafx-16 CD | 1991 | Japan
|       | Power Golf 2: Golfer                                      | Hudson                                | TurboGrafx-16 CD | 1994 | Japan
|       | Prince of Persia                                          | Riverhillsoft                         | TurboGrafx-16 CD | 1991 | Japan
|       | Princess Maker 1                                          | NEC Interchannel                      | TurboGrafx-16 CD | 1995 | Japan
|       | Princess Maker 2                                          | NEC Interchannel                      | TurboGrafx-16 CD | 1995 | Japan
|       | Princess Minerva                                          | Riverhillsoft                         | TurboGrafx-16 CD | 1994 | Japan
|       | Private eye dol                                           | NEC Interchannel                      | TurboGrafx-16 CD | 1995 | Japan
|       | Pro Yakyuu Super '94, The                                 | Intec                                 | TurboGrafx-16 CD | 1994 | Japan
|       | Pro Yakyuu Super, The                                     | Intec                                 | TurboGrafx-16 CD | 1992 | Japan
|       | Pro Yakyuu, The                                           | Intec                                 | TurboGrafx-16 CD | 1990 | Japan
|       | Psychic Detective Series Vol. 3: Aya                      | DataWest                              | TurboGrafx-16 CD | 1992 | Japan
|       | Psychic Detective Series Vol. 4: Orgel                    | DataWest                              | TurboGrafx-16 CD | 1993 | Japan
|       | Psychic Storm                                             | Nippon Telenet                        | TurboGrafx-16 CD | 1992 | Japan
|       | Puyo Puyo CD                                              | NEC Interchannel                      | TurboGrafx-16 CD | 1994 | Japan
|       | Puyo Puyo CD Tsuu                                         | NEC Interchannel                      | TurboGrafx-16 CD | 1996 | Japan
|       | Quiz Avenue                                               | NEC Interchannel                      | TurboGrafx-16 CD | 1991 | Japan
|       | Quiz Avenue II                                            | NEC Interchannel                      | TurboGrafx-16 CD | 1991 | Japan
|       | Quiz Avenue III                                           | NEC Interchannel                      | TurboGrafx-16 CD | 1994 | Japan
|       | Quiz Caravan Cult Q                                       | Hudson                                | TurboGrafx-16 CD | 1993 | Japan
|       | Quiz de Gakuensai                                         | Naxat Soft                            | TurboGrafx-16 CD | 1993 | Japan
|       | Quiz Marugoto The World                                   | ATLUS                                 | TurboGrafx-16 CD | 1991 | Japan
|       | Quiz Marugoto The World II                                | ATLUS                                 | TurboGrafx-16 CD | 1992 | Japan
|       | Quiz no Hoshi                                             | SunSoft                               | TurboGrafx-16 CD | 1992 | Japan
|       | Quiz Tonosama no Yabou                                    | Hudson                                | TurboGrafx-16 CD | 1992 | Japan
|       | R-Type Complete CD                                        | Irem                                  | TurboGrafx-16 CD | 1991 | Japan
|       | Rainbow Islands                                           | NEC Interchannel                      | TurboGrafx-16 CD | 1993 | Japan
|       | Ranma 1/2                                                 | NCS                                   | TurboGrafx-16 CD | 1990 | Japan
|       | Ranma 1/2: Datou, Ganso Musabetsu Kakutou-ryuu!           | NCS                                   | TurboGrafx-16 CD | 1992 | Japan
|       | Ranma 1/2: Toraware no Hanayome                           | NCS                                   | TurboGrafx-16 CD | 1991 | Japan
|       | Rayxanber II                                              | DataWest                              | TurboGrafx-16 CD | 1991 | Japan
|       | RayXanbeR III                                             | DataWest                              | TurboGrafx-16 CD | 1992 | Japan
|       | Red Alert                                                 | Nippon Telenet                        | TurboGrafx-16 CD | 1989 | Japan
|       | Renny Blaster                                             | NEC Interchannel                      | TurboGrafx-16 CD | 1995 | Japan
|       | Rising Sun                                                | Victor Interactive Software           | TurboGrafx-16 CD | 1992 | Japan
|       | Road Spirits                                              | Pack-In-Video                         | TurboGrafx-16 CD | 1991 | Japan
|       | Rom Rom Karaoke Vol. 1: Suteki ni Standard                | NEC Interchannel                      | TurboGrafx-16 CD | 1989 | Japan
|       | Rom Rom Karaoke Vol. 2: Nattoku Idol                      | NEC Interchannel                      | TurboGrafx-16 CD | 1989 | Japan
|       | Rom Rom Karaoke Vol. 3: Yappashi Band                     | NEC Interchannel                      | TurboGrafx-16 CD | 1989 | Japan
|       | Rom Rom Karaoke Vol. 4: Choito Otona!?                    | NEC Interchannel                      | TurboGrafx-16 CD | 1990 | Japan
