|       | Gargoyle's Quest II                                         | Capcom                         | Nintendo Entertainment System | 1992 | North America
|       | Gauntlet                                                    | Tengen                         | Nintendo Entertainment System | 1987 | North America
|       | Gauntlet II                                                 | Mindscape Inc.                 | Nintendo Entertainment System | 1990 | North America
|       | Gemfire                                                     | Koei                           | Nintendo Entertainment System | 1992 | North America
|       | Genghis Khan                                                | Koei                           | Nintendo Entertainment System | 1990 | North America
|       | George Foreman's KO Boxing                                  | Acclaim                        | Nintendo Entertainment System | 1992 | North America
|       | Ghost Lion                                                  | Kemco                          | Nintendo Entertainment System | 1992 | North America
|       | Ghostbusters                                                | Activision                     | Nintendo Entertainment System | 1988 | North America
|       | Ghostbusters II                                             | Activision                     | Nintendo Entertainment System | 1990 | North America
|       | Ghosts 'n Goblins                                           | Capcom                         | Nintendo Entertainment System | 1986 | North America
|       | Ghoul School                                                | Electro Brain                  | Nintendo Entertainment System | 1992 | North America
|       | Goal!                                                       | Jaleco Entertainment           | Nintendo Entertainment System | 1989 | North America
|       | Goal! Two                                                   | Jaleco Entertainment           | Nintendo Entertainment System | 1992 | North America
|       | Godzilla 2: War of the Monsters                             | Toho                           | Nintendo Entertainment System | 1992 | North America
|       | Godzilla: Monster of Monsters!                              | Toho                           | Nintendo Entertainment System | 1989 | North America
|       | Golf                                                        | Nintendo                       | Nintendo Entertainment System | 1985 | North America
|       | Golf Grand Slam                                             | ATLUS                          | Nintendo Entertainment System | 1991 | North America
|       | Golgo 13: Top Secret Episode                                | Vic Tokai                      | Nintendo Entertainment System | 1988 | North America
|       | Goonies II, The                                             | Konami                         | Nintendo Entertainment System | 1987 | North America
|       | Gotcha! The Sport!                                          | LJN Ltd.                       | Nintendo Entertainment System | 1987 | North America
|       | Gradius                                                     | Konami                         | Nintendo Entertainment System | 1986 | North America
|       | Great Waldo Search, The                                     | THQ                            | Nintendo Entertainment System | 1992 | North America
|       | Greg Norman's Golf Power                                    | Virgin Interactive             | Nintendo Entertainment System | 1992 | North America
|       | Gremlins 2: The New Batch                                   | SunSoft                        | Nintendo Entertainment System | 1990 | North America
|       | Guerrilla War                                               | SNK                            | Nintendo Entertainment System | 1989 | North America
|       | Gumshoe                                                     | Nintendo                       | Nintendo Entertainment System | 1986 | North America
|       | Gun Nac                                                     | ASCII Entertainment            | Nintendo Entertainment System | 1991 | North America
|       | Gun.Smoke                                                   | Capcom                         | Nintendo Entertainment System | 1988 | North America
|       | Gyromite                                                    | Nintendo                       | Nintendo Entertainment System | 1985 | North America
|       | Gyruss                                                      | Ultra                          | Nintendo Entertainment System | 1989 | North America
|       | Harlem Globetrotters                                        | GameTek                        | Nintendo Entertainment System | 1991 | North America
|       | Hatris                                                      | Bullet Proof Software          | Nintendo Entertainment System | 1992 | North America
