|       | Dream C Club Zero: Special Edipyon!                                                                  | D3Publisher                            | PlayStation 3 | 2013 | Japan
|       | Dream C Club: Complete Edipyon!                                                                      | D3Publisher                            | PlayStation 3 | 2012 | Japan
|       | Drift Nights: Juiced 2                                                                               | THQ                                    | PlayStation 3 | 2008 | Japan
|       | Driver: San Francisco                                                                                | Ubisoft                                | PlayStation 3 | 2011 | Japan
|       | Duke Nukem Forever                                                                                   | 2K Games                               | PlayStation 3 | 2012 | Japan
|       | Dunamis 15                                                                                           | 5pb                                    | PlayStation 3 | 2011 | Japan
|       | Dungeon Siege III                                                                                    | Square Enix                            | PlayStation 3 | 2011 | Japan
|       | Dungeons & Dragons: Mystara Eiyuu Senki                                                              | Capcom                                 | PlayStation 3 | 2013 | Japan
|       | E.X. Troopers                                                                                        | Capcom                                 | PlayStation 3 | 2012 | Japan
|       | EA Sports Sougoukakutougi                                                                            | EA Sports                              | PlayStation 3 | 2010 | Japan
|       | Earth Defense Force: Insect Armageddon                                                               | D3Publisher                            | PlayStation 3 | 2011 | Japan
|       | Eat Lead: Matt Hazard no Gyakushuu                                                                   | D3Publisher                            | PlayStation 3 | 2010 | Japan
