|       | Spec Ops II: Omega Squad                                  | Ripcord Games            | Sega Dreamcast | 2000 | North America
|       | Speed Devils                                              | Ubisoft                  | Sega Dreamcast | 1999 | North America
|       | Speed Devils Online Racing                                | Ubisoft                  | Sega Dreamcast | 2000 | North America
|       | Spider-Man                                                | Activision               | Sega Dreamcast | 2001 | North America
|       | Spirit of Speed 1937                                      | LJN Ltd.                 | Sega Dreamcast | 2000 | North America
|       | Sports Jam                                                | Agetec Inc.              | Sega Dreamcast | 2001 | North America
|       | Star Wars Episode I: Jedi Power Battles                   | LucasArts                | Sega Dreamcast | 2000 | North America
|       | Star Wars Episode I: Racer                                | LucasArts                | Sega Dreamcast | 2000 | North America
|       | Star Wars: Demolition                                     | LucasArts                | Sega Dreamcast | 2000 | North America
|       | StarLancer                                                | Crave                    | Sega Dreamcast | 2000 | North America
|       | Street Fighter Alpha 3                                    | Capcom                   | Sega Dreamcast | 2000 | North America
|       | Street Fighter III: 3rd Strike                            | Capcom                   | Sega Dreamcast | 2000 | North America
|       | Street Fighter III: Double Impact                         | Capcom                   | Sega Dreamcast | 2000 | North America
|       | Striker Pro 2000                                          | Infogrames               | Sega Dreamcast | 2000 | North America
|       | Stupid Invaders                                           | Ubisoft                  | Sega Dreamcast | 2001 | North America
|       | Sturmwind                                                 | redspotgames             | Sega Dreamcast | 2013 | North America
|       | Super Magnetic Neo                                        | Crave                    | Sega Dreamcast | 2000 | North America
|       | Super Runabout: San Francisco Edition                     | Interplay                | Sega Dreamcast | 2000 | North America
|       | Surf Rocket Racers                                        | Crave                    | Sega Dreamcast | 2001 | North America
|       | Suzuki Alstare Extreme Racing                             | Ubisoft                  | Sega Dreamcast | 1999 | North America
|       | Sword of the Berserk: Guts' Rage                          | Eidos Interactive        | Sega Dreamcast | 2000 | North America
|       | Sydney 2000                                               | Eidos Interactive        | Sega Dreamcast | 2000 | North America
|       | Tech Romancer                                             | Capcom                   | Sega Dreamcast | 2000 | North America
|       | Tee Off                                                   | Acclaim                  | Sega Dreamcast | 1999 | North America
|       | Tennis 2K2                                                | Sega                     | Sega Dreamcast | 2001 | North America
|       | Test Drive 6                                              | Infogrames               | Sega Dreamcast | 1999 | North America
|       | Test Drive Le Mans                                        | Infogrames               | Sega Dreamcast | 2000 | North America
|       | Test Drive V-Rally                                        | Infogrames               | Sega Dreamcast | 2000 | North America
|       | Time Stalkers                                             | Sega                     | Sega Dreamcast | 1999 | North America
|       | TNN Motorsports HardCore Heat                             | ASC Games                | Sega Dreamcast | 1999 | North America
|       | Tokyo Xtreme Racer                                        | Crave                    | Sega Dreamcast | 1999 | North America
|       | Tokyo Xtreme Racer 2                                      | Crave                    | Sega Dreamcast | 2000 | North America
|       | Tom Clancy's Rainbow Six                                  | Majesco Games            | Sega Dreamcast | 2000 | North America
|       | Tom Clancy's Rainbow Six: Rogue Spear                     | Red Storm Entertainment  | Sega Dreamcast | 2000 | North America
|       | Tomb Raider: Chronicles                                   | Eidos Interactive        | Sega Dreamcast | 2000 | North America
|       | Tomb Raider: The Last Revelation                          | Eidos Interactive        | Sega Dreamcast | 2001 | North America
|       | Tony Hawk's Pro Skater                                    | Crave                    | Sega Dreamcast | 2000 | North America
|       | Tony Hawk's Pro Skater 2                                  | Activision               | Sega Dreamcast | 2000 | North America
|       | Toy Commander                                             | Sega                     | Sega Dreamcast | 1999 | North America
|       | Toy Story 2: Buzz Lightyear to the Rescue!                | Activision               | Sega Dreamcast | 2000 | North America
|       | TrickStyle                                                | Acclaim                  | Sega Dreamcast | 1999 | North America
|       | Typing of the Dead, The                                   | Sega                     | Sega Dreamcast | 2001 | North America
|       | Ultimate Fighting Championship                            | Crave                    | Sega Dreamcast | 2000 | North America
|       | Unreal Tournament                                         | Infogrames               | Sega Dreamcast | 2001 | North America
|       | Urban Chaos                                               | Eidos Interactive        | Sega Dreamcast | 2000 | North America
|       | Vanishing Point                                           | Acclaim                  | Sega Dreamcast | 2000 | North America
|       | Vigilante 8: 2nd Offense                                  | Activision               | Sega Dreamcast | 1999 | North America
|       | Virtua Athlete 2000                                       | Agetec Inc.              | Sega Dreamcast | 2001 | North America
|       | Virtua Fighter 3tb                                        | Sega                     | Sega Dreamcast | 1999 | North America
|       | Virtua Striker 2                                          | Sega                     | Sega Dreamcast | 2000 | North America
|       | Virtua Tennis                                             | Sega                     | Sega Dreamcast | 2000 | North America
|       | Wacky Races                                               | Infogrames               | Sega Dreamcast | 2000 | North America
|       | Walt Disney World Quest: Magical Racing Tour              | Eidos Interactive        | Sega Dreamcast | 2000 | North America
|       | Wetrix+                                                   | Xicat Interactive        | Sega Dreamcast | 1999 | North America
|       | Who Wants to Beat Up a Millionaire?                       | Berkeley                 | Sega Dreamcast | 2013 | North America
|       | Wild Metal                                                | Rockstar Games           | Sega Dreamcast | 2000 | North America
|       | World Series Baseball 2K1                                 | Sega                     | Sega Dreamcast | 2000 | North America
|       | World Series Baseball 2K2                                 | Sega                     | Sega Dreamcast | 2001 | North America
|       | Worms Armageddon                                          | Hasbro Interactive       | Sega Dreamcast | 1999 | North America
|       | Worms World Party                                         | Titus Software           | Sega Dreamcast | 2001 | North America
|       | WWF Attitude                                              | Acclaim                  | Sega Dreamcast | 1999 | North America
|       | WWF Royal Rumble                                          | THQ                      | Sega Dreamcast | 2000 | North America
|       | Xtreme Sports                                             | Infogrames               | Sega Dreamcast | 2000 | North America
|       | Zombie Revenge                                            | Sega                     | Sega Dreamcast | 1999 | North America
