|       | Royal Pro Wrestling: Jikkyou Live!!                                                                    | Natsume                       | 3DO Interactive Multiplayer | 1996 | Japan
|       | Samurai Shodown                                                                                        | BMG Interactive Entertainment | 3DO Interactive Multiplayer | 1995 | Japan
|       | San Goku Shi IV                                                                                        | Koei                          | 3DO Interactive Multiplayer | 1995 | Japan
|       | Scramble Cobra                                                                                         | Pack-In-Video                 | 3DO Interactive Multiplayer | 1995 | Japan
|       | Seimei Handan                                                                                          | Ariadne                       | 3DO Interactive Multiplayer | 1995 | Japan
|       | Sekura/Fuumin no Mocha Hako                                                                            | Grams'                        | 3DO Interactive Multiplayer | 1994 | Japan
|       | Sesame Street: Numbers                                                                                 | Electronic Arts Victor        | 3DO Interactive Multiplayer | 1995 | Japan
|       | Shadow Warriors                                                                                        | T&E Soft                      | 3DO Interactive Multiplayer | 1994 | Japan
|       | Shanghai: Banri no Choujou                                                                             | Electronic Arts Victor        | 3DO Interactive Multiplayer | 1994 | Japan
|       | Shockwave                                                                                              | Electronic Arts Victor        | 3DO Interactive Multiplayer | 1994 | Japan
|       | Shockwave: Operation Jumpgate                                                                          | Electronic Arts Victor        | 3DO Interactive Multiplayer | 1995 | Japan
|       | Short Warp                                                                                             | WARP                          | 3DO Interactive Multiplayer | 1996 | Japan
|       | Slam 'n Jam '95: 3D Basketball                                                                         | BMG Interactive Entertainment | 3DO Interactive Multiplayer | 1995 | Japan
|       | Sotsugyou II: Neo Generation Special                                                                   | SharRock                      | 3DO Interactive Multiplayer | 1995 | Japan
|       | Sotsugyou: Graduation Final                                                                            | SharRock                      | 3DO Interactive Multiplayer | 1994 | Japan
|       | Star Control II                                                                                        | Crystal Dynamics              | 3DO Interactive Multiplayer | 1995 | Japan
|       | Star Wars: Rebel Assault                                                                               | Electronic Arts Victor        | 3DO Interactive Multiplayer | 1995 | Japan
|       | Starblade                                                                                              | Namco                         | 3DO Interactive Multiplayer | 1994 | Japan
|       | Stellar 7: Draxon no Gyakushuu                                                                         | T&E Soft                      | 3DO Interactive Multiplayer | 1994 | Japan
|       | Strahl                                                                                                 | Media Entertainment           | 3DO Interactive Multiplayer | 1994 | Japan
|       | Super Real Mahjong P V                                                                                 | Seta Corporation              | 3DO Interactive Multiplayer | 1995 | Japan
|       | Super Real Mahjong PIV + Aishou Shindan                                                                | Seta Corporation              | 3DO Interactive Multiplayer | 1995 | Japan
|       | Super Street Fighter II X                                                                              | Capcom                        | 3DO Interactive Multiplayer | 1994 | Japan
|       | Super Wing Commander                                                                                   | Electronic Arts Victor        | 3DO Interactive Multiplayer | 1994 | Japan
|       | Supermodel Gail McKenna                                                                                | Digital Production            | 3DO Interactive Multiplayer | 1995 | Japan
|       | Supreme Warrior                                                                                        | Acclaim Japan                 | 3DO Interactive Multiplayer | 1995 | Japan
|       | Sword & Sorcery                                                                                        | Micro Cabin                   | 3DO Interactive Multiplayer | 1995 | Japan
|       | Syndicate                                                                                              | Electronic Arts Victor        | 3DO Interactive Multiplayer | 1995 | Japan
|       | Taiketsu! Rooms                                                                                        | Sanyei Shobou                 | 3DO Interactive Multiplayer | 1995 | Japan
|       | Takeru                                                                                                 | Fun Project                   | 3DO Interactive Multiplayer | 1994 | Japan
|       | Tanjou: Debut Pure                                                                                     | SharRock                      | 3DO Interactive Multiplayer | 1996 | Japan
|       | Tarot Uranai                                                                                           | Ariadne                       | 3DO Interactive Multiplayer | 1995 | Japan
|       | Tetsujin                                                                                               | Panasonic                     | 3DO Interactive Multiplayer | 1994 | Japan
|       | Tetsujin Returns                                                                                       | Synergy Inc.                  | 3DO Interactive Multiplayer | 1995 | Japan
|       | Theatre Wars: Goraku no Dendou                                                                         | Hamlet                        | 3DO Interactive Multiplayer | 1994 | Japan
|       | Theme Park                                                                                             | Electronic Arts Victor        | 3DO Interactive Multiplayer | 1995 | Japan
|       | Toki o Koeta Tegami                                                                                    | Thinking Rabbit               | 3DO Interactive Multiplayer | 1994 | Japan
|       | Tokimeki Mahjong Paradise Special                                                                      | Sonnet                        | 3DO Interactive Multiplayer | 1996 | Japan
|       | Tom Kite no Korega Golf da                                                                             | Vise                          | 3DO Interactive Multiplayer | 1994 | Japan
|       | Total Eclipse                                                                                          | Crystal Dynamics              | 3DO Interactive Multiplayer | 1994 | Japan
