|       | FlatOut 2                                                                 | Vivendi Games                          | Xbox   | 2006 | North America
|       | Ford Bold Moves Street Racing                                             | Eidos Interactive                      | Xbox   | 2006 | North America
|       | Ford Mustang: The Legend Lives                                            | 2K Games                               | Xbox   | 2005 | North America
|       | Ford Racing 2                                                             | Take-Two Interactive                   | Xbox   | 2003 | North America
|       | Ford Racing 3                                                             | 2K Games                               | Xbox   | 2005 | North America
|       | Ford vs. Chevy                                                            | Global Star Software                   | Xbox   | 2005 | North America
|       | Forgotten Realms: Demon Stone                                             | Atari                                  | Xbox   | 2004 | North America
|       | Forza Motorsport                                                          | Microsoft Game Studios                 | Xbox   | 2005 | North America
|       | Freaky Flyers                                                             | Midway                                 | Xbox   | 2003 | North America
|       | Freedom Fighters                                                          | EA Games                               | Xbox   | 2003 | North America
|       | Freestyle Metal X                                                         | Midway                                 | Xbox   | 2003 | North America
|       | Freestyle Street Soccer                                                   | Acclaim                                | Xbox   | 2004 | North America
|       | Frogger Beyond                                                            | Konami                                 | Xbox   | 2002 | North America
|       | Frogger: Ancient Shadow                                                   | Konami                                 | Xbox   | 2005 | North America
|       | From Russia With Love                                                     | Electronic Arts                        | Xbox   | 2005 | North America
|       | Full Spectrum Warrior                                                     | THQ                                    | Xbox   | 2004 | North America
|       | Full Spectrum Warrior: Ten Hammers                                        | THQ                                    | Xbox   | 2006 | North America
|       | Furious Karting                                                           | Atari                                  | Xbox   | 2003 | North America
|       | Futurama                                                                  | VU Games                               | Xbox   | 2003 | North America
|       | Future Tactics: The Uprising                                              | Crave                                  | Xbox   | 2004 | North America
|       | Fuzion Frenzy                                                             | Microsoft Game Studios                 | Xbox   | 2001 | North America
|       | Galleon: Islands of Mystery                                               | ATLUS                                  | Xbox   | 2004 | North America
|       | Gauntlet Dark Legacy                                                      | Midway                                 | Xbox   | 2002 | North America
|       | Gauntlet: Seven Sorrows                                                   | Midway                                 | Xbox   | 2005 | North America
|       | Genma Onimusha                                                            | Capcom                                 | Xbox   | 2002 | North America
|       | Gladiator: Sword of Vengeance                                             | Acclaim                                | Xbox   | 2003 | North America
|       | Gladius                                                                   | LucasArts                              | Xbox   | 2003 | North America
|       | Goblin Commander: Unleash the Horde                                       | Jaleco Entertainment                   | Xbox   | 2003 | North America
|       | Godfather: The Game, The                                                  | Electronic Arts                        | Xbox   | 2006 | North America
|       | Godzilla: Destroy All Monsters Melee                                      | Atari                                  | Xbox   | 2003 | North America
|       | Godzilla: Save the Earth                                                  | Atari                                  | Xbox   | 2004 | North America
|       | GoldenEye: Rogue Agent                                                    | EA Games                               | Xbox   | 2004 | North America
|       | Grabbed by the Ghoulies                                                   | Microsoft Game Studios                 | Xbox   | 2003 | North America
|       | Grand Theft Auto Double Pack                                              | Rockstar Games                         | Xbox   | 2003 | North America
|       | Grand Theft Auto III                                                      | Rockstar Games                         | Xbox   | 2003 | North America
|       | Grand Theft Auto: San Andreas                                             | Rockstar Games                         | Xbox   | 2005 | North America
|       | Grand Theft Auto: The Trilogy                                             | Rockstar Games                         | Xbox   | 2005 | North America
|       | Grand Theft Auto: Vice City                                               | Rockstar Games                         | Xbox   | 2003 | North America
|       | Gravity Games Bike: Street Vert Dirt                                      | Midway                                 | Xbox   | 2002 | North America
|       | Great Escape, The                                                         | Gotham Games                           | Xbox   | 2003 | North America
|       | Greg Hastings' Tournament Paintball                                       | Activision                             | Xbox   | 2004 | North America
|       | Greg Hastings' Tournament Paintball Max'd                                 | Activision                             | Xbox   | 2005 | North America
|       | Grooverider Slot Car Thunder                                              | Encore Software, Inc.                  | Xbox   | 2003 | North America
|       | Group S Challenge                                                         | Capcom                                 | Xbox   | 2003 | North America
|       | Guilty Gear X2 #Reload                                                    | Majesco Games                          | Xbox   | 2004 | North America
|       | Gun                                                                       | Activision                             | Xbox   | 2005 | North America
|       | Gun Metal                                                                 | Majesco Games                          | Xbox   | 2002 | North America
|       | GunGriffon: Allied Strike                                                 | Tecmo                                  | Xbox   | 2004 | North America
|       | GunValkyrie                                                               | Sega                                   | Xbox   | 2002 | North America
|       | Guy Game, The                                                             | Gathering                              | Xbox   | 2004 | North America
|       | Half-Life 2                                                               | Electronic Arts                        | Xbox   | 2005 | North America
|       | Halo 2                                                                    | Microsoft Game Studios                 | Xbox   | 2004 | North America
