|       | Sorcery Saga: The Curse of the Great Curry God                         | Aksys Games                            | PlayStation Vita | 2013 | North America
|       | Soul Sacrifice                                                         | SCEA                                   | PlayStation Vita | 2013 | North America
|       | SpongeBob HeroPants                                                    | Activision                             | PlayStation Vita | 2015 | North America
|       | Spy Hunter                                                             | Warner Bros. Interactive Entertainment | PlayStation Vita | 2012 | North America
|       | Stealth Inc: A Clone in the Dark Ultimate Edition                      | Limited Run Games                      | PlayStation Vita | 2016 | North America
|       | Steins;Gate                                                            | PQube                                  | PlayStation Vita | 2015 | North America
|       | Steins;Gate 0                                                          | PQube                                  | PlayStation Vita | 2016 | North America
|       | Stranger of Sword City                                                 | NIS America                            | PlayStation Vita | 2016 | North America
|       | Street Fighter X Tekken                                                | Capcom                                 | PlayStation Vita | 2012 | North America
|       | Summon Night 6: Lost Borders                                           | GAIJINWORKS                            | PlayStation Vita | 2017 | North America
|       | Super Monkey Ball: Banana Splitz                                       | Sega                                   | PlayStation Vita | 2012 | North America
|       | SUPERBEAT: XONiC                                                       | PM Studios Inc.                        | PlayStation Vita | 2015 | North America
|       | Superdimension Neptune VS Sega Hard Girls                              | Idea Factory                           | PlayStation Vita | 2016 | North America
|       | Supremacy MMA: Unrestricted                                            | 505 Games                              | PlayStation Vita | 2012 | North America
|       | Swapper, The                                                           | Limited Run Games                      | PlayStation Vita | 2017 | North America
|       | Swindle, The                                                           | Limited Run Games                      | PlayStation Vita | 2017 | North America
|       | Sword Art Online: Lost Song                                            | Bandai Namco Games                     | PlayStation Vita | 2015 | North America
|       | Tales of Hearts R                                                      | Bandai Namco Games                     | PlayStation Vita | 2014 | North America
|       | Tearaway                                                               | SCEA                                   | PlayStation Vita | 2013 | North America
|       | Terraria                                                               | 505 Games                              | PlayStation Vita | 2015 | North America
|       | Tetris Ultimate                                                        | Ubisoft                                | PlayStation Vita | 2015 | North America
|       | Thomas Was Alone                                                       | Limited Run Games                      | PlayStation Vita | 2016 | North America
|       | Tokyo Tattoo Girls                                                     | NIS America                            | PlayStation Vita | 2017 | North America
|       | Tokyo Tattoo Girls                                                     | NIS America                            | PlayStation Vita | 2017 | North America
|       | Tokyo Tattoo Girls                                                     | NIS America                            | PlayStation Vita | 2017 | North America
|       | Tokyo Twilight Ghost Hunters                                           | Aksys Games                            | PlayStation Vita | 2015 | North America
|       | Tokyo Xanadu                                                           | Aksys Games                            | PlayStation Vita | 2017 | North America
|       | Touch My Katamari                                                      | Namco Bandai Games America             | PlayStation Vita | 2012 | North America
|       | Touhou Genso Wanderer                                                  | NIS America                            | PlayStation Vita | 2017 | North America
|       | Touhou Kobuto V: Burst Battle                                          | NIS America                            | PlayStation Vita | 2017 | North America
|       | Toukiden 2                                                             | Koei Tecmo Games                       | PlayStation Vita | 2017 | North America
|       | Toukiden: Kiwami                                                       | Koei Tecmo Games                       | PlayStation Vita | 2015 | North America
|       | Toukiden: The Age of Demons                                            | Koei Tecmo Games                       | PlayStation Vita | 2014 | North America
|       | Trillion: God of Destruction                                           | Idea Factory                           | PlayStation Vita | 2016 | North America
|       | Ultimate Marvel vs. Capcom 3                                           | Capcom                                 | PlayStation Vita | 2012 | North America
|       | Uncharted: Golden Abyss                                                | SCEA                                   | PlayStation Vita | 2012 | North America
|       | Unit 13                                                                | SCEA                                   | PlayStation Vita | 2012 | North America
|       | Utawarerumono: Mask of Deception                                       | ATLUS                                  | PlayStation Vita | 2017 | North America
|       | Utawarerumono: Mask of Truth                                           | ATLUS                                  | PlayStation Vita | 2017 | North America
