|       | Famicom Mini: Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo Zenkouhen                      | Nintendo                     | Game Boy Advance | 2004 | Japan
|       | Famicom Mini: Ganbare Goemon! Karakuri Douchuu                                                    | Konami                       | Game Boy Advance | 2004 | Japan
|       | Famicom Mini: Hikari Shinwa: Palutena no Kagami                                                   | Nintendo                     | Game Boy Advance | 2004 | Japan
|       | Famicom Mini: Ice Climber                                                                         | Nintendo                     | Game Boy Advance | 2004 | Japan
|       | Famicom Mini: Kidou Senshi Z-Gundam - Hot Scramble                                                | Bandai                       | Game Boy Advance | 2004 | Japan
|       | Famicom Mini: Makai-Mura                                                                          | Capcom                       | Game Boy Advance | 2004 | Japan
|       | Famicom Mini: Mappy                                                                               | Nintendo                     | Game Boy Advance | 2004 | Japan
|       | Famicom Mini: Mario Bros.                                                                         | Nintendo                     | Game Boy Advance | 2004 | Japan
|       | Famicom Mini: Metroid                                                                             | Nintendo                     | Game Boy Advance | 2004 | Japan
|       | Famicom Mini: Nazo no Murasame-Jou                                                                | Nintendo                     | Game Boy Advance | 2004 | Japan
|       | Famicom Mini: Pac-Man                                                                             | Nintendo                     | Game Boy Advance | 2004 | Japan
|       | Famicom Mini: SD Gundam World Gachapon Senshi - Scramble Wars                                     | Nintendo                     | Game Boy Advance | 2004 | Japan
|       | Famicom Mini: Star Soldier                                                                        | Nintendo                     | Game Boy Advance | 2004 | Japan
|       | Famicom Mini: Super Mario Bros.                                                                   | Nintendo                     | Game Boy Advance | 2004 | Japan
|       | Famicom Mini: Super Mario Bros. 2                                                                 | Nintendo                     | Game Boy Advance | 2004 | Japan
|       | Famicom Mini: Takahashi Meijin no Bouken Jima                                                     | Hudson                       | Game Boy Advance | 2004 | Japan
|       | Famicom Mini: The Legend of Zelda 2: Link no Bouken                                               | Nintendo                     | Game Boy Advance | 2004 | Japan
|       | Famicom Mini: TwinBee                                                                             | Konami                       | Game Boy Advance | 2004 | Japan
|       | Famicom Mini: Wrecking Crew                                                                       | Nintendo                     | Game Boy Advance | 2004 | Japan
|       | Famicom Mini: Xevious                                                                             | Nintendo                     | Game Boy Advance | 2004 | Japan
|       | Famicom Mini: Zelda no Densetsu                                                                   | Nintendo                     | Game Boy Advance | 2004 | Japan
|       | Family Tennis Advance                                                                             | Namco                        | Game Boy Advance | 2002 | Japan
|       | Famista Advance                                                                                   | Namco                        | Game Boy Advance | 2002 | Japan
|       | Fancy Pocket                                                                                      | Jorudan                      | Game Boy Advance | 2002 | Japan
|       | Fantastic Children                                                                                | Bandai                       | Game Boy Advance | 2005 | Japan
|       | Fantastic Marchen: Cake-yasan Monogatari + Doubutsu Chara Navi Uranai  Kosei Shinri Gaku          | Culture Brain                | Game Boy Advance | 2002 | Japan
|       | Field of Nine: Digital Edition 2001                                                               | Konami                       | Game Boy Advance | 2001 | Japan
|       | Final Fantasy I & II Advance                                                                      | Square Enix                  | Game Boy Advance | 2004 | Japan
|       | Final Fantasy IV Advance                                                                          | Square Enix                  | Game Boy Advance | 2005 | Japan
|       | Final Fantasy Tactics Advance                                                                     | SquareSoft                   | Game Boy Advance | 2003 | Japan
|       | Final Fantasy V Advance                                                                           | Square Enix                  | Game Boy Advance | 2006 | Japan
|       | Final Fantasy VI Advance                                                                          | Square Enix                  | Game Boy Advance | 2006 | Japan
|       | Final Fight One                                                                                   | Capcom                       | Game Boy Advance | 2001 | Japan
|       | Final Fire ProWrestling: Yume no Dantai Unei!                                                     | Spike                        | Game Boy Advance | 2002 | Japan
|       | Fire Emblem: Fuuin no Tsurugi                                                                     | Nintendo                     | Game Boy Advance | 2002 | Japan
|       | Fire Emblem: Rekka no Ken                                                                         | Nintendo                     | Game Boy Advance | 2003 | Japan
|       | Fire Emblem: Seima no Kouseki                                                                     | Nintendo                     | Game Boy Advance | 2004 | Japan
