|       | Chessmaster II                                                                                         | Mindscape                           | PlayStation | 1999 | Europe
|       | Chicken Run                                                                                            | Eidos Interactive                   | PlayStation | 2000 | Europe
|       | Chill                                                                                                  | Eidos Interactive                   | PlayStation | 1998 | Europe
|       | China: The Forbidden City                                                                              | Cryo Interactive                    | PlayStation | 1999 | Europe
|       | Chocobo Racing                                                                                         | SquareSoft                          | PlayStation | 1999 | Europe
|       | Chris Kamara's Street Soccer                                                                           | Midas Interactive Entertainment     | PlayStation | 2000 | Europe
|       | Chronicles of the Sword                                                                                | Psygnosis                           | PlayStation | 1996 | Europe
|       | Cindy's Caribbean Holiday                                                                              | Phoenix Games                       | PlayStation | 2003 | Europe
|       | Cindy's Fashion World                                                                                  | Phoenix Games                       | PlayStation | 2003 | Europe
|       | Circuit Breakers                                                                                       | Mindscape                           | PlayStation | 1998 | Europe
|       | City of Lost Children, The                                                                             | Psygnosis                           | PlayStation | 1997 | Europe
|       | Civilization II                                                                                        | Activision                          | PlayStation | 1999 | Europe
|       | Cleopatra Fortune                                                                                      | Midas Interactive Entertainment     | PlayStation | 2003 | Europe
|       | Clock Tower                                                                                            | ASCII Entertainment                 | PlayStation | 1998 | Europe
|       | Colin McRae Rally                                                                                      | Codemasters                         | PlayStation | 1998 | Europe
|       | Colin McRae Rally 2.0                                                                                  | Codemasters                         | PlayStation | 2000 | Europe
|       | Colin McRae Rally 2.0 / No Fear Downhill Mountain Biking                                               | Codemasters                         | PlayStation | 2002 | Europe
