|       | Jikkyou Powerful Pro Yakyuu 15                                                           | Konami                     | Nintendo Wii | 2008 | Japan
|       | Jikkyou Powerful Pro Yakyuu Next                                                         | Konami                     | Nintendo Wii | 2009 | Japan
|       | Jikkyou Powerful Pro Yakyuu Wii                                                          | Konami                     | Nintendo Wii | 2007 | Japan
|       | Jikkyou Powerful Pro Yakyuu Wii Ketteiban                                                | Konami                     | Nintendo Wii | 2007 | Japan
|       | Jinsei Game Wii                                                                          | Takara Tomy                | Nintendo Wii | 2007 | Japan
|       | Jinsei Game Wii EX                                                                       | Takara Tomy                | Nintendo Wii | 2008 | Japan
|       | Jinsei Game: Happy Family                                                                | Takara Tomy                | Nintendo Wii | 2010 | Japan
|       | Jissen Pachi-Slot Pachinko Hisshouhou! Sammy's Collection Hokuto no Ken Wii              | Sega                       | Nintendo Wii | 2007 | Japan
|       | Just Dance Wii                                                                           | Nintendo                   | Nintendo Wii | 2011 | Japan
|       | Just Dance Wii 2                                                                         | Nintendo                   | Nintendo Wii | 2012 | Japan
|       | Kage no Tou                                                                              | Hudson Soft                | Nintendo Wii | 2010 | Japan
|       | Kamen Rider Climax Heroes Fourze                                                         | Bandai Namco Games         | Nintendo Wii | 2011 | Japan
|       | Kamen Rider Climax Heroes OOO                                                            | Bandai Namco Games         | Nintendo Wii | 2010 | Japan
|       | Kamen Rider: Chou Climax Heroes                                                          | Bandai Namco Games         | Nintendo Wii | 2012 | Japan
|       | Kamen Rider: Climax Heroes W                                                             | Bandai Namco Games         | Nintendo Wii | 2009 | Japan
|       | Karaoke Joysound Wii                                                                     | Hudson                     | Nintendo Wii | 2009 | Japan
|       | Karaoke Joysound Wii DX                                                                  | Hudson                     | Nintendo Wii | 2009 | Japan
|       | Karaoke Joysound Wii Super DX: Hitori de Minna de Utai Houdai!                           | Hudson                     | Nintendo Wii | 2010 | Japan
|       | Karaoke Joysound Wii: Duet Kyokuhen                                                      | Hudson                     | Nintendo Wii | 2010 | Japan
|       | Karaoke Joysound Wii: Enka Kayoukyoku Hen                                                | Hudson                     | Nintendo Wii | 2010 | Japan
