|       | Meta Fight EX                                                        | SunSoft                      | Game Boy Color | 2000 | Japan
|       | Metal Gear: Ghost Babel                                              | Konami                       | Game Boy Color | 2000 | Japan
|       | Metamode                                                             | Koei                         | Game Boy Color | 2000 | Japan
|       | Minna no Shogi: Shokyuuhen                                           | MTO                          | Game Boy Color | 1999 | Japan
|       | Minnie & Friends: Yume no Kuni o Sagashite                           | Hudson                       | Game Boy Color | 2001 | Japan
|       | Mizuki Shigero no Shin Youkaiden                                     | Prime System                 | Game Boy Color | 2001 | Japan
|       | Mobile Golf                                                          | Nintendo                     | Game Boy Color | 2001 | Japan
|       | Momotarou Densetsu 1-2                                               | Hudson                       | Game Boy Color | 2001 | Japan
|       | Monster * Race 2                                                     | Koei                         | Game Boy Color | 1999 | Japan
|       | Monster Farm Battle Card GB                                          | Tecmo                        | Game Boy Color | 1999 | Japan
|       | Monster Traveler                                                     | Taito Corporation            | Game Boy Color | 2002 | Japan
|       | Mr. Driller                                                          | Namco                        | Game Boy Color | 2000 | Japan
|       | Mumin no Daibouken                                                   | SunSoft                      | Game Boy Color | 2000 | Japan
|       | Muteki-Oh Tri-Zenon                                                  | Marvelous Entertainment      | Game Boy Color | 2001 | Japan
|       | Nakayoshi Cooking Series 1: Oishii Cake Okusan                       | MTO                          | Game Boy Color | 2000 | Japan
|       | Nakayoshi Cooking Series 2: Oishii Pan Okusan                        | MTO                          | Game Boy Color | 2001 | Japan
|       | Nakayoshi Cooking Series 3: Tanoshiio Bentou                         | MTO                          | Game Boy Color | 2001 | Japan
|       | Nakayoshi Cooking Series 4: Tanoshii Dessert                         | MTO                          | Game Boy Color | 2001 | Japan
|       | Nakayoshi Cooking Series 5: Komugi-Chan no Cake o Tsukurou!          | MTO                          | Game Boy Color | 2002 | Japan
|       | Nakayoshi Pet Series 3: Kawaii Koinu                                 | MTO                          | Game Boy Color | 2000 | Japan
|       | Nakayoshi Pet Series 4: Kawaii Koneko                                | MTO                          | Game Boy Color | 2001 | Japan
|       | Nakayoshi Pet Series 5: Kawaii Hamster 2                             | MTO                          | Game Boy Color | 2001 | Japan
|       | Net de Get: Mini-Game @ 100                                          | Konami                       | Game Boy Color | 2001 | Japan
|       | Network Boukenki Bugsite: Alpha                                      | Smilesoft                    | Game Boy Color | 2001 | Japan
|       | Network Boukenki Bugsite: Beta                                       | Smilesoft                    | Game Boy Color | 2001 | Japan
|       | Nintama Rantarou: Ninjutsu Gakuen ni Nyuugaku Shiyou no Dan          | ASK                          | Game Boy Color | 2001 | Japan
|       | Nisemon: Puzzle da Mon!                                              | Prime System                 | Game Boy Color | 2001 | Japan
|       | Nobunaga no Yabou Game Boy Han 2                                     | Koei                         | Game Boy Color | 1999 | Japan
|       | Nushi Tsuri Adventure: Kite no Bouken                                | Victor Interactive Software  | Game Boy Color | 2000 | Japan
