|       | Gekijouban Madoka Magicka: The Battle Pentagram                                                      | Bandai Namco Games                     | PlayStation Vita | 2013 | Japan
|       | Gendai Daisenryaku 2016: Chitsujo no Houkai - Haken Kokka Shittsui                                   | SystemSoft Alpha                       | PlayStation Vita | 2016 | Japan
|       | Genji Koi Emaki                                                                                      | Quinrose                               | PlayStation Vita | 2015 | Japan
|       | Genkai Tokki Monster Monpiece                                                                        | Compile Heart                          | PlayStation Vita | 2013 | Japan
|       | Genkai Tokki: Moero Chronicle                                                                        | Compile Heart                          | PlayStation Vita | 2014 | Japan
|       | Genkai Tokki: Moero Crystal                                                                          | Compile Heart                          | PlayStation Vita | 2015 | Japan
|       | Genkai Tokki: Seven Pirates                                                                          | Compile Heart                          | PlayStation Vita | 2016 | Japan
|       | Geten no Hana with Yume Akari - Aizouban                                                             | Koei Tecmo Games                       | PlayStation Vita | 2016 | Japan
|       | Getsuei Gakuen: kou                                                                                  | Arc System Works                       | PlayStation Vita | 2013 | Japan
|       | Getsuei no Kusari: Kouran Moratorium                                                                 | Takuyo                                 | PlayStation Vita | 2016 | Japan
|       | Getsuei no Kusari: Sakuran Paranoia                                                                  | Takuyo                                 | PlayStation Vita | 2015 | Japan
|       | Ginsei Igo: Next Generation                                                                          | SilverStar                             | PlayStation Vita | 2014 | Japan
|       | Ginsei Shogi: Kyoutendo Toufuu Raijin                                                                | SilverStar                             | PlayStation Vita | 2012 | Japan
|       | Girl Friend Beta: Kimi to Sugosu Natsuyasumi                                                         | Bandai Namco Games                     | PlayStation Vita | 2015 | Japan
|       | Girls und Panzer: Senshado, Kiwamemasu!                                                              | Bandai Namco Games                     | PlayStation Vita | 2014 | Japan
|       | Gochuumon wa Usagi Desu ka?? Wonderful party!                                                        | 5pb                                    | PlayStation Vita | 2016 | Japan
|       | God Eater 2                                                                                          | Bandai Namco Games                     | PlayStation Vita | 2013 | Japan
|       | God Eater 2: Rage Burst                                                                              | Bandai Namco Games                     | PlayStation Vita | 2015 | Japan
|       | God Eater Resurrection                                                                               | Bandai Namco Games                     | PlayStation Vita | 2015 | Japan
|       | God of War Collection                                                                                | SCEI                                   | PlayStation Vita | 2014 | Japan
|       | God Wars: Toki o Koete                                                                               | Kadokawa                               | PlayStation Vita | 2017 | Japan
|       | Goes!                                                                                                | Future Tech Lab                        | PlayStation Vita | 2015 | Japan
|       | Golden Time: Vivid Memories                                                                          | Kadokawa                               | PlayStation Vita | 2014 | Japan
|       | Grand Kingdom                                                                                        | Spike Chunsoft                         | PlayStation Vita | 2015 | Japan
|       | Gravity Daze                                                                                         | SCEI                                   | PlayStation Vita | 2012 | Japan
|       | Grisaia no Kajitsu Spinout!? Idol Mahou Shoujo ChiruChiru*Michiru                                    | Prototype                              | PlayStation Vita | 2015 | Japan
|       | Grisaia no Kajitsu: Le Fruit de la Grisaia                                                           | Prototype                              | PlayStation Vita | 2013 | Japan
|       | Grisaia no Kajitsu: Side Episode                                                                     | Prototype                              | PlayStation Vita | 2017 | Japan
|       | Grisaia no Kajitsu: Side Episode                                                                     | Prototype                              | PlayStation Vita | 2017 | Japan
|       | Grisaia no Meikyuu: Le Labyrinthe de la Grisaia                                                      | Prototype                              | PlayStation Vita | 2014 | Japan
|       | Grisaia no Rakuen: Le Eden de la Grisaia                                                             | Prototype                              | PlayStation Vita | 2014 | Japan
|       | Gun Gun Pixies                                                                                       | Idea Factory                           | PlayStation Vita | 2017 | Japan
|       | Gundam Breaker                                                                                       | Bandai Namco Games                     | PlayStation Vita | 2013 | Japan
|       | Gundam Breaker 2                                                                                     | Bandai Namco Games                     | PlayStation Vita | 2014 | Japan
|       | Gundam Breaker 3                                                                                     | Bandai Namco Games                     | PlayStation Vita | 2016 | Japan
|       | Haitaka no Psychedelica                                                                              | Idea Factory                           | PlayStation Vita | 2016 | Japan
|       | Haitaka no Psychedelica                                                                              | Idea Factory                           | PlayStation Vita | 2016 | Japan
|       | Haiyore! Nyaruko-San: Meijoushigatai Game no You na Mono                                             | 5pb                                    | PlayStation Vita | 2013 | Japan
|       | Hakuisei Aijou Izonshou                                                                              | Kogado Studio                          | PlayStation Vita | 2015 | Japan
|       | Hakuouki SSL: Sweet School Life                                                                      | Idea Factory                           | PlayStation Vita | 2014 | Japan
|       | Hakuouki: Kyouka Roku                                                                                | Idea Factory                           | PlayStation Vita | 2013 | Japan
|       | Hakuouki: Reimeiroku - Omouhase Kara                                                                 | Idea Factory                           | PlayStation Vita | 2015 | Japan
|       | Hakuouki: Shinkai - Hana no Shou                                                                     | Idea Factory                           | PlayStation Vita | 2016 | Japan
|       | Hakuouki: Shinkai - Twin Pack                                                                        | Idea Factory                           | PlayStation Vita | 2016 | Japan
|       | Hakuouki: Yuugi Roku - Taishitachi no Daienkai                                                       | Idea Factory                           | PlayStation Vita | 2016 | Japan
|       | Hakuouki: Zuisouroku - Omokagebana                                                                   | Idea Factory                           | PlayStation Vita | 2015 | Japan
|       | Hana Oboro: Sengoku Denranki                                                                         | Idea Factory                           | PlayStation Vita | 2017 | Japan
|       | Hanasaki Work Spring                                                                                 | Entergram                              | PlayStation Vita | 2017 | Japan
|       | Hanasaku Manimani                                                                                    | 5pb                                    | PlayStation Vita | 2014 | Japan
|       | Hanayaka Nari, Wa ga Ichizoku: Gentou Nostalgie                                                      | Idea Factory                           | PlayStation Vita | 2015 | Japan
|       | Hanayaka Nari, Wa ga Ichizoku: Modern Nostalgie                                                      | Idea Factory                           | PlayStation Vita | 2015 | Japan
|       | Hanayamata: Yosakoi Live!                                                                            | Bandai Namco Games                     | PlayStation Vita | 2014 | Japan
|       | Harukanaru Toki no Naka de 3 Ultimate                                                                | Koei Tecmo Games                       | PlayStation Vita | 2017 | Japan
|       | Harukanaru Toki no Naka de 6                                                                         | Koei Tecmo Games                       | PlayStation Vita | 2015 | Japan
|       | Harukanaru Toki no Naka de 6: Gentou Rondo                                                           | Koei Tecmo Games                       | PlayStation Vita | 2016 | Japan
|       | Harvest OverRay                                                                                      | TGL                                    | PlayStation Vita | 2015 | Japan
|       | Hatsune Miku: Project Diva f                                                                         | Sega                                   | PlayStation Vita | 2012 | Japan
|       | Hatsune Miku: Project Diva F 2nd                                                                     | Sega                                   | PlayStation Vita | 2014 | Japan
|       | Hatsune Miku: Project Diva X                                                                         | Sega                                   | PlayStation Vita | 2016 | Japan
|       | Hatsuru Kotonaki Mirai Yori                                                                          | Prototype                              | PlayStation Vita | 2016 | Japan
|       | Hatsuyuki Sakura                                                                                     | Entergram                              | PlayStation Vita | 2017 | Japan
|       | Heiligenstadt no Uta                                                                                 | eXtend                                 | PlayStation Vita | 2017 | Japan
|       | Hello Kitty to Issho: Block Crash V                                                                  | Dorart                                 | PlayStation Vita | 2012 | Japan
|       | Hideboh: Tap Dance Hero                                                                              | Dorart                                 | PlayStation Vita | 2014 | Japan
|       | Higurashi no Naku Koro ni Sui                                                                        | Kaga Create                            | PlayStation Vita | 2015 | Japan
|       | Hiiro no Kakera: Omoi Iro no Kioku                                                                   | Idea Factory                           | PlayStation Vita | 2017 | Japan
|       | Himawari: Pebble in the Sky                                                                          | Prototype                              | PlayStation Vita | 2015 | Japan
|       | HimeHibi Ichi Gakki: Princess Days                                                                   | Takuyo                                 | PlayStation Vita | 2017 | Japan
|       | HimeHibi: Princess Days                                                                              | Takuyo                                 | PlayStation Vita | 2017 | Japan
|       | Himoutou! Umaru-Chan: Himoutou Ikusei Keikaku                                                        | FuRyu                                  | PlayStation Vita | 2015 | Japan
|       | Hitotsu Tobashi Renai V                                                                              | Kaga Create                            | PlayStation Vita | 2015 | Japan
|       | Hoshiori Yume Mirai: Converted Edition                                                               | Prototype                              | PlayStation Vita | 2016 | Japan
|       | Hotchkiss                                                                                            | TGL                                    | PlayStation Vita | 2013 | Japan
|       | Hotline Miami: Collected Edition                                                                     | Spike Chunsoft                         | PlayStation Vita | 2015 | Japan
|       | htoL#NiQ: Hotaru no Nikki                                                                            | Nippon Ichi Software                   | PlayStation Vita | 2014 | Japan
|       | Hyakka Hyakurou: Sengoku Ninpoujou                                                                   | D3Publisher                            | PlayStation Vita | 2016 | Japan
|       | Hyakka Ryouran Elixir: Record of Torenia Revival                                                     | Kaga Create                            | PlayStation Vita | 2015 | Japan
