|       | Chronicles of Narnia: The Lion, The Witch and The Wardrobe, The         | Buena Vista Games                      | Nintendo DS | 2005 | North America
|       | Chrono Trigger                                                          | Square Enix                            | Nintendo DS | 2008 | North America
|       | Chrysler Classic Racing                                                 | Zoo Games                              | Nintendo DS | 2008 | North America
|       | Chuck E. Cheese's Game Room                                             | UFO Interactive                        | Nintendo DS | 2010 | North America
|       | Chuck E. Cheese's Party Games                                           | UFO Interactive                        | Nintendo DS | 2010 | North America
|       | Chuck E. Cheese's Playhouse                                             | UFO Interactive                        | Nintendo DS | 2010 | North America
|       | Classic Action: Devilish                                                | UFO Interactive                        | Nintendo DS | 2007 | North America
|       | Classic Word Games                                                      | Ubisoft                                | Nintendo DS | 2009 | North America
|       | Cloudy With a Chance of Meatballs                                       | Ubisoft                                | Nintendo DS | 2009 | North America
|       | Cloudy With a Chance of Meatballs 2                                     | GameMill Publishing                    | Nintendo DS | 2013 | North America
|       | Club Penguin: Elite Penguin Force                                       | Disney Interactive Studios             | Nintendo DS | 2008 | North America
|       | Club Penguin: Elite Penguin Force: Herbert's Revenge                    | Disney Interactive Studios             | Nintendo DS | 2010 | North America
|       | Clubhouse Games                                                         | Nintendo                               | Nintendo DS | 2006 | North America
|       | Clue / Mouse Trap / Perfection / Aggravation                            | DSI Games                              | Nintendo DS | 2007 | North America
|       | Cocoto Kart Racer                                                       | Conspiracy Entertainment               | Nintendo DS | 2007 | North America
|       | Code Lyoko                                                              | The Game Factory                       | Nintendo DS | 2007 | North America
|       | Code Lyoko: Fall of X.A.N.A.                                            | The Game Factory                       | Nintendo DS | 2008 | North America
|       | Color Cross                                                             | Zoo Games                              | Nintendo DS | 2010 | North America
|       | Command And Destroy                                                     | Destination Software                   | Nintendo DS | 2008 | North America
|       | Commando: Steel Disaster                                                | XS Games                               | Nintendo DS | 2008 | North America
|       | Contact                                                                 | ATLUS                                  | Nintendo DS | 2006 | North America
|       | Contra 4                                                                | Konami                                 | Nintendo DS | 2007 | North America
|       | Cookie & Cream                                                          | Agetec Inc.                            | Nintendo DS | 2007 | North America
|       | Cookie Shop: Create Your Dream Shop                                     | SouthPeak Games                        | Nintendo DS | 2009 | North America
|       | Cooking Mama                                                            | Majesco Games                          | Nintendo DS | 2006 | North America
