|       | Dungeon Master Nexus                                                                                  | Victor Interactive Software   | Sega Saturn | 1998 | Japan
|       | Dungeons & Dragons Collection                                                                         | Capcom                        | Sega Saturn | 1999 | Japan
|       | DX Jinsei Game                                                                                        | Takara                        | Sega Saturn | 1995 | Japan
|       | DX Jinsei Game II                                                                                     | Takara                        | Sega Saturn | 1997 | Japan
|       | DX Nippon Tokkyu Ryokou Game                                                                          | Takara                        | Sega Saturn | 1996 | Japan
|       | Dynamite Deka                                                                                         | Sega                          | Sega Saturn | 1997 | Japan
|       | E'tude Prologue                                                                                       | Takuyo                        | Sega Saturn | 1998 | Japan
|       | Earthworm Jim 2                                                                                       | Takara                        | Sega Saturn | 1996 | Japan
|       | Eberouge                                                                                              | Takara                        | Sega Saturn | 1997 | Japan
|       | Eberouge Special: Koi to Mahou no Gakuen Seikatsu                                                     | Takara                        | Sega Saturn | 1998 | Japan
|       | Eisei Meijin                                                                                          | Konami                        | Sega Saturn | 1995 | Japan
|       | Eisei Meijin II                                                                                       | Konami                        | Sega Saturn | 1996 | Japan
|       | Eiyuu Shigan: Gal Act Heroism                                                                         | Micro Cabin                   | Sega Saturn | 1998 | Japan
|       | Elevator Action Returns                                                                               | Taito                         | Sega Saturn | 1997 | Japan
|       | Elf o Karu Monotachi                                                                                  | Altron                        | Sega Saturn | 1997 | Japan
|       | Elf o Karu Monotachi II                                                                               | Altron                        | Sega Saturn | 1998 | Japan
|       | Elf o Karu Monotachi: Hanafuda-Hen                                                                    | Altron                        | Sega Saturn | 1997 | Japan
|       | EMIT Value Set                                                                                        | Koei                          | Sega Saturn | 1995 | Japan
|       | EMIT Vol. 1: Toki no Maigo                                                                            | Koei                          | Sega Saturn | 1995 | Japan
|       | EMIT Vol. 2: Meigake no Tabi                                                                          | Koei                          | Sega Saturn | 1995 | Japan
|       | EMIT Vol. 3: Watashi ni Sayonara o                                                                    | Koei                          | Sega Saturn | 1995 | Japan
|       | Enemy Zero                                                                                            | WARP                          | Sega Saturn | 1996 | Japan
|       | Eternal Melody                                                                                        | MediaWorks                    | Sega Saturn | 1996 | Japan
|       | EVE: Burst Error                                                                                      | Imadio                        | Sega Saturn | 1997 | Japan
|       | EVE: Burst Error & EVE: The Lost One Value Pack                                                       | Imadio                        | Sega Saturn | 1998 | Japan
|       | EVE: The Lost One                                                                                     | Imadio                        | Sega Saturn | 1998 | Japan
|       | F-1 Live Information                                                                                  | Sega                          | Sega Saturn | 1995 | Japan
|       | Falcom Classics                                                                                       | Nippon Victor                 | Sega Saturn | 1997 | Japan
|       | Falcom Classics Collection                                                                            | Victor Interactive Software   | Sega Saturn | 1999 | Japan
|       | Falcom Classics II                                                                                    | Victor Interactive Software   | Sega Saturn | 1998 | Japan
|       | FantaStep                                                                                             | Jaleco Entertainment          | Sega Saturn | 1997 | Japan
|       | Fantastic Pinball Kyutenkai                                                                           | TechnoSoft                    | Sega Saturn | 1995 | Japan
|       | Farland Saga                                                                                          | TGL                           | Sega Saturn | 1998 | Japan
|       | Farland Saga: Toki no Michishirube                                                                    | TGL                           | Sega Saturn | 1998 | Japan
|       | Farland Story: Habou no Mai                                                                           | TGL                           | Sega Saturn | 1997 | Japan
|       | Father Christmas                                                                                      | Gaga                          | Sega Saturn | 1995 | Japan
|       | FEDA Remake! Emblem of Justice                                                                        | Yanoman                       | Sega Saturn | 1996 | Japan
|       | Feng Shui Sensei                                                                                      | Hamlet                        | Sega Saturn | 1996 | Japan
|       | FIFA Soccer 96                                                                                        | Electronic Arts Victor        | Sega Saturn | 1996 | Japan
|       | Fighter's History Dynamite                                                                            | Sega                          | Sega Saturn | 1997 | Japan
|       | Fighters Megamix                                                                                      | Sega                          | Sega Saturn | 1996 | Japan
|       | Fighting Illusion K-1 Grand Prix Shou                                                                 | Xing Entertainment            | Sega Saturn | 1997 | Japan
|       | Fighting Vipers                                                                                       | Sega                          | Sega Saturn | 1996 | Japan
|       | Final Fight Revenge                                                                                   | Capcom                        | Sega Saturn | 2000 | Japan
|       | Finalist                                                                                              | Gaga                          | Sega Saturn | 1997 | Japan
|       | Find Love 2: Rhapsody                                                                                 | Daiki                         | Sega Saturn | 1998 | Japan
|       | Find Love 2: The Prologue                                                                             | Daiki                         | Sega Saturn | 1998 | Japan
|       | Fire Pro Gaiden: Blazing Tornado                                                                      | Human Entertainment           | Sega Saturn | 1995 | Japan
|       | Fire ProWrestling S: 6Men Scramble                                                                    | Human Entertainment           | Sega Saturn | 1996 | Japan
|       | Fishing Koushien                                                                                      | King Records                  | Sega Saturn | 1996 | Japan
|       | Fishing Koushien II                                                                                   | King Records                  | Sega Saturn | 1997 | Japan
|       | FIST                                                                                                  | Imagineer                     | Sega Saturn | 1996 | Japan
|       | Flash Sega Saturn: Ochikazuki-hen                                                                     | Sega                          | Sega Saturn | 1996 | Japan
|       | Free Talk Studio: Mari no Kimama na O-shaberi                                                         | Media Entertainment           | Sega Saturn | 1997 | Japan
|       | Friends: Seishun no Kagayaki                                                                          | NEC Interchannel              | Sega Saturn | 1999 | Japan
|       | Full Car Mini Yontou Super Factory                                                                    | MediaQuest                    | Sega Saturn | 1997 | Japan
