|       | Ghostbusters 2                                                       | HAL Labs                     | Game Boy | 1990 | Japan
|       | Ginga                                                                | Hot-B                        | Game Boy | 1990 | Japan
|       | Go Go Ackman                                                         | Banpresto                    | Game Boy | 1995 | Japan
|       | Go! Go! Hitchhike                                                    | J-Wing                       | Game Boy | 1998 | Japan
|       | Go! Go! Tank                                                         | Copya Systems                | Game Boy | 1990 | Japan
|       | God Medicine: Fantasy Sekai no Tanjou                                | Konami                       | Game Boy | 1993 | Japan
|       | Godzilla-Kun: Kaijuu Daikessen                                       | Toho                         | Game Boy | 1990 | Japan
|       | Golf                                                                 | Nintendo                     | Game Boy | 1989 | Japan
|       | Grander Musashi RV                                                   | Bandai                       | Game Boy | 1998 | Japan
|       | Gremlins 2: The New Batch                                            | SunSoft                      | Game Boy | 1990 | Japan
|       | Gyogun Tanchiki: Pocket Sonar                                        | Bandai                       | Game Boy | 1998 | Japan
|       | Hatris                                                               | Bullet Proof Software        | Game Boy | 1991 | Japan
|       | Hayaoshi Quiz: Ouza Ketteisen                                        | Jaleco Entertainment         | Game Boy | 1998 | Japan
|       | Head On                                                              | Tecmo                        | Game Boy | 1990 | Japan
|       | Heiankyou Alien                                                      | Meldac                       | Game Boy | 1990 | Japan
|       | Heisei Tensai Bakabon                                                | Namco                        | Game Boy | 1992 | Japan
|       | Heracles no Eikou: Ugokidashita Kamigami                             | Data East                    | Game Boy | 1992 | Japan
|       | Hero Shuugou!! Pinball Party                                         | Jaleco Entertainment         | Game Boy | 1990 | Japan
|       | Hiden Inyou Kikouhou: Ca Da                                          | Yonezawa PR21                | Game Boy | 1991 | Japan
|       | Higashio Osamu Kanshuu Pro Yakyuu Stadium '91                        | Tokuma Shoten                | Game Boy | 1991 | Japan
|       | Higashio Osamu Kanshuu Pro Yakyuu Stadium '92                        | Tokuma Shoten                | Game Boy | 1992 | Japan
|       | Hiryu no Ken Gaiden                                                  | Culture Brain                | Game Boy | 1990 | Japan
|       | Hitori de Dekirumon! Cooking Densetsu                                | Vap                          | Game Boy | 1992 | Japan
|       | Hoi Hoi - Game Boy Ban                                               | Koei                         | Game Boy | 1994 | Japan
|       | Home Alone                                                           | Altron                       | Game Boy | 1992 | Japan
|       | Hon Shogi                                                            | Imagineer                    | Game Boy | 1994 | Japan
|       | Hong Kong                                                            | Tokuma Shoten                | Game Boy | 1990 | Japan
|       | Honmei Boy                                                           | Nichibutsu                   | Game Boy | 1994 | Japan
|       | Honoo no Doukyuuji: Dodge Danpei                                     | Hudson                       | Game Boy | 1992 | Japan
|       | Hook                                                                 | Sony Imagesoft               | Game Boy | 1992 | Japan
|       | Hoshi no Kirby                                                       | Nintendo                     | Game Boy | 1992 | Japan
|       | Hoshi no Kirby 2                                                     | Nintendo                     | Game Boy | 1995 | Japan
|       | Hudson Hawk                                                          | Epic/Sony Records            | Game Boy | 1992 | Japan
|       | Hyper Black Bass                                                     | Hot B                        | Game Boy | 1992 | Japan
|       | Hyper Black Bass '95                                                 | Black Label Games            | Game Boy | 1995 | Japan
|       | Hyper Lode Runner                                                    | Bandai                       | Game Boy | 1989 | Japan
|       | Ikari no Yousai                                                      | Jaleco Entertainment         | Game Boy | 1991 | Japan
|       | Ikari no Yousai 2                                                    | Jaleco Entertainment         | Game Boy | 1992 | Japan
|       | Indiana Jones: Saigo no Seisen                                       | Coconuts Japan               | Game Boy | 1994 | Japan
|       | Initial D Gaiden                                                     | Kodansha                     | Game Boy | 1998 | Japan
|       | Ippatsu Gyakuten: DX Bakenou                                         | Asmik Ace Entertainment, Inc | Game Boy | 1991 | Japan
|       | Ishida Masao no Tsumego Paradise                                     | Pony Canyon                  | Game Boy | 1990 | Japan
|       | Ishido: The Way of Stones                                            | ASCII Entertainment          | Game Boy | 1990 | Japan
|       | Itsudemo! Nyan to Wonderful                                          | Banpresto                    | Game Boy | 1998 | Japan
|       | J-Cup Soccer                                                         | Jaleco Entertainment         | Game Boy | 1993 | Japan
|       | J.League Big Wave Soccer                                             | Tomy Corporation             | Game Boy | 1995 | Japan
|       | J.League Fighting Soccer: The King of Ace Strikers                   | IGS (Japan)                  | Game Boy | 1992 | Japan
|       | J.League Live '95                                                    | Electronic Arts Victor       | Game Boy | 1995 | Japan
|       | J.League Supporter Soccer                                            | J-Wing                       | Game Boy | 1998 | Japan
|       | J.League Winning Goal                                                | Electronic Arts Victor       | Game Boy | 1994 | Japan
|       | Janken Man                                                           | NCS                          | Game Boy | 1991 | Japan
|       | Janshirou                                                            | Sammy Studios                | Game Boy | 1992 | Japan
|       | Janshirou II: Sekai Saikyou no Janshi                                | Sammy Studios                | Game Boy | 1994 | Japan
|       | Jantaku Boy                                                          | Namco                        | Game Boy | 1992 | Japan
|       | Jikuu Senki Mu                                                       | Hudson                       | Game Boy | 1991 | Japan
|       | Jimmy Connors no Pro Tennis Tour                                     | Misawa                       | Game Boy | 1993 | Japan
|       | Jinsei Game                                                          | Takara                       | Game Boy | 1995 | Japan
|       | Jinsei Game Densetsu                                                 | Takara                       | Game Boy | 1991 | Japan
|       | Judge Dredd                                                          | Acclaim Japan                | Game Boy | 1995 | Japan
|       | Jungle no Ouja Tar-chan                                              | Bandai                       | Game Boy | 1994 | Japan
|       | Jungle Wars                                                          | Pony Canyon                  | Game Boy | 1991 | Japan
|       | Kaeru no Tame ni Kane wa Naru                                        | Nintendo                     | Game Boy | 1992 | Japan
|       | Kaijuu-Oh Godzilla                                                   | Bandai                       | Game Boy | 1993 | Japan
|       | Kaisen Game: Navy Blue                                               | Use                          | Game Boy | 1989 | Japan
|       | Kaisen Game: Navy Blue '90                                           | Use                          | Game Boy | 1990 | Japan
|       | Kaisen Game: Radar Mission                                           | Nintendo                     | Game Boy | 1990 | Japan
|       | Kakomunja                                                            | Naxat Soft                   | Game Boy | 1990 | Japan
|       | Kamen Rider SD: Hashire! Mighty Riders                               | Yutaka                       | Game Boy | 1993 | Japan
|       | Kandume Monsters                                                     | I'Max                        | Game Boy | 1998 | Japan
|       | Karakuri Kengou Den Musashi Lord                                     | Yutaka                       | Game Boy | 1991 | Japan
|       | Karamuchou no Daijiken                                               | Starfish                     | Game Boy | 1997 | Japan
|       | Kaseki Sousei Reborn                                                 | Starfish                     | Game Boy | 1998 | Japan
|       | Katsuba Yosou Keiba Kizoku                                           | King Records                 | Game Boy | 1993 | Japan
|       | Katsuba Yosou Keiba Kizoku EX '94                                    | King Records                 | Game Boy | 1994 | Japan
|       | Katsuba Yosou Keiba Kizoku EX '95                                    | King Records                 | Game Boy | 1995 | Japan
|       | Kattobi Road                                                         | Namco                        | Game Boy | 1993 | Japan
|       | Kawa no Nushi Tsuri 3                                                | Victor Interactive Software  | Game Boy | 1997 | Japan
|       | Keitai Keiba Eight Special                                           | Imagineer                    | Game Boy | 1994 | Japan
|       | Kenyuu Densetsu Yaiba                                                | Banpresto                    | Game Boy | 1994 | Japan
|       | Kibihara Hinshutsu Eibunpou: Gohou Mondai 1000                       | Imagineer                    | Game Boy | 1998 | Japan
|       | Kickboxing, The                                                      | Micro World                  | Game Boy | 1993 | Japan
|       | Kikou Keisatsu Metal Jack                                            | Takara                       | Game Boy | 1992 | Japan
|       | Killer Tomato                                                        | Altron                       | Game Boy | 1993 | Japan
