|       | England International Football                                       | Codemasters                  | Xbox   | 2004 | Europe
|       | Enter the Matrix                                                     | Atari SA                     | Xbox   | 2003 | Europe
|       | Eragon                                                               | Sierra Entertainment         | Xbox   | 2006 | Europe
|       | Escape 03                                                            | Electronic Arts              | Xbox   | 2003 | Europe
|       | ESPN International Winter Sports 2002                                | Konami                       | Xbox   | 2002 | Europe
|       | ESPN NBA 2K5                                                         | Sega                         | Xbox   | 2005 | Europe
|       | ESPN NBA Basketball                                                  | Sega                         | Xbox   | 2003 | Europe
|       | ESPN NFL 2K5                                                         | Sega                         | Xbox   | 2005 | Europe
|       | ESPN NFL Football                                                    | Sega                         | Xbox   | 2003 | Europe
|       | ESPN NHL 2K5                                                         | Sega                         | Xbox   | 2005 | Europe
|       | ESPN NHL Hockey                                                      | Sega                         | Xbox   | 2003 | Europe
|       | ESPN Winter X-Games Snowboarding 2002                                | Konami                       | Xbox   | 2002 | Europe
|       | Evil Dead: A Fistful of Boomstick                                    | THQ                          | Xbox   | 2003 | Europe
|       | Evil Dead: Regeneration                                              | THQ                          | Xbox   | 2005 | Europe
|       | Exclusive Agent Pack                                                 | Electronic Arts              | Xbox   | 2005 | Europe
|       | F1 2002                                                              | Electronic Arts              | Xbox   | 2002 | Europe
|       | F1 Career Challenge                                                  | Electronic Arts              | Xbox   | 2003 | Europe
|       | Fable                                                                | Microsoft Game Studios       | Xbox   | 2004 | Europe
|       | Fahrenheit                                                           | Atari SA                     | Xbox   | 2005 | Europe
|       | Fallout: Brotherhood of Steel                                        | VU Games                     | Xbox   | 2004 | Europe
|       | Family Guy                                                           | 2K Games                     | Xbox   | 2006 | Europe
|       | Far Cry Instincts                                                    | Ubisoft                      | Xbox   | 2005 | Europe
|       | Far Cry Instincts Evolution                                          | Ubisoft                      | Xbox   | 2006 | Europe
|       | FIFA 06                                                              | EA Sports                    | Xbox   | 2005 | Europe
|       | FIFA 07                                                              | EA Sports                    | Xbox   | 2006 | Europe
|       | FIFA Football 2003                                                   | Electronic Arts              | Xbox   | 2002 | Europe
|       | FIFA Football 2004                                                   | EA Sports                    | Xbox   | 2003 | Europe
|       | FIFA Football 2005                                                   | Electronic Arts              | Xbox   | 2004 | Europe
|       | FIFA Street                                                          | EA Sports Big                | Xbox   | 2005 | Europe
|       | FIFA Street 2                                                        | EA Sports Big                | Xbox   | 2006 | Europe
|       | FIFA World Cup: Germany 2006                                         | Electronic Arts              | Xbox   | 2006 | Europe
|       | Fight Club                                                           | VU Games                     | Xbox   | 2004 | Europe
|       | Fight Night 2004                                                     | EA Sports                    | Xbox   | 2004 | Europe
|       | Fight Night Round 2                                                  | EA Sports                    | Xbox   | 2005 | Europe
|       | Fight Night Round 3                                                  | EA Sports                    | Xbox   | 2006 | Europe
|       | Fila World Tour Tennis                                               | THQ                          | Xbox   | 2002 | Europe
|       | Final Fight: Streetwise                                              | Capcom                       | Xbox   | 2006 | Europe
|       | Findet Nemo / Die Unglaublichen - The Incredibles Doppelpack         | THQ                          | Xbox   | 2006 | Europe
|       | Fire Blade                                                           | Midway                       | Xbox   | 2003 | Europe
|       | FlatOut                                                              | Empire Interactive           | Xbox   | 2004 | Europe
|       | FlatOut 2                                                            | Empire Interactive           | Xbox   | 2006 | Europe
|       | Football Manager 2004                                                | Electronic Arts              | Xbox   | 2003 | Europe
|       | Football Manager 2005                                                | Electronic Arts              | Xbox   | 2004 | Europe
|       | Ford Mustang: The Legend Lives                                       | 2K Games                     | Xbox   | 2005 | Europe
|       | Ford Racing 2                                                        | Empire Interactive           | Xbox   | 2003 | Europe
|       | Ford Racing 3                                                        | Empire Interactive           | Xbox   | 2004 | Europe
|       | Ford Street Racing                                                   | Empire Interactive           | Xbox   | 2006 | Europe
|       | Forgotten Realms: Demon Stone                                        | Atari SA                     | Xbox   | 2005 | Europe
|       | Forza Motorsport                                                     | Microsoft Game Studios       | Xbox   | 2005 | Europe
|       | Frankie Dettori Racing                                               | Home Entertainment Suppliers | Xbox   | 2006 | Europe
|       | Freaky Flyers                                                        | Midway                       | Xbox   | 2003 | Europe
|       | Freedom Fighters                                                     | Electronic Arts              | Xbox   | 2003 | Europe
|       | Freestyle Metal X                                                    | Midway                       | Xbox   | 2003 | Europe
|       | Full Spectrum Warrior                                                | THQ                          | Xbox   | 2004 | Europe
|       | Full Spectrum Warrior: Ten Hammers                                   | THQ                          | Xbox   | 2006 | Europe
|       | Furious Karting                                                      | Atari SA                     | Xbox   | 2003 | Europe
|       | Futurama                                                             | SCi                          | Xbox   | 2003 | Europe
|       | Future Tactics: The Uprising                                         | JoWooD Entertainment AG      | Xbox   | 2004 | Europe
|       | Fuzion Frenzy                                                        | Microsoft Game Studios       | Xbox   | 2002 | Europe
|       | Galleon                                                              | SCi                          | Xbox   | 2004 | Europe
|       | Gang De Requins                                                      | Activision                   | Xbox   | 2004 | Europe
|       | Gauntlet: Dark Legacy                                                | Midway                       | Xbox   | 2002 | Europe
|       | Gauntlet: Seven Sorrows                                              | Midway                       | Xbox   | 2006 | Europe
|       | Gene Troopers                                                        | Playlogic                    | Xbox   | 2005 | Europe
|       | Genma Onimusha                                                       | Capcom                       | Xbox   | 2002 | Europe
|       | Ghost Master: The Gravenville Chronicles                             | Empire Interactive           | Xbox   | 2004 | Europe
|       | Gladiator: Sword of Vengeance                                        | Acclaim                      | Xbox   | 2003 | Europe
|       | Gladius                                                              | LucasArts                    | Xbox   | 2003 | Europe
|       | Goblin Commander: Unleash the Horde                                  | Jaleco Entertainment         | Xbox   | 2004 | Europe
|       | Godfather, The                                                       | Electronic Arts              | Xbox   | 2006 | Europe
|       | Godzilla: Save the Earth                                             | Atari SA                     | Xbox   | 2004 | Europe
|       | GoldenEye: Rogue Agent                                               | EA Games                     | Xbox   | 2004 | Europe
|       | Gotcha!                                                              | Global Star Software         | Xbox   | 2005 | Europe
|       | Grabbed by the Ghoulies                                              | Microsoft Game Studios       | Xbox   | 2003 | Europe
|       | Grand Theft Auto Double Pack                                         | Rockstar Games               | Xbox   | 2004 | Europe
|       | Grand Theft Auto: San Andreas                                        | Rockstar Games               | Xbox   | 2005 | Europe
|       | Grand Theft Auto: The Trilogy                                        | Rockstar Games               | Xbox   | 2005 | Europe
|       | Gravity Games Bike: Street. Vert. Dirt.                              | Midway                       | Xbox   | 2002 | Europe
|       | Great Escape, The                                                    | SCi                          | Xbox   | 2003 | Europe
|       | Greg Hastings Tournament Paintball Max'd                             | Activision                   | Xbox   | 2005 | Europe
|       | Greg Hastings' Tournament Paintball                                  | Activision                   | Xbox   | 2005 | Europe
|       | Group S Challenge                                                    | Capcom                       | Xbox   | 2003 | Europe
