|       | Cartoon Network: Punch Time Explosion XL                                         | OG International Ltd                   | Xbox 360 | 2012 | Europe
|       | Castlevania: Lords of Shadow                                                     | Konami                                 | Xbox 360 | 2010 | Europe
|       | Castlevania: Lords of Shadow 2                                                   | Konami                                 | Xbox 360 | 2014 | Europe
|       | Castlevania: Lords of Shadow Collection                                          | Konami                                 | Xbox 360 | 2013 | Europe
|       | Catherine                                                                        | Deep Silver                            | Xbox 360 | 2012 | Europe
|       | Champion Jockey: G1 Jockey & Gallop Racer                                        | Tecmo Koei Games                       | Xbox 360 | 2011 | Europe
|       | Championship Manager 2007                                                        | Eidos Interactive                      | Xbox 360 | 2007 | Europe
|       | Child of Eden                                                                    | Ubisoft                                | Xbox 360 | 2011 | Europe
|       | Chromehounds                                                                     | Sega                                   | Xbox 360 | 2006 | Europe
|       | Chronicles of Narnia: Prince Caspian, The                                        | Disney Interactive Studios             | Xbox 360 | 2008 | Europe
|       | Chronicles of Riddick: Assault on Dark Athena, The                               | Atari SA                               | Xbox 360 | 2009 | Europe
|       | Clash of the Titans                                                              | Namco Bandai Games                     | Xbox 360 | 2010 | Europe
|       | Clive Barker's Jericho                                                           | Codemasters                            | Xbox 360 | 2007 | Europe
|       | Cloudy With a Chance of Meatballs                                                | Ubisoft                                | Xbox 360 | 2009 | Europe
|       | Club, The                                                                        | Sega Europe                            | Xbox 360 | 2008 | Europe
|       | Colin McRae: DiRT                                                                | Codemasters                            | Xbox 360 | 2007 | Europe
|       | Colin McRae: DiRT 2                                                              | Codemasters                            | Xbox 360 | 2009 | Europe
|       | Combat Wings: The Great Battles of WWII                                          | City Interactive                       | Xbox 360 | 2012 | Europe
|       | Command & Conquer 3: Kane's Wrath                                                | Electronic Arts                        | Xbox 360 | 2008 | Europe
|       | Command & Conquer 3: Tiberium Wars                                               | EA Games                               | Xbox 360 | 2007 | Europe
|       | Command & Conquer: Red Alert 3                                                   | Electronic Arts                        | Xbox 360 | 2008 | Europe
|       | Conan                                                                            | THQ                                    | Xbox 360 | 2007 | Europe
|       | Condemned                                                                        | Sega                                   | Xbox 360 | 2005 | Europe
|       | Condemned 2                                                                      | Sega Europe                            | Xbox 360 | 2008 | Europe
|       | Conflict: Denied Ops                                                             | Eidos Interactive                      | Xbox 360 | 2008 | Europe
|       | Crackdown                                                                        | Microsoft Game Studios                 | Xbox 360 | 2007 | Europe
|       | Crackdown & Mass Effect Double Pack                                              | Microsoft Game Studios                 | Xbox 360 | 2011 | Europe
|       | Crackdown 2                                                                      | Microsoft Game Studios                 | Xbox 360 | 2010 | Europe
|       | Crash of the Titans                                                              | Sierra Entertainment                   | Xbox 360 | 2007 | Europe
|       | Crash Time                                                                       | RTL                                    | Xbox 360 | 2008 | Europe
|       | Crash Time 4: The Syndicate                                                      | DTP Entertainment                      | Xbox 360 | 2012 | Europe
|       | Crash Time 5: Undercover                                                         | DTP Entertainment                      | Xbox 360 | 2013 | Europe
|       | Crash: Mind Over Mutant                                                          | Sierra Entertainment                   | Xbox 360 | 2008 | Europe
|       | Create                                                                           | EA Games                               | Xbox 360 | 2010 | Europe
|       | Crew, The                                                                        | Ubisoft                                | Xbox 360 | 2014 | Europe
|       | Crossboard 7                                                                     | Konami                                 | Xbox 360 | 2010 | Europe
|       | Crysis 2                                                                         | EA Games                               | Xbox 360 | 2011 | Europe
|       | Crysis 3                                                                         | EA Games                               | Xbox 360 | 2013 | Europe
|       | CSI: Crime Scene Investigation: Deadly Intent                                    | Ubisoft                                | Xbox 360 | 2009 | Europe
|       | CSI: Crime Scene Investigation: Fatal Conspiracy                                 | Ubisoft                                | Xbox 360 | 2010 | Europe
|       | CSI: Crime Scene Investigation: Hard Evidence                                    | Ubisoft                                | Xbox 360 | 2007 | Europe
|       | Cursed Crusade, The                                                              | DTP Entertainment                      | Xbox 360 | 2011 | Europe
|       | Damage Inc.: Pacific Squadron WWII                                               | Mad Catz                               | Xbox 360 | 2012 | Europe
|       | Damnation                                                                        | Codemasters                            | Xbox 360 | 2009 | Europe
|       | Dance Central                                                                    | MTV Games                              | Xbox 360 | 2010 | Europe
|       | Dance Central 2                                                                  | Microsoft Game Studios                 | Xbox 360 | 2011 | Europe
|       | Dance Central 3                                                                  | Microsoft Game Studios                 | Xbox 360 | 2012 | Europe
|       | Dance Paradise                                                                   | Mindscape                              | Xbox 360 | 2010 | Europe
|       | DanceEvolution                                                                   | Konami                                 | Xbox 360 | 2010 | Europe
|       | Dancing Stage Universe                                                           | Konami                                 | Xbox 360 | 2007 | Europe
|       | Dancing Stage Universe 2                                                         | Konami                                 | Xbox 360 | 2008 | Europe
