|       | Simpsons: Bart vs. the World, The                         | Flying Edge         | Sega Master System | 1993 | PAL
|       | Slap Shot                                                 | Sega                | Sega Master System | 1990 | PAL
|       | Smurfs Travel the World, The                              | Infogrames          | Sega Master System | 1996 | PAL
|       | Smurfs, The                                               | Infogrames          | Sega Master System | 1994 | PAL
|       | Sonic the Hedgehog                                        | Sega                | Sega Master System | 1991 | North America, PAL
|       | Sonic the Hedgehog 2                                      | Sega                | Sega Master System | 1992 | PAL
|       | Sonic the Hedgehog Chaos                                  | Sega                | Sega Master System | 1993 | PAL
|       | Sonic the Hedgehog Spinball                               | Sega                | Sega Master System | 1993 | PAL
|       | Space Gun                                                 | Sega                | Sega Master System | 1992 | PAL
|       | Space Harrier                                             | Sega                | Sega Master System | 1987 | PAL
|       | Space Harrier 3-D                                         | Sega                | Sega Master System | 1988 | PAL
|       | Special Criminal Investigation                            | Sega                | Sega Master System | 1992 | PAL
|       | Speedball                                                 | Imageworks          | Sega Master System | 1990 | PAL
|       | Speedball 2                                               | Virgin Games        | Sega Master System | 1992 | PAL
|       | SpellCaster                                               | Sega                | Sega Master System | 1989 | PAL
|       | Spider-Man                                                | Sega                | Sega Master System | 1991 | PAL
|       | Spider-Man: Return of the Sinister Six                    | Flying Edge         | Sega Master System | 1992 | PAL
|       | Spy vs. Spy                                               | Sega                | Sega Master System | 1988 | PAL
|       | Star Wars                                                 | Kixx                | Sega Master System | 1993 | PAL
|       | Streets of Rage                                           | Sega                | Sega Master System | 1993 | PAL
|       | Streets of Rage II                                        | Sega                | Sega Master System | 1993 | PAL
|       | Strider                                                   | Sega                | Sega Master System | 1991 | PAL
|       | Strider II                                                | U.S. Gold           | Sega Master System | 1991 | PAL
|       | Submarine Attack                                          | Sega                | Sega Master System | 1993 | PAL
|       | Summer Games                                              | Sega                | Sega Master System | 1991 | PAL
|       | Super Kick Off                                            | U.S. Gold           | Sega Master System | 1991 | PAL
|       | Super Monaco GP                                           | Sega                | Sega Master System | 1990 | PAL
|       | Super Off Road                                            | Virgin Mastertronic | Sega Master System | 1992 | PAL
|       | Super Smash T.V.                                          | Flying Edge         | Sega Master System | 1992 | PAL
|       | Super Space Invaders                                      | Domark              | Sega Master System | 1991 | PAL
|       | Super Tennis                                              | Sega                | Sega Master System | 1985 | PAL
|       | Superman: The Man of Steel                                | Virgin Interactive  | Sega Master System | 1993 | PAL
|       | T2: The Arcade Game                                       | Midway              | Sega Master System | 1991 | PAL
|       | Taz-Mania                                                 | Sega                | Sega Master System | 1992 | PAL
|       | Tecmo World Cup '93                                       | Tecmo               | Sega Master System | 1993 | PAL
|       | Teddy Boy                                                 | Sega                | Sega Master System | 1986 | PAL
|       | Tennis Ace                                                | Sega                | Sega Master System | 1989 | PAL
|       | Terminator 2: Judgment Day                                | Flying Edge         | Sega Master System | 1993 | PAL
|       | Terminator, The                                           | Virgin Interactive  | Sega Master System | 1992 | PAL
|       | Thunder Blade                                             | Sega                | Sega Master System | 1988 | PAL
|       | Time Soldiers                                             | Sega                | Sega Master System | 1989 | PAL
|       | Tom and Jerry: The Movie                                  | Sega                | Sega Master System | 1992 | PAL
|       | Transbot                                                  | Sega                | Sega Master System | 1986 | PAL
