| | 007 Racing | | PlayStation | | NTSC (NA) | SLUS-01300
| | Power Rangers Zeo - Full Tilt Battle Pinball | | PlayStation | | NTSC (NA) | SLUS-00256
| | Power Serve 3D Tennis | | PlayStation | | NTSC (NA) | SLUS-00105
| | Power Shovel | | PlayStation | | NTSC (NA) | SLUS-01343
| | Powerboat Racing | | PlayStation | | NTSC (NA) | SLUS-00625
| | Powerpuff Girls - Chemical X-Traction | | PlayStation | | NTSC (NA) | SLUS-01423
| | Powerslave | | PlayStation | | NTSC (NA) | SLUS-00102
| | Powerspike Pro Beach Volleyball | | PlayStation | | NTSC (NA) | SLUS-01196
| | PoyPoy | | PlayStation | | NTSC (NA) | SLUS-00486
| | Primal Rage | | PlayStation | | NTSC (NA) | SLUS-00126
| | Pro 18 - World Tour Golf | | PlayStation | | NTSC (NA) | SLUS-00817
| | Pro Pinball - Big Race USA | | PlayStation | | NTSC (NA) | SLUS-01260
| | Pro Pinball - Fantastic Journey | | PlayStation | | NTSC (NA) | SLUS-01261
| | Pro Pinball - Timeshock [Demo] | | PlayStation | | NTSC (NA) | SLUS-90039
| | Pro Pinball - Timeshock! | | PlayStation | | NTSC (NA) | SLUS-00639
| | Pro Pinball (The Web) | | PlayStation | | NTSC (NA) | SLUS-00371
| | Project - Horned Owl | | PlayStation | | NTSC (NA) | SCUS-94408
| | Project Overkill | | PlayStation | | NTSC (NA) | SLUS-00045
| | Pro-Wrestling | | PlayStation | | NTSC (NA) | SLUS-01350
| | PSone Demo Disc | | PlayStation | | NTSC (NA) | SCUS-94799
| | Psybadek | | PlayStation | | NTSC (NA) | SLUS-00730
| | Psychic Detective [Disc1of3] | | PlayStation | | NTSC (NA) | SLUS-00165
| | Psychic Detective [Disc2of3] | | PlayStation | | NTSC (NA) | SLUS-00166
| | Psychic Detective [Disc3of3] | | PlayStation | | NTSC (NA) | SLUS-00167
| | Psychic Force | | PlayStation | | NTSC (NA) | SLUS-00419
| | Psygnosis '98 Demo Disc | | PlayStation | | NTSC (NA) | SLUS-90037
| | Punky Skunk | | PlayStation | | NTSC (NA) | SLUS-00579
| | Putter Golf | | PlayStation | | NTSC (NA) | SLUS-01371
| | Puzzle, The | | PlayStation | | NTSC (NA) | SLUS-01310
| | Puzznic | | PlayStation | | NTSC (NA) | SLUS-01492
| | Q-Bert | | PlayStation | | NTSC (NA) | SLUS-00904
| | Qix Neo | | PlayStation | | NTSC (NA) | SLUS-01561
| | Quake II | | PlayStation | | NTSC (NA) | SLUS-00757
| | Racing | | PlayStation | | NTSC (NA) | SLUS-01291
| | Rage Racer | | PlayStation | | NTSC (NA) | SLUS-00403
| | Rageball | | PlayStation | | NTSC (NA) | SLUS-01461
| | Raiden Project, The | | PlayStation | | NTSC (NA) | SCUS-94402
| | Railroad Tycoon II | | PlayStation | | NTSC (NA) | SLUS-00808
| | Rally Cross | | PlayStation | | NTSC (NA) | SCUS-94308
| | Rally Cross 2 | | PlayStation | | NTSC (NA) | SCUS-94247
| | Rally Cross 2 [Demo] | | PlayStation | | NTSC (NA) | SCUS-94377
| | Rally Master | | PlayStation | | NTSC (NA) | SLUS-01229
| | Rampage 2 - Universal Tour | | PlayStation | | NTSC (NA) | SLUS-00742
| | Rampage Through Time | | PlayStation | | NTSC (NA) | SLUS-01065
| | Rampage World Tour | | PlayStation | | NTSC (NA) | SLUS-00549
| | Rascal | | PlayStation | | NTSC (NA) | SLUS-00542
| | Rascal [Demo] | | PlayStation | | NTSC (NA) | SLUS-90015
| | Rascal Racers | | PlayStation | | NTSC (NA) | SLUS-01575
| | Rat Attack! | | PlayStation | | NTSC (NA) | SLUS-00656
| | Rat Attack! | | PlayStation | | NTSC (NA) | SLUS-84111
| | Ray Tracers | | PlayStation | | NTSC (NA) | SLUS-00534
| | Raycrisis - Series Termination | | PlayStation | | NTSC (NA) | SLUS-01217
| | Rayman | | PlayStation | | NTSC (NA) | SLUS-00005
| | Rayman [Demo] | | PlayStation | | NTSC (NA) | SLUS-90001
| | Rayman 2 - The Great Escape | | PlayStation | | NTSC (NA) | SLUS-01235
| | Rayman 2 - The Great Escape [Demo] | | PlayStation | | NTSC (NA) | SLUS-90095
| | Rayman Brain Games | | PlayStation | | NTSC (NA) | SLUS-01265
| | Rayman Rush | | PlayStation | | NTSC (NA) | SLUS-01458
| | Raystorm | | PlayStation | | NTSC (NA) | SLUS-00482
| | Razor Freestyle Scooter | | PlayStation | | NTSC (NA) | SLUS-01322
| | Razor Scootin Racing | | PlayStation | | NTSC (NA) | SLUS-01410
| | RC de Go! | | PlayStation | | NTSC (NA) | SLUS-01285
| | RC Helicopter | | PlayStation | | NTSC (NA) | SLUS-01376
| | RC Revenge | | PlayStation | | NTSC (NA) | SLUS-01168
| | RC Stunt Copter | | PlayStation | | NTSC (NA) | SLUS-00954
| | Ready 2 Rumble Boxing | | PlayStation | | NTSC (NA) | SLUS-00857
| | Ready 2 Rumble Boxing - Round 2 | | PlayStation | | NTSC (NA) | SLUS-01147
| | Reboot | | PlayStation | | NTSC (NA) | SLUS-00274
| | Red Asphalt - Rock 'n Roll Racing II | | PlayStation | | NTSC (NA) | SLUS-00282
| | Reel Fishing | | PlayStation | | NTSC (NA) | SLUS-00440
| | Reel Fishing II | | PlayStation | | NTSC (NA) | SLUS-00843
| | Reloaded | | PlayStation | | NTSC (NA) | SLUS-00382
| | Renegade Racers | | PlayStation | | NTSC (NA) | SLUS-01012
| | Rescue Copter | | PlayStation | | NTSC (NA) | SLUS-01507
| | Rescue Heroes - Molten Menace | | PlayStation | | NTSC (NA) | SLUS-01220
| | Rescue Heroes - Molten Menace | | PlayStation | | NTSC (NA) | SLUS-01373
| | Resident Evil | | PlayStation | | NTSC (NA) | SLUS-00170
| | Resident Evil - Director's Cut | | PlayStation | | NTSC (NA) | SLUS-00551
| | Resident Evil - Director's Cut [Dual Shock Edition] | | PlayStation | | NTSC (NA) | SLUS-00747
| | Resident Evil - Survivor | | PlayStation | | NTSC (NA) | SLUS-01087
| | Resident Evil 2 [Leon Disc] | | PlayStation | | NTSC (NA) | SLUS-00421
| | Resident Evil 2 [Claire Disc] | | PlayStation | | NTSC (NA) | SLUS-00592
| | Resident Evil 2 [Dual Shock Edition] [Leon Disc] | | PlayStation | | NTSC (NA) | SLUS-00748
| | Resident Evil 2 [Dual Shock Edition] [Claire Disc] | | PlayStation | | NTSC (NA) | SLUS-00756
| | Resident Evil 2 [Regular Demo] [Resident Evil - Director's Cut - Bonus Disc] | | PlayStation | | NTSC (NA) | SLUS-90009
| | Resident Evil 2 [Trade Demo] | | PlayStation | | NTSC (NA) | SLUS-80421
| | Resident Evil 3 - Nemesis | | PlayStation | | NTSC (NA) | SLUS-00923
| | Resident Evil 3 - Nemesis [Demo] | | PlayStation | | NTSC (NA) | SLUS-90064
| | Return Fire | | PlayStation | | NTSC (NA) | SLUS-00184
| | Re-Volt - Racing out of Control | | PlayStation | | NTSC (NA) | SLUS-00851
| | Revolution X | | PlayStation | | NTSC (NA) | SLUS-00012
| | Rhapsody - A Musical Adventure | | PlayStation | | NTSC (NA) | SLUS-01073
| | Ridge Racer - Turbo Mode [Ridge Racer Type 4 Bonus Disc] | | PlayStation | | NTSC (NA) | SLUS-90049
| | Ridge Racer [Greatest Hits] | | PlayStation | | NTSC (NA) | SLUS-00540
| | Ridge Racer [Original Release] | | PlayStation | | NTSC (NA) | SCUS-94300
| | Ridge Racer Revolution | | PlayStation | | NTSC (NA) | SLUS-00214
| | Ridge Racer Type 4 | | PlayStation | | NTSC (NA) | SLUS-00797
| | Rise of Robots 2 - Resurrection | | PlayStation | | NTSC (NA) | SLUS-00186
| | Rising Zan - Samurai Gunman | | PlayStation | | NTSC (NA) | SLUS-00829
| | Risk | | PlayStation | | NTSC (NA) | SLUS-00616
| | Rival Schools - United by Fate [Arcade Disc] | | PlayStation | | NTSC (NA) | SLUS-00681
| | Rival Schools - United by Fate [Evolution Disc] | | PlayStation | | NTSC (NA) | SLUS-00771
| | Riven - The Sequel to Myst [Disc1of5] | | PlayStation | | NTSC (NA) | SLUS-00535
| | Riven - The Sequel to Myst [Disc2of5] | | PlayStation | | NTSC (NA) | SLUS-00563
| | Riven - The Sequel to Myst [Disc3of5] | | PlayStation | | NTSC (NA) | SLUS-00564
| | Riven - The Sequel to Myst [Disc4of5] | | PlayStation | | NTSC (NA) | SLUS-00565
| | Riven - The Sequel to Myst [Disc5of5] | | PlayStation | | NTSC (NA) | SLUS-00580
| | Road Rash | | PlayStation | | NTSC (NA) | SLUS-00035
| | Road Rash - Jailbreak | | PlayStation | | NTSC (NA) | SLUS-01053
| | Road Rash 3D | | PlayStation | | NTSC (NA) | SLUS-00524
| | Roadsters | | PlayStation | | NTSC (NA) | SLUS-01024
| | Robo-Pit | | PlayStation | | NTSC (NA) | SLUS-00316
| | Robo-Pit 2 | | PlayStation | | NTSC (NA) | SLUS-01563
| | Robotron X | | PlayStation | | NTSC (NA) | SLUS-00252
| | Rock'em Sock'em Robots Arena | | PlayStation | | NTSC (NA) | SLUS-01124
| | Rocket Power - Team Rocket Rescue | | PlayStation | | NTSC (NA) | SLUS-01353
| | Rogue Trip - Vacation 2012 | | PlayStation | | NTSC (NA) | SLUS-00643
| | Rogue Trip - Vacation 2012 [Regular Demo] | | PlayStation | | NTSC (NA) | SLUS-90044
| | Rogue Trip - Vacation 2012 [Trade Demo] | | PlayStation | | NTSC (NA) | SLUS-80643
| | Roll Away | | PlayStation | | NTSC (NA) | SLUS-00724
| | Rollcage | | PlayStation | | NTSC (NA) | SLUS-00800
| | Rollcage - Stage II | | PlayStation | | NTSC (NA) | SLUS-00867
| | Rollcage [Demo] | | PlayStation | | NTSC (NA) | SLUS-90052
| | Romance of the Three Kingdoms IV - Wall of Fire | | PlayStation | | NTSC (NA) | SLUS-00195
| | Romance of the Three Kingdoms VI - Awakening of the Dragon | | PlayStation | | NTSC (NA) | SLUS-00918
| | Rosco McQueen Firefighter Extreme | | PlayStation | | NTSC (NA) | SLUS-00750
| | Roswell Conspiracies - Aliens, Myths & Legends | | PlayStation | | NTSC (NA) | SLUS-01062
| | RPG Maker | | PlayStation | | NTSC (NA) | SLUS-00640
| | R-Type Delta | | PlayStation | | NTSC (NA) | SLUS-00877
| | R-Types | | PlayStation | | NTSC (NA) | SLUS-00753
| | Rugrats - Search for Reptar | | PlayStation | | NTSC (NA) | SLUS-00650
| | Rugrats - Search for Reptar [Trade Demo] | | PlayStation | | NTSC (NA) | SLUS-80650
| | Rugrats - Studio Tour | | PlayStation | | NTSC (NA) | SLUS-00880
| | Rugrats - Totally Angelica | | PlayStation | | NTSC (NA) | SLUS-01364
| | Rugrats in Paris - The Movie | | PlayStation | | NTSC (NA) | SLUS-01116
| | Runabout 2 | | PlayStation | | NTSC (NA) | SLUS-01135
| | Running Wild | | PlayStation | | NTSC (NA) | SCUS-94272
| | Running Wild [Demo] | | PlayStation | | NTSC (NA) | SCUS-94373
| | Rush Hour | | PlayStation | | NTSC (NA) | SCUS-94417
| | Rushdown | | PlayStation | | NTSC (NA) | SLUS-00828
| | S.C.A.R.S. | | PlayStation | | NTSC (NA) | SLUS-00692
| | Sabrina the Teenage Witch - A Twitch in Time | | PlayStation | | NTSC (NA) | SLUS-01208
| | SaGa Frontier | | PlayStation | | NTSC (NA) | SCUS-94230
| | SaGa Frontier II | | PlayStation | | NTSC (NA) | SLUS-00933
| | Saiyuki - Journey West | | PlayStation | | NTSC (NA) | SLUS-01381
| | Saltwater Sportfishing | | PlayStation | | NTSC (NA) | SLUS-01397
| | Sammy Sosa High Heat Baseball 2001 | | PlayStation | | NTSC (NA) | SLUS-01063
| | Sammy Sosa Softball Slam | | PlayStation | | NTSC (NA) | SLUS-01064
| | Samurai Showdown - Warrior's Rage | | PlayStation | | NTSC (NA) | SLUS-01039
| | Samurai Showdown III | | PlayStation | | NTSC (NA) | SCUS-94206
| | San Francisco Rush - Extreme Racing | | PlayStation | | NTSC (NA) | SLUS-00505
| | Scooby-Doo & The Cyber Chase | | PlayStation | | NTSC (NA) | SLUS-01396
| | Scooby-Doo & The Cyber Chase [Demo] | | PlayStation | | NTSC (NA) | SLUS-90098
| | Scrabble | | PlayStation | | NTSC (NA) | SLUS-00903
| | Sea Doo Hydrocross | | PlayStation | | NTSC (NA) | SLUS-01149
| | Sentient | | PlayStation | | NTSC (NA) | SCUS-94110
| | Sentinel Returns | | PlayStation | | NTSC (NA) | SLUS-00604
| | Sesame Street - Elmo's Letter Adventure | | PlayStation | | NTSC (NA) | SLUS-00621
| | Sesame Street - Elmo's Number Journey | | PlayStation | | NTSC (NA) | SLUS-00622
| | Sesame Street Sports | | PlayStation | | NTSC (NA) | SLUS-01180
| | Shadow Madness [Disc1of2] | | PlayStation | | NTSC (NA) | SLUS-00468
| | Shadow Madness [Disc2of2] | | PlayStation | | NTSC (NA) | SLUS-00718
| | Shadow Madness [Demo] | | PlayStation | | NTSC (NA) | SLUS-90031
| | Shadow Man | | PlayStation | | NTSC (NA) | SLUS-00895
| | Shadow Master | | PlayStation | | NTSC (NA) | SLUS-00545
| | Shadow Tower | | PlayStation | | NTSC (NA) | SLUS-00863
| | Shanghai - True Valor | | PlayStation | | NTSC (NA) | SLUS-00795
| | Sheep | | PlayStation | | NTSC (NA) | SLUS-01298
| | Shellshock | | PlayStation | | NTSC (NA) | SLUS-00031
| | Shipwreckers! | | PlayStation | | NTSC (NA) | SLUS-00558
| | Shipwreckers! [Demo] | | PlayStation | | NTSC (NA) | SLUS-90013
| | Shockwave - Operation Jumpgate | | PlayStation | | NTSC (NA) | SLUS-00137
| | Shockwave Assault | | PlayStation | | NTSC (NA) | SLUS-00028
| | Shrek Treasure Hunt | | PlayStation | | NTSC (NA) | SLUS-01463
| | Silent Bomber | | PlayStation | | NTSC (NA) | SLUS-00902
| | Silent Hill | | PlayStation | | NTSC (NA) | SLUS-00707
| | Silent Hill [Regular Demo] | | PlayStation | | NTSC (NA) | SLUS-90050
| | Silent Hill [Trade Demo] | | PlayStation | | NTSC (NA) | SLUS-80707
| | Silent Tactics | | PlayStation | | NTSC (NA) | SLUS-01505
| | Silhouette Mirage | | PlayStation | | NTSC (NA) | SLUS-00728
| | Silverload | | PlayStation | | NTSC (NA) | SLUS-00050
| | Sim City 2000 | | PlayStation | | NTSC (NA) | SLUS-00113
| | Sim Theme Park | | PlayStation | | NTSC (NA) | SLUS-01069
| | Simpsons Wrestling | | PlayStation | | NTSC (NA) | SLUS-01227
| | Skeleton Warriors | | PlayStation | | NTSC (NA) | SLUS-00209
| | Skullmonkeys | | PlayStation | | NTSC (NA) | SLUS-00601
| | Skydiving Extreme | | PlayStation | | NTSC (NA) | SLUS-01392
| | Slam 'n Jam '96 | | PlayStation | | NTSC (NA) | SLUS-00022
| | Slamscape | | PlayStation | | NTSC (NA) | SLUS-00080
| | Sled Storm | | PlayStation | | NTSC (NA) | SLUS-00955
| | Sled Storm & Medal of Honor [Demo] | | PlayStation | | NTSC (NA) | SLUS-90072
| | Slim Jim [Demo] | | PlayStation | | NTSC (NA) | SCUS-94472
| | Slots | | PlayStation | | NTSC (NA) | SLUS-01555
| | Small Soldiers | | PlayStation | | NTSC (NA) | SLUS-00781
| | Smurf Racer | | PlayStation | | NTSC (NA) | SLUS-01359
| | Smurfs, The | | PlayStation | | NTSC (NA) | SLUS-01008
| | Sno Cross Championship Racing | | PlayStation | | NTSC (NA) | SLUS-01093
| | Snowboarding | | PlayStation | | NTSC (NA) | SLUS-01287
| | Sol Divide | | PlayStation | | NTSC (NA) | SLUS-01519
| | Sorcerer's Maze | | PlayStation | | NTSC (NA) | SLUS-01495
| | Soul Blade | | PlayStation | | NTSC (NA) | SLUS-00240
| | Soul of the Samurai | | PlayStation | | NTSC (NA) | SLUS-00822
| | South Park | | PlayStation | | NTSC (NA) | SLUS-00936
| | South Park - Chef's Luv Shack | | PlayStation | | NTSC (NA) | SLUS-00997
| | South Park Rally | | PlayStation | | NTSC (NA) | SLUS-00984
| | Soviet Strike | | PlayStation | | NTSC (NA) | SLUS-00061
| | Space Griffon VF-9 | | PlayStation | | NTSC (NA) | SLUS-00153
| | Space Hulk - Vengeance of the Blood Angels | | PlayStation | | NTSC (NA) | SLUS-00205
| | Space Invaders | | PlayStation | | NTSC (NA) | SLUS-00928
| | Space Jam | | PlayStation | | NTSC (NA) | SLUS-00243
| | Space Shot | | PlayStation | | NTSC (NA) | SLUS-01308
| | Spawn - The Eternal | | PlayStation | | NTSC (NA) | SCUS-94204
| | Spec Ops - Airborne Commando | | PlayStation | | NTSC (NA) | SLUS-01447
| | Spec Ops - Covert Assault | | PlayStation | | NTSC (NA) | SLUS-01420
| | Spec Ops - Ranger Elite | | PlayStation | | NTSC (NA) | SLUS-01299
| | Spec Ops - Stealth Patrol | | PlayStation | | NTSC (NA) | SLUS-01131
| | Speed Punks | | PlayStation | | NTSC (NA) | SCUS-94563
| | Speed Punks [Demo] | | PlayStation | | NTSC (NA) | SCUS-94572
| | Speed Racer | | PlayStation | | NTSC (NA) | SLUS-00613
| | Speedball 2100 | | PlayStation | | NTSC (NA) | SLUS-01218
| | Spice World | | PlayStation | | NTSC (NA) | SLUS-00723
| | Spider - The Video Game | | PlayStation | | NTSC (NA) | SLUS-00230
| | Spider-Man | | PlayStation | | NTSC (NA) | SLUS-00875
| | Spider-Man 2 - Enter Electro | | PlayStation | | NTSC (NA) | SLUS-01378
| | Spin Jam | | PlayStation | | NTSC (NA) | SLUS-01250
| | Spongebob Squarepants - Supersponge | | PlayStation | | NTSC (NA) | SLUS-01352
| | Sports Car Supreme GT | | PlayStation | | NTSC (NA) | SLUS-00655
| | Sports Superbike 2 | | PlayStation | | NTSC (NA) | SLUS-01459
| | Spot Goes to Hollywood | | PlayStation | | NTSC (NA) | SLUS-00014
| | Spyro - Year of the Dragon [Individual Demo] | | PlayStation | | NTSC (NA) | SCUS-94615
| | Spyro the Dragon | | PlayStation | | NTSC (NA) | SCUS-94228
| | Spyro the Dragon [Foil Demo] | | PlayStation | | NTSC (NA) | SCUS-94439
| | Spyro the Dragon [Tabloid Demo] | | PlayStation | | NTSC (NA) | SCUS-94290
| | Spyro the Dragon 2 - Ripto's Rage | | PlayStation | | NTSC (NA) | SCUS-94425
| | Spyro the Dragon 2 - Ripto's Rage! [Demo] | | PlayStation | | NTSC (NA) | SCUS-94460
| | Spyro the Dragon 3 - Year of the Dragon | | PlayStation | | NTSC (NA) | SCUS-94467
| | Squaresoft 2000 Collector's CD Vol.1 [Vagrant Story Bonus Disc] | | PlayStation | | NTSC (NA) | SLUS-90075
| | SquareSoft '98 Collector's CD Vol.1 - Xenogears Demo [Parasite Eve Bonus Disc] | | PlayStation | | NTSC (NA) | SLUS-90028
| | SquareSoft '98 Collector's CD Vol.2 - Final Fantasy VIII Demo [Brave Fencer Musashi Bonus Disc] | | PlayStation | | NTSC (NA) | SLUS-90029
| | Squaresoft on PlayStation Collector's Demo CD | | PlayStation | | NTSC (NA) | SCUS-94256
| | Star Fighter | | PlayStation | | NTSC (NA) | SLUS-00241
| | Star Gladiator - Episode 1 - Final Crusade | | PlayStation | | NTSC (NA) | SLUS-00372
| | Star Ocean - The Second Story [Disc1of2] | | PlayStation | | NTSC (NA) | SCUS-94421
| | Star Ocean - The Second Story [Disc2of2] | | PlayStation | | NTSC (NA) | SCUS-94422
| | Star Sweep | | PlayStation | | NTSC (NA) | SLUS-01307
| | Star Trek - Invasion | | PlayStation | | NTSC (NA) | SLUS-00924
| | Star Wars - Dark Forces | | PlayStation | | NTSC (NA) | SLUS-00297
| | Star Wars - Demolition | | PlayStation | | NTSC (NA) | SLUS-01183
| | Star Wars - Demolition [Demo] | | PlayStation | | NTSC (NA) | SLUS-90088
| | Star Wars - Episode I - Jedi Power Battle | | PlayStation | | NTSC (NA) | SLUS-01046
| | Star Wars - Episode I - The Phantom Menace | | PlayStation | | NTSC (NA) | SLUS-00884
| | Star Wars - Episode I - The Phantom Menance [Trade Demo] | | PlayStation | | NTSC (NA) | SLUS-80884
| | Star Wars - Masters of Teras Kasi | | PlayStation | | NTSC (NA) | SLUS-00562
| | Star Wars - Rebel Assault II [Disc1of2] | | PlayStation | | NTSC (NA) | SLUS-00381
| | Star Wars - Rebel Assault II [Disc2of2] | | PlayStation | | NTSC (NA) | SLUS-00386
| | Starblade Alpha | | PlayStation | | NTSC (NA) | SLUS-00057
| | Starfighter Sanvein | | PlayStation | | NTSC (NA) | SLUS-01302
| | Starwinder - The Ultimate Space Race | | PlayStation | | NTSC (NA) | SLUS-00094
| | Steel Harbinger | | PlayStation | | NTSC (NA) | SLUS-00093
| | Steel Reign | | PlayStation | | NTSC (NA) | SCUS-94902
| | Streak - Hoverboard Racing | | PlayStation | | NTSC (NA) | SLUS-00629
| | Street Fighter - The Movie | | PlayStation | | NTSC (NA) | SLUS-00041
| | Street Fighter Alpha - Warriors' Dreams | | PlayStation | | NTSC (NA) | SLUS-00197
| | Street Fighter Alpha 2 | | PlayStation | | NTSC (NA) | SLUS-00258
| | Street Fighter Alpha 3 | | PlayStation | | NTSC (NA) | SLUS-00821
| | Street Fighter Collection [Disc1of2] | | PlayStation | | NTSC (NA) | SLUS-00423
| | Street Fighter Collection [Disc2of2 - Street Fighter Alpha 2 Gold] | | PlayStation | | NTSC (NA) | SLUS-00584
| | Street Fighter Collection 2 | | PlayStation | | NTSC (NA) | SLUS-00746
| | Street Fighter EX Plus Alpha | | PlayStation | | NTSC (NA) | SLUS-00548
| | Street Fighter EX2 Plus | | PlayStation | | NTSC (NA) | SLUS-01105
| | Street Racer | | PlayStation | | NTSC (NA) | SLUS-00099
| | Street Racquetball | | PlayStation | | NTSC (NA) | SLUS-01450
| | Street Sk8er | | PlayStation | | NTSC (NA) | SLUS-00818
| | Street Sk8er 2 | | PlayStation | | NTSC (NA) | SLUS-01083
| | Strider | | PlayStation | | NTSC (NA) | SLUS-01142
| | Strider 2 | | PlayStation | | NTSC (NA) | SLUS-01163
| | Strike Point | | PlayStation | | NTSC (NA) | SLUS-00139
| | Striker | | PlayStation | | NTSC (NA) | SLUS-00210
| | Striker Pro 2000 | | PlayStation | | NTSC (NA) | SLUS-01078
| | Strikers 1945 | | PlayStation | | NTSC (NA) | SLUS-01337
| | Stuart Little 2 | | PlayStation | | NTSC (NA) | SCUS-94669
| | Suikoden | | PlayStation | | NTSC (NA) | SLUS-00292
| | Suikoden II | | PlayStation | | NTSC (NA) | SLUS-00958
| | Super Bubble Pop | | PlayStation | | NTSC (NA) | SLUS-01528
| | Super Puzzle Fighter II Turbo | | PlayStation | | NTSC (NA) | SLUS-00418
| | Super Shot Soccer | | PlayStation | | NTSC (NA) | SLUS-01464
| | Superbikes 2000 | | PlayStation | | NTSC (NA) | SLUS-01052
| | SuperCross 2000 | | PlayStation | | NTSC (NA) | SLUS-01005
| | SuperCross 2001 | | PlayStation | | NTSC (NA) | SLUS-01319
| | SuperCross Circuit | | PlayStation | | NTSC (NA) | SCUS-94453
| | Supercross Circuit [Demo] | | PlayStation | | NTSC (NA) | SCUS-94396
| | Superman | | PlayStation | | NTSC (NA) | SLUS-00712
| | Superstar Dance Club | | PlayStation | | NTSC (NA) | SLUS-01493
| | Surf Riders | | PlayStation | | NTSC (NA) | SLUS-01190
| | Swagman | | PlayStation | | NTSC (NA) | SLUS-00151
| | Sydney 2000 | | PlayStation | | NTSC (NA) | SLUS-01177
| | Syndicate Wars | | PlayStation | | NTSC (NA) | SLUS-00262
| | Syphon Filter | | PlayStation | | NTSC (NA) | SCUS-94240
| | Syphon Filter [Demo] | | PlayStation | | NTSC (NA) | SCUS-94362
| | Syphon Filter 2 [Disc1of2] | | PlayStation | | NTSC (NA) | SCUS-94451
| | Syphon Filter 2 [Disc2of2] | | PlayStation | | NTSC (NA) | SCUS-94492
| | Syphon Filter 2 [Demo] | | PlayStation | | NTSC (NA) | SCUS-94393
| | Syphon Filter 3 | | PlayStation | | NTSC (NA) | SCUS-94640
| | Syphon Filter 3 [Demo] | | PlayStation | | NTSC (NA) | SCUS-94661
| | T.R.A.G. - Tactical Rescue Assault Group - Mission of Mercy | | PlayStation | | NTSC (NA) | SLUS-00813
| | Tactics Ogre - Let Us Cling Together | | PlayStation | | NTSC (NA) | SLUS-00560
| | T'ai Fu - Wrath of the Tiger | | PlayStation | | NTSC (NA) | SLUS-00787
| | Tail Concerto | | PlayStation | | NTSC (NA) | SLUS-00660
| | Tail Concerto [Demo] | | PlayStation | | NTSC (NA) | SLUS-90060
| | Tail of the Sun - Wild, Pure, Simple Life | | PlayStation | | NTSC (NA) | SCUS-94607
| | Tales of Destiny | | PlayStation | | NTSC (NA) | SLUS-00626
| | Tales of Destiny II [Disc1of3] | | PlayStation | | NTSC (NA) | SLUS-01355
| | Tales of Destiny II [Disc2of3] | | PlayStation | | NTSC (NA) | SLUS-01367
| | Tales of Destiny II [Disc3of3] | | PlayStation | | NTSC (NA) | SLUS-01368
| | Tall Infinity - The Tower of Wisdom | | PlayStation | | NTSC (NA) | SLUS-01547
| | Team Buddies | | PlayStation | | NTSC (NA) | SLUS-00869
| | Team Losi RC Racer | | PlayStation | | NTSC (NA) | SLUS-00666
| | Tecmo Stackers | | PlayStation | | NTSC (NA) | SLUS-00315
| | Tecmo Super Bowl | | PlayStation | | NTSC (NA) | SLUS-00070
| | Tecmo World Golf - Japan | | PlayStation | | NTSC (NA) | SLUS-00299
| | Tecmo's Deception - Invitation to Darkness | | PlayStation | | NTSC (NA) | SLUS-00340
| | Tekken | | PlayStation | | NTSC (NA) | SLUS-00006
| | Tekken 2 | | PlayStation | | NTSC (NA) | SLUS-00213
| | Tekken 3 | | PlayStation | | NTSC (NA) | SLUS-00402
| | Tempest X3 | | PlayStation | | NTSC (NA) | SLUS-00283
| | Ten Pin Alley | | PlayStation | | NTSC (NA) | SLUS-00377
| | Tenchu - Stealth Assassins | | PlayStation | | NTSC (NA) | SLUS-00706
| | Tenchu 2 - Birth of the Stealth Assassins | | PlayStation | | NTSC (NA) | SLUS-00939
| | Tennis (A1) | | PlayStation | | NTSC (NA) | SLUS-01348
| | Tennis Arena | | PlayStation | | NTSC (NA) | SLUS-00596
| | Test Drive 4 | | PlayStation | | NTSC (NA) | SLUS-00487
| | Test Drive 5 | | PlayStation | | NTSC (NA) | SLUS-00610
| | Test Drive 6 | | PlayStation | | NTSC (NA) | SLUS-00839
| | Test Drive Le Mans | | PlayStation | | NTSC (NA) | SLUS-01077
| | Test Drive Off-Road | | PlayStation | | NTSC (NA) | SLUS-00396
| | Test Drive Off-Road 2 | | PlayStation | | NTSC (NA) | SLUS-00609
| | Test Drive Off-Road 3 | | PlayStation | | NTSC (NA) | SLUS-00840
| | Tetris Plus | | PlayStation | | NTSC (NA) | SLUS-00338
| | Theme Hospital | | PlayStation | | NTSC (NA) | SLUS-00275
| | Theme Park | | PlayStation | | NTSC (NA) | SLUS-00017
| | Thousand Arms [Disc1of2] | | PlayStation | | NTSC (NA) | SLUS-00845
| | Thousand Arms [Disc2of2] | | PlayStation | | NTSC (NA) | SLUS-00858
| | Thousand Arms [Demo] | | PlayStation | | NTSC (NA) | SLUS-90059
| | Thrasher - Skate & Destroy | | PlayStation | | NTSC (NA) | SLUS-00935
| | Thrasher - Skate & Destroy [Demo] | | PlayStation | | NTSC (NA) | SLUS-90067
| | Threads of Fate | | PlayStation | | NTSC (NA) | SLUS-01019
| | Three Stooges, The | | PlayStation | | NTSC (NA) | SLUS-01486
| | Thrill Kill | | PlayStation | | NTSC (NA) | SLUS-00752
| | Thunder Force V - Perfect System | | PlayStation | | NTSC (NA) | SLUS-00727
| | Thunder Truck Rally | | PlayStation | | NTSC (NA) | SCUS-94352
| | Thunderstrike 2 | | PlayStation | | NTSC (NA) | SLUS-00191
