|       | Sly Cooper: Thieves in Time                                            | SCEA                                   | PlayStation Vita | 2013 | NTSC (NA)
|       | Smart As...                                                            | SCEA                                   | PlayStation Vita | 2012 | NTSC (NA)
|       | Soldner-X 2: Final Prototype                                           | Limited Run Games                      | PlayStation Vita | 2016 | NTSC (NA)
|       | Sonic & All-Stars Racing Transformed                                   | Sega                                   | PlayStation Vita | 2012 | NTSC (NA)
|       | Sorcery Saga: The Curse of the Great Curry God                         | Aksys Games                            | PlayStation Vita | 2013 | NTSC (NA)
|       | Soul Sacrifice                                                         | SCEA                                   | PlayStation Vita | 2013 | NTSC (NA)
|       | SpongeBob HeroPants                                                    | Activision                             | PlayStation Vita | 2015 | NTSC (NA)
|       | Spy Hunter                                                             | Warner Bros. Interactive Entertainment | PlayStation Vita | 2012 | NTSC (NA)
|       | Stealth Inc: A Clone in the Dark Ultimate Edition                      | Limited Run Games                      | PlayStation Vita | 2016 | NTSC (NA)
|       | Steins;Gate                                                            | PQube                                  | PlayStation Vita | 2015 | NTSC (NA)
|       | Steins;Gate 0                                                          | PQube                                  | PlayStation Vita | 2016 | NTSC (NA)
|       | Stranger of Sword City                                                 | NIS America                            | PlayStation Vita | 2016 | NTSC (NA)
|       | Street Fighter X Tekken                                                | Capcom                                 | PlayStation Vita | 2012 | NTSC (NA)
|       | Summon Night 6: Lost Borders                                           | GAIJINWORKS                            | PlayStation Vita | 2017 | NTSC (NA)
|       | Super Monkey Ball: Banana Splitz                                       | Sega                                   | PlayStation Vita | 2012 | NTSC (NA)
|       | SUPERBEAT: XONiC                                                       | PM Studios Inc.                        | PlayStation Vita | 2015 | NTSC (NA)
|       | Superdimension Neptune VS Sega Hard Girls                              | Idea Factory                           | PlayStation Vita | 2016 | NTSC (NA)
|       | Supremacy MMA: Unrestricted                                            | 505 Games                              | PlayStation Vita | 2012 | NTSC (NA)
|       | Swapper, The                                                           | Limited Run Games                      | PlayStation Vita | 2017 | NTSC (NA)
|       | Swindle, The                                                           | Limited Run Games                      | PlayStation Vita | 2017 | NTSC (NA)
|       | Sword Art Online: Lost Song                                            | Bandai Namco Games                     | PlayStation Vita | 2015 | NTSC (NA)
|       | Tales of Hearts R                                                      | Bandai Namco Games                     | PlayStation Vita | 2014 | NTSC (NA)
|       | Tearaway                                                               | SCEA                                   | PlayStation Vita | 2013 | NTSC (NA)
|       | Terraria                                                               | 505 Games                              | PlayStation Vita | 2015 | NTSC (NA)
|       | Tetris Ultimate                                                        | Ubisoft                                | PlayStation Vita | 2015 | NTSC (NA)
|       | Thomas Was Alone                                                       | Limited Run Games                      | PlayStation Vita | 2016 | NTSC (NA)
|       | Tokyo Tattoo Girls                                                     | NIS America                            | PlayStation Vita | 2017 | NTSC (NA)
|       | Tokyo Tattoo Girls                                                     | NIS America                            | PlayStation Vita | 2017 | NTSC (NA)
|       | Tokyo Tattoo Girls                                                     | NIS America                            | PlayStation Vita | 2017 | NTSC (NA)
|       | Tokyo Twilight Ghost Hunters                                           | Aksys Games                            | PlayStation Vita | 2015 | NTSC (NA)
|       | Tokyo Xanadu                                                           | Aksys Games                            | PlayStation Vita | 2017 | NTSC (NA)
|       | Touch My Katamari                                                      | Namco Bandai Games America             | PlayStation Vita | 2012 | NTSC (NA)
|       | Touhou Genso Wanderer                                                  | NIS America                            | PlayStation Vita | 2017 | NTSC (NA)
|       | Touhou Kobuto V: Burst Battle                                          | NIS America                            | PlayStation Vita | 2017 | NTSC (NA)
|       | Toukiden 2                                                             | Koei Tecmo Games                       | PlayStation Vita | 2017 | NTSC (NA)
|       | Toukiden: Kiwami                                                       | Koei Tecmo Games                       | PlayStation Vita | 2015 | NTSC (NA)
|       | Toukiden: The Age of Demons                                            | Koei Tecmo Games                       | PlayStation Vita | 2014 | NTSC (NA)
|       | Trillion: God of Destruction                                           | Idea Factory                           | PlayStation Vita | 2016 | NTSC (NA)
|       | Ultimate Marvel vs. Capcom 3                                           | Capcom                                 | PlayStation Vita | 2012 | NTSC (NA)
|       | Uncharted: Golden Abyss                                                | SCEA                                   | PlayStation Vita | 2012 | NTSC (NA)
|       | Unit 13                                                                | SCEA                                   | PlayStation Vita | 2012 | NTSC (NA)
|       | Utawarerumono: Mask of Deception                                       | ATLUS                                  | PlayStation Vita | 2017 | NTSC (NA)
|       | Utawarerumono: Mask of Truth                                           | ATLUS                                  | PlayStation Vita | 2017 | NTSC (NA)
|       | Valhalla Knights 3                                                     | Xseed Games                            | PlayStation Vita | 2013 | NTSC (NA)
|       | Valkyrie Drive: Bhikkhuni                                              | PQube                                  | PlayStation Vita | 2016 | NTSC (NA)
|       | Velocity 2K: Critical Mass Edition                                     | FuturLab                               | PlayStation Vita | 2017 | NTSC (NA)
|       | Virtua Tennis 4: World Tour Edition                                    | Sega                                   | PlayStation Vita | 2012 | NTSC (NA)
|       | Volume                                                                 | Limited Run Games                      | PlayStation Vita | 2016 | NTSC (NA)
|       | Walking Dead: A Telltale Games Series - The Complete First Season, The | Telltale Games                         | PlayStation Vita | 2013 | NTSC (NA)
|       | Walking Dead: A Telltale Games Series - The Complete First Season, The | Telltale Games                         | PlayStation Vita | 2013 | NTSC (NA)
|       | Walking Dead: Season Two - A Telltale Games Series, The                | Telltale Games                         | PlayStation Vita | 2014 | NTSC (NA)
|       | Walking Dead: Season Two - A Telltale Games Series, The                | Telltale Games                         | PlayStation Vita | 2014 | NTSC (NA)
|       | WipEout 2048                                                           | SCEA                                   | PlayStation Vita | 2012 | NTSC (NA)
|       | Wolf Among Us, The                                                     | Telltale Games                         | PlayStation Vita | 2014 | NTSC (NA)
|       | World of Final Fantasy                                                 | Square Enix                            | PlayStation Vita | 2016 | NTSC (NA)
|       | WRC 7                                                                  | Maximum Games                          | PlayStation Vita | 2017 | NTSC (NA)
|       | XBLAZE Code: Embryo                                                    | Aksys Games                            | PlayStation Vita | 2014 | NTSC (NA)
|       | XBLAZE: Lost Memories                                                  | Aksys Games                            | PlayStation Vita | 2015 | NTSC (NA)
|       | Xeodrifter                                                             | Limited Run Games                      | PlayStation Vita | 2016 | NTSC (NA)
|       | Yomawari: Midnight Shadows                                             | NIS America                            | PlayStation Vita | 2017 | NTSC (NA)
|       | Yomawari: Night Alone                                                  | NIS America                            | PlayStation Vita | 2016 | NTSC (NA)
|       | Ys VIII: Lacrimosa of DANA                                             | NIS America                            | PlayStation Vita | 2017 | NTSC (NA)
|       | Ys: Memories of Celceta                                                | Xseed Games                            | PlayStation Vita | 2013 | NTSC (NA)
|       | Zero Escape: The Nonary Games                                          | Aksys Games                            | PlayStation Vita | 2017 | NTSC (NA)
|       | Zero Escape: Virtue's Last Reward                                      | Aksys Games                            | PlayStation Vita | 2012 | NTSC (NA)
|       | Zero Escape: Zero Time Dilemma                                         | Aksys Games                            | PlayStation Vita | 2016 | NTSC (NA)
|       | A Rose in the Twilight                                    | NIS America                            | PlayStation Vita | 2017 | PAL
|       | Adventure Mega Pack                                       | SCEE                                   | PlayStation Vita | 2014 | PAL
|       | Aegis of Earth: Protonovus Assault                        | PQube                                  | PlayStation Vita | 2016 | PAL
|       | Akiba's Beat                                              | PQube                                  | PlayStation Vita | 2017 | PAL
|       | Akiba's Trip: Undead & Undressed                          | NIS America                            | PlayStation Vita | 2014 | PAL
|       | Amazing Spider-Man, The                                   | Activision                             | PlayStation Vita | 2013 | PAL
|       | Angry Birds Star Wars                                     | Activision                             | PlayStation Vita | 2013 | PAL
|       | Arcana Heart 3: LOVEMAX!!!!!                              | NIS America                            | PlayStation Vita | 2014 | PAL
|       | Army Corps of Hell                                        | Square Enix                            | PlayStation Vita | 2012 | PAL
|       | Asphalt: Injection                                        | Ubisoft                                | PlayStation Vita | 2012 | PAL
|       | Assassin's Creed Chronicles                               | Ubisoft                                | PlayStation Vita | 2016 | PAL
|       | Assassin's Creed III: Liberation                          | Ubisoft                                | PlayStation Vita | 2012 | PAL
|       | Atelier Escha & Logy Plus: Alchemists of the Dusk Sky     | Koei Tecmo Games                       | PlayStation Vita | 2016 | PAL
|       | Atelier Shallie Plus: Alchemists of the Dusk Sea          | NIS Europe                             | PlayStation Vita | 2017 | PAL
|       | Batman: Arkham Begins Blackgate                           | Warner Bros. Interactive Entertainment | PlayStation Vita | 2013 | PAL
|       | Ben 10: Galactic Racing                                   | D3Publisher                            | PlayStation Vita | 2012 | PAL
|       | Best of Arcade Games                                      | BigBen Interactive                     | PlayStation Vita | 2014 | PAL
|       | BlazBlue: Chrono Phantasma Extend                         | PQube                                  | PlayStation Vita | 2015 | PAL
|       | BlazBlue: Continuum Shift Extend                          | PQube                                  | PlayStation Vita | 2012 | PAL
|       | Borderlands 2                                             | SCEE                                   | PlayStation Vita | 2014 | PAL
