|       | Elder Scrolls III: Morrowind - Game of the Year Edition, The              | Bethesda Softworks                     | Xbox   | 2003 | NTSC (NA)
|       | Elder Scrolls III: Morrowind, The                                         | Bethesda Softworks                     | Xbox   | 2002 | NTSC (NA)
|       | Enclave                                                                   | Conspiracy Entertainment               | Xbox   | 2002 | NTSC (NA)
|       | Enter the Matrix                                                          | Atari                                  | Xbox   | 2003 | NTSC (NA)
|       | Eragon                                                                    | Sierra Entertainment                   | Xbox   | 2006 | NTSC (NA)
|       | ESPN College Hoops                                                        | Sega                                   | Xbox   | 2003 | NTSC (NA)
|       | ESPN College Hoops 2K5                                                    | Sega                                   | Xbox   | 2004 | NTSC (NA)
|       | ESPN International Winter Sports 2002                                     | Konami                                 | Xbox   | 2002 | NTSC (NA)
|       | ESPN Major League Baseball                                                | Sega                                   | Xbox   | 2004 | NTSC (NA)
|       | ESPN MLS ExtraTime 2002                                                   | Konami                                 | Xbox   | 2002 | NTSC (NA)
|       | ESPN NBA 2K5                                                              | Sega                                   | Xbox   | 2004 | NTSC (NA)
|       | ESPN NBA 2Night 2002                                                      | Konami                                 | Xbox   | 2002 | NTSC (NA)
|       | ESPN NBA Basketball                                                       | Sega                                   | Xbox   | 2003 | NTSC (NA)
|       | ESPN NFL 2K5                                                              | Sega                                   | Xbox   | 2004 | NTSC (NA)
|       | ESPN NFL Football                                                         | Sega                                   | Xbox   | 2003 | NTSC (NA)
|       | ESPN NFL PrimeTime 2002                                                   | Konami                                 | Xbox   | 2002 | NTSC (NA)
|       | ESPN NHL 2K5                                                              | Sega                                   | Xbox   | 2004 | NTSC (NA)
|       | ESPN NHL Hockey                                                           | Sega                                   | Xbox   | 2003 | NTSC (NA)
|       | ESPN Winter X-Games Snowboarding 2002                                     | Konami                                 | Xbox   | 2002 | NTSC (NA)
|       | Evil Dead: A Fistful of Boomstick                                         | THQ                                    | Xbox   | 2003 | NTSC (NA)
|       | Evil Dead: Regeneration                                                   | THQ                                    | Xbox   | 2005 | NTSC (NA)
|       | F1 2001                                                                   | Electronic Arts                        | Xbox   | 2001 | NTSC (NA)
|       | Fable                                                                     | Microsoft Game Studios                 | Xbox   | 2004 | NTSC (NA)
|       | Fairly OddParents! Breakin' Da Rules, The                                 | THQ                                    | Xbox   | 2003 | NTSC (NA)
|       | Fallout: Brotherhood of Steel                                             | Interplay                              | Xbox   | 2004 | NTSC (NA)
|       | Family Guy                                                                | 2K Games                               | Xbox   | 2006 | NTSC (NA)
|       | Fantastic 4                                                               | Activision                             | Xbox   | 2005 | NTSC (NA)
|       | Far Cry Instincts                                                         | Ubisoft                                | Xbox   | 2005 | NTSC (NA)
|       | Far Cry Instincts Evolution                                               | Ubisoft                                | Xbox   | 2006 | NTSC (NA)
|       | Fatal Frame                                                               | Tecmo                                  | Xbox   | 2002 | NTSC (NA)
