| | Angelique History [Disc5of5] | | PlayStation | | NTSC (JP) | SLPM-86510
| | Angelique Special | | PlayStation | | NTSC (JP) | SLPS-00320
| | Angelique Special [Koei Teiban Series] | | PlayStation | | NTSC (JP) | SLPM-86787
| | Angelique Special [Premium Box] | | PlayStation | | NTSC (JP) | SLPS-00517
| | Angelique Special 2 | | PlayStation | | NTSC (JP) | SLPS-00805
| | Angelique Special 2 [Koei The Best] | | PlayStation | | NTSC (JP) | SLPM-86492
| | Angelique Special 2 [Premium Box] | | PlayStation | | NTSC (JP) | SLPS-00745
| | Angelique Tenkuu no Requiem | | PlayStation | | NTSC (JP) | SLPM-86165
| | Angelique Tenkuu no Requiem [Premium Box] | | PlayStation | | NTSC (JP) | SLPM-86164
| | Angelique Tenkuu no Requiem [Priced Down] | | PlayStation | | NTSC (JP) | SLPM-86289
| | Anglomois '99 [SuperLite 1500 Series] | | PlayStation | | NTSC (JP) | SLPM-86278
| | Anime-chic Story 1 - CardCaptor Sakura [Disc1of2] | | PlayStation | | NTSC (JP) | SLPS-01830
| | Anime-chic Story 1 - CardCaptor Sakura [Disc2of2] | | PlayStation | | NTSC (JP) | SLPS-01831
| | Ankh - Tutankhamen no Nazo [Disc1of2] | | PlayStation | | NTSC (JP) | SLPS-01068
| | Ankh - Tutankhamen no Nazo [Disc2of2] | | PlayStation | | NTSC (JP) | SLPS-01069
| | Annanjarin | | PlayStation | | NTSC (JP) | SLPS-01424
| | Ano Subarashii Obentou wo 2-do 3-do | | PlayStation | | NTSC (JP) | SLPS-01028
| | Anoko Doko Noko | | PlayStation | | NTSC (JP) | SLPS-01522
| | Another Memories | | PlayStation | | NTSC (JP) | SLPS-01431
| | Another Mind | | PlayStation | | NTSC (JP) | SLPS-01655
| | Another Mind [Trial Version] | | PlayStation | | NTSC (JP) | SLPM-80321
| | Ao no Rokugou - Antarctica [Disc1of2] | | PlayStation | | NTSC (JP) | SLPS-02940
| | Ao no Rokugou - Antarctica [Disc2of2] | | PlayStation | | NTSC (JP) | SLPS-02941
| | Ao Zora to Nakama Tachi - Yume no Bouken | | PlayStation | | NTSC (JP) | SLPS-03564
| | Aoki Ookami to Shiroki Mezika - Genchou Hishi | | PlayStation | | NTSC (JP) | SLPS-01579
| | Aoki Ookami to Shiroki Mezika - Genchou Hishi [Koei Teiban Series] | | PlayStation | | NTSC (JP) | SLPM-86859
| | Aoki Ookami to Shiroki Mezika - Genchou Hishi [Koei The Best] | | PlayStation | | NTSC (JP) | SLPM-86303
| | Aozora no Tsubasa - Gotha World [Disc1of2] | | PlayStation | | NTSC (JP) | SLPS-01041
| | Aozora no Tsubasa - Gotha World [Disc2of2] | | PlayStation | | NTSC (JP) | SLPS-01042
| | Ape Escape | | PlayStation | | NTSC (JP) | SCPS-45411
| | Apocalypse | | PlayStation | | NTSC (JP) | SLPM-86271
| | Apocalypse [SuperLite 1500 Series] | | PlayStation | | NTSC (JP) | SLPM-86879
| | Aqua Paradise | | PlayStation | | NTSC (JP) | SLPS-03095
| | Aquanaut no Kyuujitsu (The Aquanaut's Holiday) | | PlayStation | | NTSC (JP) | SLPS-00060
| | Aquanaut no Kyuujitsu (The Aquanaut's Holiday) - Memories of Summer '96 | | PlayStation | | NTSC (JP) | SLPS-00406
| | Aquanaut no Kyuujitsu (The Aquanaut's Holiday) - Memories of Summer '96 [Artdink Best Choice] | | PlayStation | | NTSC (JP) | SLPS-02023
| | Aquanaut no Kyuujitsu 2 (The Aquanaut's Holiday 2) | | PlayStation | | NTSC (JP) | SLPS-02141
| | Aquanaut no Kyuujitsu 2 [Artdink Best Choice] | | PlayStation | | NTSC (JP) | SLPS-02919
| | Aquanaut no Kyuujitsu 2 [Trial Version] | | PlayStation | | NTSC (JP) | SLPM-80449
| | Aquarian Age - Tokyo Wars | | PlayStation | | NTSC (JP) | SLPS-02731
| | Arc the Lad | | PlayStation | | NTSC (JP) | SCPS-10008
| | Arc the Lad [PlayStation the Best] | | PlayStation | | NTSC (JP) | SCPS-91004
| | Arc the Lad [PSone Books] | | PlayStation | | NTSC (JP) | SCPS-91302
| | Arc the Lad II | | PlayStation | | NTSC (JP) | SCPS-10026
| | Arc The Lad II - CG Movie Collection | | PlayStation | | NTSC (JP) | SCPM-85005
| | Arc the Lad II [PlayStation the Best] | | PlayStation | | NTSC (JP) | SCPS-91071
| | Arc the Lad II [PSone Books] | | PlayStation | | NTSC (JP) | SCPS-91310
| | Arc the Lad III [Disc1of2] | | PlayStation | | NTSC (JP) | SCPS-10106
| | Arc the Lad III [Disc2of2] | | PlayStation | | NTSC (JP) | SCPS-10107
| | Arc the Lad III [Disc1of2] | | PlayStation | | NTSC (JP) | SCPS-45438
| | Arc the Lad III [Disc2of2] | | PlayStation | | NTSC (JP) | SCPS-45439
| | Arc the Lad III [PlayStation the Best] [Disc1of2] | | PlayStation | | NTSC (JP) | SCPS-91228
| | Arc the Lad III [PlayStation the Best] [Disc2of2] | | PlayStation | | NTSC (JP) | SCPS-91229
