|       | Gaia no Monshou                                             | NCS                          | TurboGrafx-16 | 1988 | NTSC (JP)
|       | Galaga '88                                                  | Namco                        | TurboGrafx-16 | 1988 | NTSC (JP)
|       | Ganbare! Golf Boys                                          | NCS                          | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Gekibo: Gekisha Boy                                         | Irem                         | TurboGrafx-16 | 1992 | NTSC (JP)
|       | Genji Tsuushin Agedama                                      | NEC Interchannel             | TurboGrafx-16 | 1991 | NTSC (JP)
|       | Genpei Toumaden                                             | Namco                        | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Genpei Toumaden: Kannoni                                    | Namco                        | TurboGrafx-16 | 1992 | NTSC (JP)
|       | Gokuraku! Chuuka Taisen                                     | Taito Corporation            | TurboGrafx-16 | 1992 | NTSC (JP)
|       | Gomola Speed                                                | UPL                          | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Gradius                                                     | Konami                       | TurboGrafx-16 | 1991 | NTSC (JP)
|       | Gunhed                                                      | Hudson                       | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Hana Taaka Daka!?                                           | Taito Corporation            | TurboGrafx-16 | 1991 | NTSC (JP)
|       | Hatris                                                      | Micro Cabin                  | TurboGrafx-16 | 1991 | NTSC (JP)
|       | Heavy Unit                                                  | Taito Corporation            | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Hisou Kihei X-Serd                                          | NCS                          | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Hit the Ice                                                 | Taito Corporation            | TurboGrafx-16 | 1991 | NTSC (JP)
|       | Honey in the Sky                                            | Face                         | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Honey on the Road                                           | Face                         | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Honoo no Doukyuuji: Dodge Danpei                            | Hudson                       | TurboGrafx-16 | 1992 | NTSC (JP)
|       | Hyper Dyne Side Arms                                        | NEC Interchannel             | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Image Fight                                                 | Irem                         | TurboGrafx-16 | 1990 | NTSC (JP)
|       | J.League Greatest Eleven                                    | Nichibutsu                   | TurboGrafx-16 | 1993 | NTSC (JP)
|       | Jack Nicklaus' Greatest 18 Holes of Major Championship Golf | Victor Interactive Software  | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Jackie Chan                                                 | Hudson                       | TurboGrafx-16 | 1991 | NTSC (JP)
|       | Jigoku Meguri                                               | Taito Corporation            | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Jinmu Denshou                                               | Big Club                     | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Joshoken Necromancer                                        | Hudson                       | TurboGrafx-16 | 1988 | NTSC (JP)
|       | Juuouki                                                     | NEC Interchannel             | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Kaizou Chounin Shubibinman                                  | NCS                          | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Kaizou Chounin Shubibinman 2: Atanaru Teki                  | NCS                          | TurboGrafx-16 | 1991 | NTSC (JP)
|       | Kato-Chan Ken-Chan                                          | Hudson                       | TurboGrafx-16 | 1987 | NTSC (JP)
|       | Kattobi! Takuhai-Kun                                        | Tonkin House                 | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Kickball                                                    | NCS                          | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Kiki Kai Kai                                                | Taito Corporation            | TurboGrafx-16 | 1990 | NTSC (JP)
|       | King of Casino                                              | Victor Interactive Software  | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Klax                                                        | Tengen                       | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Knight Rider Special                                        | Pack-In-Video                | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Kore ga Pro Yakyuu '89                                      | Intec                        | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Kore ga Pro Yakyuu '90                                      | Intec                        | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Kung Fu, The                                                | Hudson                       | TurboGrafx-16 | 1987 | NTSC (JP)
|       | Kyuukyoku Tiger                                             | Taito Corporation            | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Lady Sword: Ryakudatsusareta 10-nin no Otome                | Games Express                | TurboGrafx-16 | 1992 | NTSC (JP)
|       | Legend of Hero Tonma                                        | Irem                         | TurboGrafx-16 | 1991 | NTSC (JP)
|       | Lode Runner: Ushina Wareta Meikyuu                          | Pack-In-Video                | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Madouou Granzort                                            | Hudson                       | TurboGrafx-16 | 1990 | NTSC (JP)
