|       | Mamono Hunter Youko: Tooki Yobigoe                        | NCS                                   | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Manhole, The                                              | SunSoft                               | TurboGrafx-16 CD | 1991 | NTSC (JP)
|       | Martial Champion                                          | Konami                                | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Mashou Denki La Valeur                                    | Kogado Studio                         | TurboGrafx-16 CD | 1991 | NTSC (JP)
|       | Master of Monsters                                        | Micro Cabin                           | TurboGrafx-16 CD | 1991 | NTSC (JP)
|       | Mateki Densetsu Astralius                                 | IGS (Japan)                           | TurboGrafx-16 CD | 1991 | NTSC (JP)
|       | Megami Tengoku: Megami Paradise                           | NEC Interchannel                      | TurboGrafx-16 CD | 1994 | NTSC (JP)
|       | Meikyuu no Elfeene                                        | Nippon Telenet                        | TurboGrafx-16 CD | 1990 | NTSC (JP)
|       | Metal Angel                                               | Pack-In-Video                         | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Metal Angel 2                                             | Pack-In-Video                         | TurboGrafx-16 CD | 1995 | NTSC (JP)
|       | Metamor Jupiter                                           | NEC Interchannel                      | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Might and Magic                                           | NEC Interchannel                      | TurboGrafx-16 CD | 1992 | NTSC (JP)
|       | Might and Magic III: Isles of Terra                       | Hudson                                | TurboGrafx-16 CD | 1993 | NTSC (JP)
|       | Minesweeper                                               | Pack-In-Video                         | TurboGrafx-16 CD | 1992 | NTSC (JP)
