|       | Monster Rancher Explorer                                 | Tecmo                    | Game Boy Color | 2000 | NTSC (NA)
|       | Monsters, Inc.                                           | THQ                      | Game Boy Color | 2001 | NTSC (NA)
|       | Montezuma's Return                                       | Take-Two Interactive     | Game Boy Color | 1998 | NTSC (NA)
|       | Mortal Kombat 4                                          | Midway                   | Game Boy Color | 1998 | NTSC (NA)
|       | Motocross Maniacs 2                                      | Konami                   | Game Boy Color | 1999 | NTSC (NA)
|       | Mr. Driller                                              | Namco                    | Game Boy Color | 2000 | NTSC (NA)
|       | Mr. Nutz                                                 | Infogrames               | Game Boy Color | 1999 | NTSC (NA)
|       | Ms. Pac-Man: Special Color Edition                       | Namco                    | Game Boy Color | 1999 | NTSC (NA)
|       | MTV Sports: Pure Ride                                    | THQ                      | Game Boy Color | 2000 | NTSC (NA)
|       | MTV Sports: Skateboarding Featuring Andy Macdonald       | THQ                      | Game Boy Color | 2000 | NTSC (NA)
|       | MTV Sports: T.J. Lavin's Ultimate BMX                    | THQ                      | Game Boy Color | 2000 | NTSC (NA)
|       | Mummy Returns, The                                       | Universal Interactive    | Game Boy Color | 2001 | NTSC (NA)
|       | Mummy, The                                               | Konami                   | Game Boy Color | 2000 | NTSC (NA)
|       | NASCAR 2000                                              | EA Sports                | Game Boy Color | 2000 | NTSC (NA)
|       | NASCAR Challenge                                         | Majesco Games            | Game Boy Color | 1999 | NTSC (NA)
|       | NASCAR Heat                                              | Majesco Games            | Game Boy Color | 2000 | NTSC (NA)
|       | NASCAR Racers                                            | Majesco Games            | Game Boy Color | 2000 | NTSC (NA)
|       | NBA 3 on 3 Featuring Kobe Bryant                         | Nintendo                 | Game Boy Color | 1999 | NTSC (NA)
|       | NBA Hoopz                                                | Midway                   | Game Boy Color | 2001 | NTSC (NA)
|       | NBA In The Zone                                          | Konami                   | Game Boy Color | 1999 | NTSC (NA)
|       | NBA In the Zone 2000                                     | Konami                   | Game Boy Color | 2000 | NTSC (NA)
|       | NBA Jam 2001                                             | Acclaim                  | Game Boy Color | 2000 | NTSC (NA)
|       | NBA Jam 99                                               | Acclaim                  | Game Boy Color | 1999 | NTSC (NA)
|       | NBA Showtime: NBA on NBC                                 | Midway                   | Game Boy Color | 2000 | NTSC (NA)
|       | New Adventures of Mary-Kate & Ashley, The                | Acclaim                  | Game Boy Color | 1999 | NTSC (NA)
|       | NFL Blitz                                                | Midway                   | Game Boy Color | 1998 | NTSC (NA)
|       | NFL Blitz 2000                                           | Midway                   | Game Boy Color | 1999 | NTSC (NA)
|       | NFL Blitz 2001                                           | Midway                   | Game Boy Color | 2000 | NTSC (NA)
|       | NHL 2000                                                 | THQ                      | Game Boy Color | 2000 | NTSC (NA)
|       | NHL Blades of Steel                                      | Konami                   | Game Boy Color | 1999 | NTSC (NA)
|       | NHL Blades of Steel 2000                                 | Konami                   | Game Boy Color | 2000 | NTSC (NA)
|       | NickToons Racing                                         | Majesco Games            | Game Boy Color | 2000 | NTSC (NA)
|       | Oddworld Adventures 2                                    | GT Interactive           | Game Boy Color | 2000 | NTSC (NA)
|       | Pac-Man: Special Color Edition                           | Namco                    | Game Boy Color | 1999 | NTSC (NA)
|       | Paperboy                                                 | Midway                   | Game Boy Color | 1999 | NTSC (NA)
|       | Perfect Dark                                             | Nintendo                 | Game Boy Color | 2000 | NTSC (NA)
|       | Pitfall: Beyond the Jungle                               | Crave                    | Game Boy Color | 1998 | NTSC (NA)
|       | Planet of the Apes                                       | Ubisoft                  | Game Boy Color | 2001 | NTSC (NA)
|       | Playmobil Interactive: Laura                             | Ubisoft                  | Game Boy Color | 2000 | NTSC (NA)
|       | Pocket Bomberman                                         | Nintendo                 | Game Boy Color | 1998 | NTSC (NA)
|       | Pocket Bowling                                           | Jaleco Entertainment     | Game Boy Color | 1999 | NTSC (NA)
|       | Pokemon Crystal Version                                  | Nintendo                 | Game Boy Color | 2001 | NTSC (NA)
|       | Pokemon Gold Version                                     | Nintendo                 | Game Boy Color | 2000 | NTSC (NA)
|       | Pokemon Pinball                                          | Nintendo                 | Game Boy Color | 1999 | NTSC (NA)
|       | Pokemon Puzzle Challenge                                 | Nintendo                 | Game Boy Color | 2000 | NTSC (NA)
|       | Pokemon Silver Version                                   | Nintendo                 | Game Boy Color | 2000 | NTSC (NA)
|       | Pokemon Trading Card Game                                | Nintendo                 | Game Boy Color | 2000 | NTSC (NA)
|       | Polaris SnoCross                                         | Vatical Entertainment    | Game Boy Color | 2000 | NTSC (NA)
|       | Pong: The Next Level                                     | Hasbro Interactive       | Game Boy Color | 1999 | NTSC (NA)
|       | Portal Runner                                            | 3DO                      | Game Boy Color | 2001 | NTSC (NA)
|       | Power Quest                                              | SunSoft                  | Game Boy Color | 1998 | NTSC (NA)
|       | Power Rangers: Lightspeed Rescue                         | THQ                      | Game Boy Color | 2000 | NTSC (NA)
|       | Power Rangers: Time Force                                | THQ                      | Game Boy Color | 2001 | NTSC (NA)
|       | Power Spike Pro Beach Volleyball                         | Infogrames               | Game Boy Color | 2000 | NTSC (NA)
