|       | 007 Legends                                                              | Activision                             | Nintendo Wii U | 2012 | PAL
|       | Adventure Time: Explore the Dungeon Because I DON'T KNOW!                | Namco Bandai Games                     | Nintendo Wii U | 2013 | PAL
|       | Adventure Time: Finn and Jake Investigations                             | Little Orbit                           | Nintendo Wii U | 2015 | PAL
|       | Amazing Spider-Man 2, The                                                | Activision                             | Nintendo Wii U | 2014 | PAL
|       | Amazing Spider-Man: Ultimate Edition, The                                | Activision                             | Nintendo Wii U | 2013 | PAL
|       | Angry Birds Star Wars                                                    | Activision                             | Nintendo Wii U | 2013 | PAL
|       | Angry Birds Trilogy                                                      | Activision                             | Nintendo Wii U | 2013 | PAL
|       | Animal Crossing: amiibo Festival                                         | Nintendo                               | Nintendo Wii U | 2015 | PAL
|       | Art Academy: Atelier                                                     | Nintendo                               | Nintendo Wii U | 2015 | PAL
|       | Assassin's Creed III                                                     | Ubisoft                                | Nintendo Wii U | 2012 | PAL
|       | Assassin's Creed IV: Black Flag                                          | Ubisoft                                | Nintendo Wii U | 2013 | PAL
|       | Baila Latino                                                             | Oxygene                                | Nintendo Wii U | 2015 | PAL
|       | Barbie and Her Sisters: Puppy Rescue                                     | Little Orbit                           | Nintendo Wii U | 2015 | PAL
|       | Barbie Dreamhouse Party                                                  | Little Orbit                           | Nintendo Wii U | 2014 | PAL
|       | Batman: Arkham City - Armoured Edition                                   | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2012 | PAL
|       | Batman: Arkham Origins                                                   | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2013 | PAL
|       | Bayonetta 2                                                              | Nintendo                               | Nintendo Wii U | 2014 | PAL
|       | Ben 10 Omniverse 2                                                       | D3Publisher                            | Nintendo Wii U | 2013 | PAL
|       | Ben 10: Omniverse                                                        | D3Publisher                            | Nintendo Wii U | 2012 | PAL
|       | Book of Unwritten Tales 2, The                                           | The Adventure Company                  | Nintendo Wii U | 2016 | PAL
|       | Cabela's Dangerous Hunts 2013                                            | Activision                             | Nintendo Wii U | 2012 | PAL
|       | Call of Duty: Black Ops II                                               | Activision                             | Nintendo Wii U | 2012 | PAL
|       | Call of Duty: Ghosts                                                     | Activision                             | Nintendo Wii U | 2013 | PAL
|       | Captain Toad: Treasure Tracker                                           | Nintendo                               | Nintendo Wii U | 2014 | PAL
|       | Cars 3: Driven to Win                                                    | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2017 | PAL
|       | Croods: Prehistoric Party!, The                                          | D3Publisher                            | Nintendo Wii U | 2013 | PAL
|       | Darksiders II                                                            | THQ                                    | Nintendo Wii U | 2012 | PAL
|       | Darksiders: Warmastered Edition                                          | Nordic Games Publishing                | Nintendo Wii U | 2018 | PAL
|       | Deus Ex: Human Revolution - Director's Cut                               | Square Enix                            | Nintendo Wii U | 2013 | PAL
|       | Devil's Third                                                            | Nintendo                               | Nintendo Wii U | 2015 | PAL
|       | Disney Epic Mickey 2: The Power of Two                                   | Disney Interactive Studios             | Nintendo Wii U | 2012 | PAL
|       | Disney Infinity                                                          | Disney Interactive Studios             | Nintendo Wii U | 2013 | PAL
|       | Disney Infinity 2.0 Edition                                              | Disney Interactive Studios             | Nintendo Wii U | 2014 | PAL
|       | Disney Infinity 3.0 Edition                                              | Disney Interactive Studios             | Nintendo Wii U | 2015 | PAL
|       | Disney Planes                                                            | Disney Interactive Studios             | Nintendo Wii U | 2013 | PAL
|       | Disney Planes: Fire & Rescue                                             | Little Orbit                           | Nintendo Wii U | 2014 | PAL
|       | Donkey Kong Country: Tropical Freeze                                     | Nintendo                               | Nintendo Wii U | 2014 | PAL
|       | Family Party: 30 Great Games Obstacle Arcade                             | D3Publisher                            | Nintendo Wii U | 2012 | PAL
|       | Fast & Furious: Showdown                                                 | Activision                             | Nintendo Wii U | 2013 | PAL
|       | FAST Racing Neo                                                          | Shin'en                                | Nintendo Wii U | 2016 | PAL
|       | FIFA 13                                                                  | EA Sports                              | Nintendo Wii U | 2012 | PAL
|       | Fit Music for Wii U                                                      | Oxygene                                | Nintendo Wii U | 2015 | PAL
|       | Funky Barn                                                               | 505 Games                              | Nintendo Wii U | 2012 | PAL
|       | Game & Wario                                                             | Nintendo                               | Nintendo Wii U | 2013 | PAL
|       | Game Party Champions                                                     | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2012 | PAL
|       | Guitar Hero Live                                                         | Activision                             | Nintendo Wii U | 2015 | PAL
|       | Hello Kitty Kruisers                                                     | Bergsala-Lightweight                   | Nintendo Wii U | 2015 | PAL
