|       | Fantasy Zone                                                | Tengen                         | Nintendo Entertainment System | 1989 | NTSC (NA)
|       | Faria: A World of Mystery & Danger!                         | Nexoft                         | Nintendo Entertainment System | 1991 | NTSC (NA)
|       | Faxanadu                                                    | Nintendo                       | Nintendo Entertainment System | 1989 | NTSC (NA)
|       | Felix the Cat                                               | Hudson                         | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Ferrari Grand Prix Challenge                                | Acclaim                        | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Fester's Quest                                              | SunSoft                        | Nintendo Entertainment System | 1989 | NTSC (NA)
|       | Final Fantasy                                               | Nintendo                       | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Fire 'N Ice                                                 | Tecmo                          | Nintendo Entertainment System | 1993 | NTSC (NA)
|       | Firehawk                                                    | Camerica                       | Nintendo Entertainment System | 1991 | NTSC (NA)
|       | Fisher Price: Firehouse Rescue                              | GameTek                        | Nintendo Entertainment System | 1992 | NTSC (NA)
|       | Fisher Price: I Can Remember                                | GameTek                        | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Fisher Price: Perfect Fit                                   | GameTek                        | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Fist of the North Star                                      | Taxan                          | Nintendo Entertainment System | 1989 | NTSC (NA)
|       | Flight of the Intruder                                      | Mindscape Inc.                 | Nintendo Entertainment System | 1991 | NTSC (NA)
|       | Flintstones: The Rescue of Dino & Hoppy, The                | Taito Corporation              | Nintendo Entertainment System | 1991 | NTSC (NA)
|       | Flintstones: The Surprise at Dinosaur Peak!, The            | Taito Corporation              | Nintendo Entertainment System | 1994 | NTSC (NA)
|       | Flying Dragon: The Secret Scroll                            | Culture Brain                  | Nintendo Entertainment System | 1989 | NTSC (NA)
|       | Flying Warriors                                             | Culture Brain                  | Nintendo Entertainment System | 1991 | NTSC (NA)
|       | Formula One: Built to Win                                   | Seta Corporation               | Nintendo Entertainment System | 1990 | NTSC (NA)
|       | Fox's Peter Pan & the Pirates                               | THQ                            | Nintendo Entertainment System | 1991 | NTSC (NA)
