|       | Mr. Chin's Gourmet Paradise                                    | Romstar                      | Game Boy | 1990 | NTSC (NA)
|       | Mr. Do!                                                        | Ocean                        | Game Boy | 1992 | NTSC (NA)
|       | Ms. Pac-Man                                                    | Namco                        | Game Boy | 1993 | NTSC (NA)
|       | Muhammad Ali: Heavyweight Boxing                               | Virgin Interactive           | Game Boy | 1993 | NTSC (NA)
|       | Mysterium                                                      | Asmik Corporation of America | Game Boy | 1991 | NTSC (NA)
|       | Mystical Ninja Starring Goemon                                 | Konami                       | Game Boy | 1998 | NTSC (NA)
|       | Nail 'N Scale                                                  | Data East                    | Game Boy | 1992 | NTSC (NA)
|       | Navy Seals                                                     | Ocean                        | Game Boy | 1991 | NTSC (NA)
|       | NBA All-Star Challenge                                         | LJN Ltd.                     | Game Boy | 1991 | NTSC (NA)
|       | NBA All-Star Challenge 2                                       | Acclaim Japan                | Game Boy | 1992 | NTSC (NA)
|       | NBA Jam                                                        | Acclaim                      | Game Boy | 1994 | NTSC (NA)
|       | NBA Jam: Tournament Edition                                    | Acclaim                      | Game Boy | 1995 | NTSC (NA)
|       | NBA Live 96                                                    | Black Pearl                  | Game Boy | 1996 | NTSC (NA)
|       | Nemesis                                                        | Ultra                        | Game Boy | 1990 | NTSC (NA)
