|       | Hot Shots Tennis: Get a Grip                                                       | SCEA                                   | PlayStation Portable | 2010 | NTSC (NA)
|       | Hot Wheels: Ultimate Racing                                                        | DSI Games                              | PlayStation Portable | 2007 | NTSC (NA)
|       | Hustle: Detroit Streets, The                                                       | Activision Value                       | PlayStation Portable | 2005 | NTSC (NA)
|       | IL-2 Sturmovik: Birds of Prey                                                      | 505 Games                              | PlayStation Portable | 2009 | NTSC (NA)
|       | Indiana Jones and the Staff of Kings                                               | LucasArts                              | PlayStation Portable | 2009 | NTSC (NA)
|       | Infected                                                                           | Majesco Games                          | PlayStation Portable | 2005 | NTSC (NA)
|       | Innocent Life: A Futuristic Harvest Moon                                           | Natsume                                | PlayStation Portable | 2007 | NTSC (NA)
|       | Invizimals                                                                         | SCEA                                   | PlayStation Portable | 2010 | NTSC (NA)
|       | Invizimals: Shadow Zone                                                            | SCEA                                   | PlayStation Portable | 2011 | NTSC (NA)
|       | Iron Man                                                                           | Sega                                   | PlayStation Portable | 2008 | NTSC (NA)
|       | Iron Man 2                                                                         | Sega                                   | PlayStation Portable | 2010 | NTSC (NA)
|       | Jackass the Game                                                                   | Red Mile Entertainment                 | PlayStation Portable | 2007 | NTSC (NA)
|       | Jak and Daxter: The Lost Frontier                                                  | SCEA                                   | PlayStation Portable | 2009 | NTSC (NA)
|       | James Cameron's Avatar: The Game                                                   | Ubisoft                                | PlayStation Portable | 2009 | NTSC (NA)
|       | Jeanne d'Arc                                                                       | SCEA                                   | PlayStation Portable | 2007 | NTSC (NA)
|       | Jikandia: The Timeless Land                                                        | Aksys Games                            | PlayStation Portable | 2011 | NTSC (NA)
|       | Juiced 2: Hot Import Nights                                                        | THQ                                    | PlayStation Portable | 2007 | NTSC (NA)
|       | Juiced: Eliminator                                                                 | THQ                                    | PlayStation Portable | 2006 | NTSC (NA)
|       | Justice League Heroes                                                              | Warner Bros. Interactive Entertainment | PlayStation Portable | 2006 | NTSC (NA)
|       | Kao Challengers                                                                    | Namco                                  | PlayStation Portable | 2006 | NTSC (NA)
|       | Kenka Bancho: Badass Rumble                                                        | ATLUS                                  | PlayStation Portable | 2009 | NTSC (NA)
|       | Killzone: Liberation                                                               | SCEA                                   | PlayStation Portable | 2006 | NTSC (NA)
|       | King of Fighters Collection: The Orochi Saga, The                                  | SNK Playmore                           | PlayStation Portable | 2008 | NTSC (NA)
|       | Kingdom Hearts: Birth by Sleep                                                     | Square Enix                            | PlayStation Portable | 2010 | NTSC (NA)
|       | Kingdom of Paradise                                                                | SCEA                                   | PlayStation Portable | 2005 | NTSC (NA)
